case_id,scale_id,sequence_length,classifier_mode,seed,expectation,episode_count,event_count,transition_count,motif_count,length3_motif_count,length3_support_mass,length3_top_support,length3_top_support_fraction,recurring_length3_fraction,full_sequence_motif_count,full_sequence_support_mass,full_sequence_top_support,full_sequence_top_support_fraction,recurring_full_sequence_fraction,length3_index_status_counts,full_sequence_index_status_counts,length3_background_recurrence_count,length3_ambiguous_evidence_count,full_sequence_background_recurrence_count,full_sequence_ambiguous_evidence_count,repeated_episode_instance_fraction,event_label_redundancy_fraction,transition_redundancy_fraction,compressibility_index,event_history_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,length3_outcome_purity_max,length3_outcome_purity_mean,length3_context_purity_max,length3_context_purity_mean,length3_outcome_entropy_max,length3_context_entropy_max,novelty_failure,failure_modes,evidence_index_failure,evidence_failure_modes,top5_length3_patterns,top5_full_sequence_indexed_patterns
unique_triplets,small,3,naive_recurrence,7,no_recurrence,60,180,120,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
unique_triplets,small,3,naive_recurrence,108,no_recurrence,60,180,120,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
unique_triplets,small,3,naive_recurrence,209,no_recurrence,60,180,120,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
shared_edges_unique_middle,small,3,naive_recurrence,7,partial_recurrence_only,60,180,120,2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.403122,0.0,0.134374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
shared_edges_unique_middle,small,3,naive_recurrence,108,partial_recurrence_only,60,180,120,2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.403122,0.0,0.134374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
shared_edges_unique_middle,small,3,naive_recurrence,209,partial_recurrence_only,60,180,120,2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.403122,0.0,0.134374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
near_miss_drift,small,3,naive_recurrence,7,partial_recurrence_only,60,180,120,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.201763,0.0,0.067254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
near_miss_drift,small,3,naive_recurrence,108,partial_recurrence_only,60,180,120,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.201763,0.0,0.067254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
near_miss_drift,small,3,naive_recurrence,209,partial_recurrence_only,60,180,120,1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.201763,0.0,0.067254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
hidden_novelty_alias_collision,small,3,naive_recurrence,7,hidden_novelty,60,180,120,6,1,60,60,1.0,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.016667,0.016667,0.016667,0.016667,5.906891,5.906891,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D}",
hidden_novelty_alias_collision,small,3,naive_recurrence,108,hidden_novelty,60,180,120,6,1,60,60,1.0,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.016667,0.016667,0.016667,0.016667,5.906891,5.906891,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D}",
hidden_novelty_alias_collision,small,3,naive_recurrence,209,hidden_novelty,60,180,120,6,1,60,60,1.0,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.016667,0.016667,0.016667,0.016667,5.906891,5.906891,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D}",
contradictory_outcomes,small,3,naive_recurrence,7,outcome_contradiction,60,180,120,6,1,60,60,1.0,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.15,0.15,1.0,1.0,2.804936,0.0,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D}",
contradictory_outcomes,small,3,naive_recurrence,108,outcome_contradiction,60,180,120,6,1,60,60,1.0,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.15,0.15,1.0,1.0,2.804936,0.0,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D}",
contradictory_outcomes,small,3,naive_recurrence,209,outcome_contradiction,60,180,120,6,1,60,60,1.0,1.0,1,60,60,1.0,1.0,,,0,0,0,0,1.0,0.0,0.0,0.333333,1.0,0.0,1.0,0.15,0.15,1.0,1.0,2.804936,0.0,True,compressed_hidden_or_contradictory_novelty;low_outcome_purity,False,,"{A,B} -> {B,C} -> {C,D}",
