case_id,axis,parameter,value,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,raw_sample_value_loss_fraction,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,repeated_episode_instance_fraction,recurring_three_event_window_fraction,event_instance_loss_fraction,temporal_order_loss_fraction,event_duration,event_gap,window_size,activation_threshold,noise_episodes,min_participants,active_mean,active_std,baseline_mean,baseline_std,dropout_probability,spurious_probability
baseline,baseline,none,0.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_00,noise,noise_episodes,0.0,expected_collapse,noncompressible_as_expected,540,360,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,0,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_10,noise,noise_episodes,10.0,expected_collapse,noncompressible_as_expected,570,380,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,10,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_20,noise,noise_episodes,20.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_40,noise,noise_episodes,40.0,expected_collapse,noncompressible_as_expected,660,440,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,40,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_60,noise,noise_episodes,60.0,expected_collapse,noncompressible_as_expected,720,480,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,60,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_0.45,threshold,activation_threshold,0.45,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.555556,0.555556,0.953333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.45,20,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_0.60,threshold,activation_threshold,0.6,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.554444,0.554444,0.953367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.6,20,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_0.75,threshold,activation_threshold,0.75,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_0.90,threshold,activation_threshold,0.9,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.018388,0.018388,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.9,20,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_1.05,threshold,activation_threshold,1.05,expected_collapse,noncompressible_as_expected,1,0,0,,0.0,0.010969,0.0,0.99995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,1.05,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_1,temporal_resolution,window_size,1.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,1,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_2,temporal_resolution,window_size,2.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,2,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_3,temporal_resolution,window_size,3.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_4,temporal_resolution,window_size,4.0,expected_collapse,noncompressible_as_expected,257,94,0,,0.0,0.654444,0.0,0.980367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,4,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_5,temporal_resolution,window_size,5.0,expected_collapse,noncompressible_as_expected,0,0,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,5,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_1,event_duration,event_duration,1.0,expected_collapse,noncompressible_as_expected,0,0,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_2,event_duration,event_duration,2.0,expected_collapse,noncompressible_as_expected,0,0,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_3,event_duration,event_duration,3.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_4,event_duration,event_duration,4.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.966667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_5,event_duration,event_duration,5.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_0,temporal_separation,event_gap,0.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
