event_id,episode_id,t_start,t_end,participants,label,intensities,context,source_window,outcome
event_00000,episode_0000,0,2,"U11,U18","{U11,U18}","{""U11"": 0.9218, ""U18"": 0.9323}",CTX_0000,union:consensus_pair:decoder:consensus_pair:hybrid:0:0|consensus_pair:decoder:consensus_pair:hybrid:1:2,OUT_0000
event_00001,episode_0000,6,7,"U27,U34","{U27,U34}","{""U27"": 0.8745, ""U34"": 0.8854}",CTX_0000,union:consensus_pair:decoder:consensus_pair:hybrid:6:7,OUT_0000
event_00002,episode_0000,11,11,"U14,U31","{U14,U31}","{""U14"": 0.797, ""U31"": 0.8013}",CTX_0000,union:consensus_pair:decoder:consensus_pair:hybrid:11:11,OUT_0000
event_00003,episode_0000,12,12,"U04,U31","{U04,U31}","{""U04"": 0.9409, ""U31"": 0.9691}",CTX_0000,union:consensus_pair:decoder:consensus_pair:hybrid:12:12,OUT_0000
event_00004,episode_0001,17,17,"U02,U06","{U02,U06}","{""U02"": 0.8843, ""U06"": 0.9}",CTX_0001,union:consensus_pair:decoder:consensus_pair:hybrid:17:17,OUT_0001
event_00005,episode_0001,18,18,"U08,U35","{U08,U35}","{""U08"": 0.96, ""U35"": 0.96}",CTX_0001,union:consensus_pair:decoder:consensus_pair:hybrid:18:18,OUT_0001
event_00006,episode_0001,23,23,"U28,U38","{U28,U38}","{""U28"": 0.8239, ""U38"": 0.788}",CTX_0001,union:consensus_pair:decoder:consensus_pair:hybrid:23:23,OUT_0001
event_00007,episode_0001,28,29,"U23,U27","{U23,U27}","{""U23"": 0.8688, ""U27"": 0.8954}",CTX_0001,union:consensus_pair:decoder:consensus_pair:hybrid:28:29,OUT_0001
event_00008,episode_0002,34,34,"U08,U13","{U08,U13}","{""U08"": 0.9, ""U13"": 0.8761}",CTX_0002,union:consensus_pair:decoder:consensus_pair:hybrid:34:34,OUT_0002
event_00009,episode_0002,36,36,"U12,U14","{U12,U14}","{""U12"": 0.7793, ""U14"": 0.969}",CTX_0002,union:consensus_pair:decoder:consensus_pair:hybrid:36:36,OUT_0002
event_00010,episode_0002,40,41,"U03,U05","{U03,U05}","{""U03"": 0.8647, ""U05"": 0.8867}",CTX_0002,union:consensus_pair:decoder:consensus_pair:hybrid:40:41,OUT_0002
event_00011,episode_0002,45,45,"U00,U38","{U00,U38}","{""U00"": 0.7993, ""U38"": 0.7978}",CTX_0002,union:consensus_pair:decoder:consensus_pair:hybrid:45:45,OUT_0002
event_00012,episode_0002,46,46,"U36,U38","{U36,U38}","{""U36"": 0.8154, ""U38"": 0.9691}",CTX_0002,union:consensus_pair:decoder:consensus_pair:hybrid:46:46,OUT_0002
event_00013,episode_0003,51,51,"U20,U39","{U20,U39}","{""U20"": 0.9, ""U39"": 0.8972}",CTX_0003,union:consensus_pair:decoder:consensus_pair:hybrid:51:51,OUT_0003
event_00014,episode_0003,52,53,"U25,U39","{U25,U39}","{""U25"": 0.9622, ""U39"": 0.9613}",CTX_0003,union:consensus_pair:decoder:consensus_pair:hybrid:52:53,OUT_0003
event_00015,episode_0003,57,58,"U04,U39","{U04,U39}","{""U04"": 0.8881, ""U39"": 0.8905}",CTX_0003,union:consensus_pair:decoder:consensus_pair:hybrid:57:58,OUT_0003
event_00016,episode_0003,62,62,"U09,U36","{U09,U36}","{""U09"": 0.7749, ""U36"": 0.9691}",CTX_0003,union:consensus_pair:decoder:consensus_pair:hybrid:62:62,OUT_0003
event_00017,episode_0004,68,68,"U00,U10","{U00,U10}","{""U00"": 0.8946, ""U10"": 0.8638}",CTX_0004,union:consensus_pair:decoder:consensus_pair:hybrid:68:68,OUT_0004
event_00018,episode_0004,70,70,"U00,U10","{U00,U10}","{""U00"": 0.7626, ""U10"": 0.961}",CTX_0004,union:consensus_pair:decoder:consensus_pair:hybrid:70:70,OUT_0004
event_00019,episode_0004,74,75,"U13,U22","{U13,U22}","{""U13"": 0.8838, ""U22"": 0.8816}",CTX_0004,union:consensus_pair:decoder:consensus_pair:hybrid:74:75,OUT_0004
event_00020,episode_0004,79,79,"U17,U24","{U17,U24}","{""U17"": 0.788, ""U24"": 0.9394}",CTX_0004,union:consensus_pair:decoder:consensus_pair:hybrid:79:79,OUT_0004
event_00021,episode_0004,80,80,"U24,U28","{U24,U28}","{""U24"": 0.9495, ""U28"": 0.7516}",CTX_0004,union:consensus_pair:decoder:consensus_pair:hybrid:80:80,OUT_0004
event_00022,episode_0005,85,85,"U04,U36","{U04,U36}","{""U04"": 0.9, ""U36"": 0.9}",CTX_0005,union:consensus_pair:decoder:consensus_pair:hybrid:85:85,OUT_0005
event_00023,episode_0005,87,87,"U05,U36","{U05,U36}","{""U05"": 0.7911, ""U36"": 0.969}",CTX_0005,union:consensus_pair:decoder:consensus_pair:hybrid:87:87,OUT_0005
event_00024,episode_0005,91,92,"U07,U14","{U07,U14}","{""U07"": 0.8922, ""U14"": 0.8772}",CTX_0005,union:consensus_pair:decoder:consensus_pair:hybrid:91:92,OUT_0005
event_00025,episode_0005,96,96,"U05,U38","{U05,U38}","{""U05"": 0.8041, ""U38"": 0.7898}",CTX_0005,union:consensus_pair:decoder:consensus_pair:hybrid:96:96,OUT_0005
event_00026,episode_0005,97,97,"U05,U33","{U05,U33}","{""U05"": 0.9691, ""U33"": 0.7522}",CTX_0005,union:consensus_pair:decoder:consensus_pair:hybrid:97:97,OUT_0005
event_00027,episode_0006,102,102,"U01,U27","{U01,U27}","{""U01"": 0.8987, ""U27"": 0.9}",CTX_0006,union:consensus_pair:decoder:consensus_pair:hybrid:102:102,OUT_0006
event_00028,episode_0006,103,104,"U01,U38","{U01,U38}","{""U01"": 0.9645, ""U38"": 0.9605}",CTX_0006,union:consensus_pair:decoder:consensus_pair:hybrid:103:104,OUT_0006
event_00029,episode_0006,107,107,"U04,U23","{U04,U23}","{""U04"": 0.8243, ""U23"": 0.7549}",CTX_0006,union:consensus_pair:decoder:consensus_pair:hybrid:107:107,OUT_0006
event_00030,episode_0006,108,109,"U04,U20","{U04,U20}","{""U04"": 0.9697, ""U20"": 0.8758}",CTX_0006,union:consensus_pair:decoder:consensus_pair:hybrid:108:109,OUT_0006
event_00031,episode_0006,110,110,"U16,U20","{U16,U20}","{""U16"": 0.7881, ""U20"": 0.9661}",CTX_0006,union:consensus_pair:decoder:consensus_pair:hybrid:110:110,OUT_0006
event_00032,episode_0006,113,114,"U08,U15","{U08,U15}","{""U08"": 0.8852, ""U15"": 0.8854}",CTX_0006,union:consensus_pair:decoder:consensus_pair:hybrid:113:114,OUT_0006
