pattern,support,variants,predicted_next_events,contexts,outcomes
"{U19,U36}",7,"{U10,U19}:1;{U34,U36}:1;{U19,U23}:1;{U02,U35}:1;{U15,U36}:1;{U03,U07}:1;{U05,U27}:1","{U10,U19};{U34,U36};{U19,U23};{U02,U35};{U15,U36};{U03,U07};{U05,U27}",CTX_0051:2;CTX_0016:1;CTX_0028:1;CTX_0095:1;CTX_0137:1;CTX_0168:1,OUT_0051:2;OUT_0016:1;OUT_0028:1;OUT_0095:1;OUT_0137:1;OUT_0168:1
"{U15,U30}",7,"{U10,U15}:1;{U15,U28}:1;{U19,U38}:1;{U04,U30}:1;{U15,U19}:1;{U30,U31}:1","{U10,U15};{U15,U28};{U19,U38};{U04,U30};{U15,U19};{U30,U31}",CTX_0021:1;CTX_0032:1;CTX_0091:1;CTX_0106:1;CTX_0132:1;CTX_0157:1;CTX_0183:1,OUT_0021:1;OUT_0032:1;OUT_0091:1;OUT_0106:1;OUT_0132:1;OUT_0157:1;OUT_0183:1
"{U12,U30}",7,"{U12,U20}:1;{U07,U12}:1;{U13,U19}:1;{U28,U30}:1;{U05,U30}:1;{U03,U13}:1","{U12,U20};{U07,U12};{U13,U19};{U28,U30};{U05,U30};{U03,U13}",CTX_0044:1;CTX_0054:1;CTX_0073:1;CTX_0106:1;CTX_0146:1;CTX_0176:1;CTX_0187:1,OUT_0044:1;OUT_0054:1;OUT_0073:1;OUT_0106:1;OUT_0146:1;OUT_0176:1;OUT_0187:1
"{U12,U33}",7,"{U12,U15}:1;{U16,U22}:1;{U12,U31}:1;{U12,U35}:1;{U12,U33}:1;{U15,U34}:1","{U12,U15};{U16,U22};{U12,U31};{U12,U35};{U12,U33};{U15,U34}",CTX_0090:2;CTX_0184:2;CTX_0099:1;CTX_0151:1;CTX_0173:1,OUT_0090:2;OUT_0184:2;OUT_0099:1;OUT_0151:1;OUT_0173:1
"{U05,U33}",6,"{U00,U07}:1;{U14,U33}:1;{U09,U31}:1;{U05,U10}:1;{U00,U35}:1","{U00,U07};{U14,U33};{U09,U31};{U05,U10};{U00,U35}",CTX_0005:1;CTX_0034:1;CTX_0078:1;CTX_0097:1;CTX_0118:1;CTX_0147:1,OUT_0005:1;OUT_0034:1;OUT_0078:1;OUT_0097:1;OUT_0118:1;OUT_0147:1
"{U36,U38}",5,"{U20,U36}:1;{U07,U37}:1;{U00,U36}:1;{U17,U36}:1","{U20,U36};{U07,U37};{U00,U36};{U17,U36}",CTX_0002:1;CTX_0019:1;CTX_0035:1;CTX_0111:1;CTX_0130:1,OUT_0002:1;OUT_0019:1;OUT_0035:1;OUT_0111:1;OUT_0130:1
"{U27,U30}",5,"{U22,U35}:1;{U22,U33}:1;{U06,U21}:1;{U07,U24}:1;{U10,U11}:1","{U22,U35};{U22,U33};{U06,U21};{U07,U24};{U10,U11}",CTX_0013:1;CTX_0058:1;CTX_0152:1;CTX_0172:1;CTX_0190:1,OUT_0013:1;OUT_0058:1;OUT_0152:1;OUT_0172:1;OUT_0190:1
"{U17,U38}",5,"{U14,U28}:1;{U17,U19}:1;{U04,U06}:1;{U24,U38}:1;{U17,U23}:1","{U14,U28};{U17,U19};{U04,U06};{U24,U38};{U17,U23}",CTX_0014:1;CTX_0070:1;CTX_0094:1;CTX_0108:1;CTX_0112:1,OUT_0014:1;OUT_0070:1;OUT_0094:1;OUT_0108:1;OUT_0112:1
"{U04,U24}",5,"{U01,U33}:1;{U04,U24}:1;{U37,U39}:1;{U05,U24}:1;{U24,U31}:1","{U01,U33};{U04,U24};{U37,U39};{U05,U24};{U24,U31}",CTX_0038:2;CTX_0018:1;CTX_0072:1;CTX_0178:1,OUT_0038:2;OUT_0018:1;OUT_0072:1;OUT_0178:1
"{U07,U24}",5,"{U05,U38}:1;{U08,U24}:1;{U07,U29}:1;{U24,U27}:1","{U05,U38};{U08,U24};{U07,U29};{U24,U27}",CTX_0022:1;CTX_0037:1;CTX_0115:1;CTX_0154:1;CTX_0172:1,OUT_0022:1;OUT_0037:1;OUT_0115:1;OUT_0154:1;OUT_0172:1
