from_event,to_event,delta_t,shared_participants,changed_participants,weight,episode_id,context,from_label,to_label
event_00000,event_00001,-1,U11,"U13,U18",1,episode_0000,CTX_0000,"{U11,U18}","{U11,U13}"
event_00001,event_00002,1,,"U11,U13,U27,U34",1,episode_0000,CTX_0000,"{U11,U13}","{U27,U34}"
event_00002,event_00003,1,,"U17,U27,U31,U34",1,episode_0000,CTX_0000,"{U27,U34}","{U17,U31}"
event_00003,event_00004,-1,U31,"U04,U17",1,episode_0000,CTX_0000,"{U17,U31}","{U04,U31}"
event_00005,event_00006,2,,"U08,U28,U35,U38",1,episode_0001,CTX_0001,"{U08,U35}","{U28,U38}"
event_00006,event_00007,2,,"U23,U27,U28,U38",1,episode_0001,CTX_0001,"{U28,U38}","{U23,U27}"
event_00008,event_00009,1,,"U03,U05,U12,U14",1,episode_0002,CTX_0002,"{U12,U14}","{U03,U05}"
event_00009,event_00010,1,,"U00,U03,U05,U38",1,episode_0002,CTX_0002,"{U03,U05}","{U00,U38}"
event_00010,event_00011,-1,U00,"U36,U38",1,episode_0002,CTX_0002,"{U00,U38}","{U00,U36}"
event_00012,event_00013,1,U39,"U04,U25",1,episode_0003,CTX_0003,"{U25,U39}","{U04,U39}"
event_00013,event_00014,1,,"U04,U09,U36,U39",1,episode_0003,CTX_0003,"{U04,U39}","{U09,U36}"
event_00015,event_00016,2,,"U00,U10,U13,U22",1,episode_0004,CTX_0004,"{U00,U10}","{U13,U22}"
event_00016,event_00017,1,,"U13,U17,U22,U24",1,episode_0004,CTX_0004,"{U13,U22}","{U17,U24}"
event_00018,event_00019,1,,"U05,U07,U14,U36",1,episode_0005,CTX_0005,"{U05,U36}","{U07,U14}"
event_00019,event_00020,1,,"U05,U07,U14,U38",1,episode_0005,CTX_0005,"{U07,U14}","{U05,U38}"
event_00021,event_00022,0,,"U01,U04,U23,U38",1,episode_0006,CTX_0006,"{U01,U38}","{U04,U23}"
event_00022,event_00023,-1,U04,"U20,U23",1,episode_0006,CTX_0006,"{U04,U23}","{U04,U20}"
event_00023,event_00024,-1,U20,"U04,U16",1,episode_0006,CTX_0006,"{U04,U20}","{U16,U20}"
