event_id,episode_id,t_start,t_end,participants,label,intensities,context,source_window,outcome
event_00000,episode_0000,0,0,"U01,U18","{U01,U18}","{""U01"": 0.8, ""U18"": 0.8}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:0:0,OUT_0000
event_00001,episode_0000,0,2,"U11,U18","{U11,U18}","{""U11"": 0.9894, ""U18"": 0.9878}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:sliding_window:0:2|consensus_pair:decoder:consensus_pair:union:heu_like:heu:2:2,OUT_0000
event_00002,episode_0000,1,1,"U06,U32","{U06,U32}","{""U06"": 0.8069, ""U32"": 0.8077}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:1:1,OUT_0000
event_00003,episode_0000,3,3,"U05,U13","{U05,U13}","{""U05"": 0.8138, ""U13"": 0.9451}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:3:3,OUT_0000
event_00004,episode_0000,4,4,"U15,U38","{U15,U38}","{""U15"": 0.8141, ""U38"": 0.8159}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:4:4,OUT_0000
event_00005,episode_0000,5,5,"U11,U31","{U11,U31}","{""U11"": 0.8743, ""U31"": 0.8942}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:5:5,OUT_0000
event_00006,episode_0000,5,7,"U27,U34","{U27,U34}","{""U27"": 0.9637, ""U34"": 0.9778}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:sliding_window:5:7|heu_like:heu:6:6|consensus_pair:decoder:consensus_pair:union:heu_like:heu:7:7,OUT_0000
event_00007,episode_0000,10,10,"U17,U31","{U17,U31}","{""U17"": 0.9469, ""U31"": 0.8349}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:10:10,OUT_0000
event_00008,episode_0000,10,12,"U04,U31","{U04,U31}","{""U04"": 0.9435, ""U31"": 1.0232}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:sliding_window:10:12,OUT_0000
event_00009,episode_0000,11,11,"U04,U14","{U04,U14}","{""U04"": 0.947, ""U14"": 0.9473}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:11:11,OUT_0000
event_00010,episode_0000,12,12,"U13,U16","{U13,U16}","{""U13"": 0.8183, ""U16"": 0.8149}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:12:12,OUT_0000
event_00011,episode_0000,13,13,"U00,U02","{U00,U02}","{""U00"": 0.8152, ""U02"": 0.8137}",CTX_0000,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:13:13,OUT_0000
event_00012,episode_0001,17,17,"U08,U10","{U08,U10}","{""U08"": 0.8, ""U10"": 0.8}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:17:17,OUT_0001
event_00013,episode_0001,18,18,"U08,U35","{U08,U35}","{""U08"": 0.944, ""U35"": 0.944}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:18:18,OUT_0001
event_00014,episode_0001,19,19,"U08,U12","{U08,U12}","{""U08"": 0.9699, ""U12"": 0.8107}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:19:19,OUT_0001
event_00015,episode_0001,21,21,"U10,U23","{U10,U23}","{""U10"": 0.8427, ""U23"": 0.8618}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:21:21,OUT_0001
event_00016,episode_0001,22,22,"U24,U28","{U24,U28}","{""U24"": 0.8114, ""U28"": 0.8155}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:22:22,OUT_0001
event_00017,episode_0001,23,23,"U28,U38","{U28,U38}","{""U28"": 0.9468, ""U38"": 0.9467}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:23:23,OUT_0001
event_00018,episode_0001,24,24,"U10,U28","{U10,U28}","{""U10"": 0.8689, ""U28"": 0.9704}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:24:24,OUT_0001
event_00019,episode_0001,26,26,"U11,U14","{U11,U14}","{""U11"": 0.8181, ""U14"": 0.8122}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:26:26,OUT_0001
event_00020,episode_0001,27,27,"U27,U28","{U27,U28}","{""U27"": 0.8112, ""U28"": 0.8747}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:27:27,OUT_0001
event_00021,episode_0001,27,29,"U23,U27","{U23,U27}","{""U23"": 0.9587, ""U27"": 1.0055}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:sliding_window:27:29|heu_like:heu:28:28,OUT_0001
event_00022,episode_0001,29,29,"U06,U27","{U06,U27}","{""U06"": 0.815, ""U27"": 0.9703}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:29:29,OUT_0001
event_00023,episode_0001,30,30,"U00,U11","{U00,U11}","{""U00"": 0.8166, ""U11"": 0.843}",CTX_0001,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:30:30,OUT_0001
event_00024,episode_0002,34,34,"U13,U14","{U13,U14}","{""U13"": 0.8, ""U14"": 0.8}",CTX_0002,union:consensus_pair:decoder:consensus_pair:union:heu_like:heu:34:34,OUT_0002
