pattern,support,variants,predicted_next_events,contexts,outcomes
"{U07,U26}",32,"{U09,U36}:2;{U08,U32}:1;{U02,U11}:1;{U01,U03}:1;{U12,U26}:1;{U07,U20}:1;{U09,U10}:1;{U05,U13}:1;{U19,U36}:1;{U08,U28}:1;{U25,U39}:1;{U14,U17}:1;{U07,U12}:1;{U00,U04}:1;{U06,U27}:1;{U11,U22}:1;{U21,U26}:1;{U01,U12}:1;{U01,U23}:1;{U16,U23}:1;{U03,U21}:1;{U07,U14}:1;{U15,U32}:1;{U28,U30}:1;{U04,U08}:1;{U24,U35}:1;{U07,U36}:1;{U07,U27}:1;{U02,U07}:1","{U09,U36};{U08,U32};{U02,U11};{U01,U03};{U12,U26};{U07,U20};{U09,U10};{U05,U13};{U19,U36};{U08,U28};{U25,U39};{U14,U17};{U07,U12};{U00,U04};{U06,U27};{U11,U22};{U21,U26};{U01,U12};{U01,U23};{U16,U23};{U03,U21};{U07,U14};{U15,U32};{U28,U30};{U04,U08};{U24,U35};{U07,U36};{U07,U27};{U02,U07}",CTX_0029:2;CTX_0070:2;CTX_0009:1;CTX_0023:1;CTX_0034:1;CTX_0040:1;CTX_0046:1;CTX_0047:1;CTX_0057:1;CTX_0058:1;CTX_0063:1;CTX_0064:1;CTX_0068:1;CTX_0092:1;CTX_0093:1;CTX_0105:1;CTX_0108:1;CTX_0110:1;CTX_0111:1;CTX_0115:1;CTX_0117:1;CTX_0118:1;CTX_0131:1;CTX_0151:1;CTX_0152:1;CTX_0153:1;CTX_0160:1;CTX_0163:1;CTX_0186:1;CTX_0197:1,OUT_0029:2;OUT_0070:2;OUT_0009:1;OUT_0023:1;OUT_0034:1;OUT_0040:1;OUT_0046:1;OUT_0047:1;OUT_0057:1;OUT_0058:1;OUT_0063:1;OUT_0064:1;OUT_0068:1;OUT_0092:1;OUT_0093:1;OUT_0105:1;OUT_0108:1;OUT_0110:1;OUT_0111:1;OUT_0115:1;OUT_0117:1;OUT_0118:1;OUT_0131:1;OUT_0151:1;OUT_0152:1;OUT_0153:1;OUT_0160:1;OUT_0163:1;OUT_0186:1;OUT_0197:1
"{U19,U36}",28,"{U19,U23}:2;{U10,U31}:2;{U10,U19}:1;{U19,U29}:1;{U34,U36}:1;{U16,U36}:1;{U02,U32}:1;{U02,U04}:1;{U09,U24}:1;{U02,U19}:1;{U27,U36}:1;{U34,U39}:1;{U35,U38}:1;{U17,U32}:1;{U15,U36}:1;{U03,U26}:1;{U07,U15}:1;{U08,U33}:1;{U12,U30}:1;{U27,U29}:1;{U28,U39}:1;{U29,U31}:1;{U05,U27}:1;{U11,U14}:1","{U19,U23};{U10,U31};{U10,U19};{U19,U29};{U34,U36};{U16,U36};{U02,U32};{U02,U04};{U09,U24};{U02,U19};{U27,U36};{U34,U39};{U35,U38};{U17,U32};{U15,U36};{U03,U26};{U07,U15};{U08,U33};{U12,U30};{U27,U29};{U28,U39};{U29,U31};{U05,U27};{U11,U14}",CTX_0051:2;CTX_0016:1;CTX_0023:1;CTX_0024:1;CTX_0028:1;CTX_0042:1;CTX_0043:1;CTX_0047:1;CTX_0070:1;CTX_0074:1;CTX_0076:1;CTX_0082:1;CTX_0083:1;CTX_0085:1;CTX_0091:1;CTX_0093:1;CTX_0095:1;CTX_0129:1;CTX_0130:1;CTX_0132:1;CTX_0137:1;CTX_0148:1;CTX_0155:1;CTX_0157:1;CTX_0161:1;CTX_0168:1;CTX_0170:1,OUT_0051:2;OUT_0016:1;OUT_0023:1;OUT_0024:1;OUT_0028:1;OUT_0042:1;OUT_0043:1;OUT_0047:1;OUT_0070:1;OUT_0074:1;OUT_0076:1;OUT_0082:1;OUT_0083:1;OUT_0085:1;OUT_0091:1;OUT_0093:1;OUT_0095:1;OUT_0129:1;OUT_0130:1;OUT_0132:1;OUT_0137:1;OUT_0148:1;OUT_0155:1;OUT_0157:1;OUT_0161:1;OUT_0168:1;OUT_0170:1
"{U27,U30}",23,"{U04,U06}:2;{U07,U15}:1;{U03,U17}:1;{U28,U38}:1;{U18,U27}:1;{U13,U23}:1;{U10,U33}:1;{U27,U34}:1;{U09,U27}:1;{U27,U30}:1;{U05,U28}:1;{U10,U21}:1;{U13,U27}:1;{U21,U39}:1;{U08,U27}:1;{U14,U37}:1;{U15,U26}:1;{U07,U21}:1;{U24,U27}:1;{U07,U14}:1;{U28,U30}:1","{U04,U06};{U07,U15};{U03,U17};{U28,U38};{U18,U27};{U13,U23};{U10,U33};{U27,U34};{U09,U27};{U27,U30};{U05,U28};{U10,U21};{U13,U27};{U21,U39};{U08,U27};{U14,U37};{U15,U26};{U07,U21};{U24,U27};{U07,U14};{U28,U30}",CTX_0058:2;CTX_0007:1;CTX_0012:1;CTX_0013:1;CTX_0020:1;CTX_0025:1;CTX_0030:1;CTX_0031:1;CTX_0045:1;CTX_0050:1;CTX_0071:1;CTX_0094:1;CTX_0116:1;CTX_0140:1;CTX_0145:1;CTX_0146:1;CTX_0148:1;CTX_0152:1;CTX_0172:1;CTX_0186:1;CTX_0187:1;CTX_0190:1,OUT_0058:2;OUT_0007:1;OUT_0012:1;OUT_0013:1;OUT_0020:1;OUT_0025:1;OUT_0030:1;OUT_0031:1;OUT_0045:1;OUT_0050:1;OUT_0071:1;OUT_0094:1;OUT_0116:1;OUT_0140:1;OUT_0145:1;OUT_0146:1;OUT_0148:1;OUT_0152:1;OUT_0172:1;OUT_0186:1;OUT_0187:1;OUT_0190:1
"{U24,U28}",22,"{U28,U38}:1;{U17,U24}:1;{U00,U11}:1;{U24,U25}:1;{U01,U28}:1;{U10,U34}:1;{U09,U30}:1;{U24,U33}:1;{U12,U35}:1;{U14,U24}:1;{U28,U32}:1;{U19,U24}:1;{U00,U31}:1;{U05,U31}:1;{U27,U37}:1;{U31,U36}:1;{U27,U30}:1;{U35,U39}:1;{U08,U23}:1","{U28,U38};{U17,U24};{U00,U11};{U24,U25};{U01,U28};{U10,U34};{U09,U30};{U24,U33};{U12,U35};{U14,U24};{U28,U32};{U19,U24};{U00,U31};{U05,U31};{U27,U37};{U31,U36};{U27,U30};{U35,U39};{U08,U23}",CTX_0004:2;CTX_0182:2;CTX_0001:1;CTX_0015:1;CTX_0040:1;CTX_0056:1;CTX_0059:1;CTX_0062:1;CTX_0103:1;CTX_0113:1;CTX_0114:1;CTX_0129:1;CTX_0146:1;CTX_0158:1;CTX_0164:1;CTX_0167:1;CTX_0179:1;CTX_0186:1;CTX_0193:1;CTX_0194:1,OUT_0004:2;OUT_0182:2;OUT_0001:1;OUT_0015:1;OUT_0040:1;OUT_0056:1;OUT_0059:1;OUT_0062:1;OUT_0103:1;OUT_0113:1;OUT_0114:1;OUT_0129:1;OUT_0146:1;OUT_0158:1;OUT_0164:1;OUT_0167:1;OUT_0179:1;OUT_0186:1;OUT_0193:1;OUT_0194:1
"{U00,U02}",21,"{U02,U35}:2;{U00,U21}:2;{U00,U36}:1;{U07,U38}:1;{U17,U19}:1;{U00,U03}:1;{U09,U30}:1;{U07,U24}:1;{U02,U06}:1;{U07,U26}:1;{U00,U34}:1;{U06,U34}:1;{U27,U30}:1;{U26,U28}:1;{U20,U30}:1;{U36,U38}:1;{U09,U10}:1","{U02,U35};{U00,U21};{U00,U36};{U07,U38};{U17,U19};{U00,U03};{U09,U30};{U07,U24};{U02,U06};{U07,U26};{U00,U34};{U06,U34};{U27,U30};{U26,U28};{U20,U30};{U36,U38};{U09,U10}",CTX_0000:1;CTX_0002:1;CTX_0044:1;CTX_0047:1;CTX_0063:1;CTX_0064:1;CTX_0069:1;CTX_0085:1;CTX_0089:1;CTX_0105:1;CTX_0108:1;CTX_0111:1;CTX_0112:1;CTX_0121:1;CTX_0145:1;CTX_0147:1;CTX_0166:1;CTX_0168:1;CTX_0173:1;CTX_0176:1;CTX_0185:1,OUT_0000:1;OUT_0002:1;OUT_0044:1;OUT_0047:1;OUT_0063:1;OUT_0064:1;OUT_0069:1;OUT_0085:1;OUT_0089:1;OUT_0105:1;OUT_0108:1;OUT_0111:1;OUT_0112:1;OUT_0121:1;OUT_0145:1;OUT_0147:1;OUT_0166:1;OUT_0168:1;OUT_0173:1;OUT_0176:1;OUT_0185:1
"{U07,U15}",20,"{U36,U37}:1;{U02,U06}:1;{U32,U36}:1;{U10,U15}:1;{U31,U38}:1;{U10,U31}:1;{U24,U30}:1;{U05,U07}:1;{U02,U07}:1;{U07,U29}:1;{U07,U26}:1;{U13,U15}:1;{U00,U36}:1;{U26,U35}:1;{U15,U20}:1;{U10,U23}:1;{U11,U36}:1;{U21,U34}:1;{U15,U34}:1","{U36,U37};{U02,U06};{U32,U36};{U10,U15};{U31,U38};{U10,U31};{U24,U30};{U05,U07};{U02,U07};{U07,U29};{U07,U26};{U13,U15};{U00,U36};{U26,U35};{U15,U20};{U10,U23};{U11,U36};{U21,U34};{U15,U34}",CTX_0079:2;CTX_0096:2;CTX_0124:2;CTX_0006:1;CTX_0007:1;CTX_0010:1;CTX_0021:1;CTX_0084:1;CTX_0093:1;CTX_0115:1;CTX_0117:1;CTX_0130:1;CTX_0150:1;CTX_0154:1;CTX_0157:1;CTX_0174:1;CTX_0184:1,OUT_0079:2;OUT_0096:2;OUT_0124:2;OUT_0006:1;OUT_0007:1;OUT_0010:1;OUT_0021:1;OUT_0084:1;OUT_0093:1;OUT_0115:1;OUT_0117:1;OUT_0130:1;OUT_0150:1;OUT_0154:1;OUT_0157:1;OUT_0174:1;OUT_0184:1
"{U25,U32}",20,"{U25,U38}:1;{U03,U25}:1;{U02,U35}:1;{U23,U24}:1;{U12,U25}:1;{U06,U25}:1;{U16,U32}:1;{U29,U36}:1;{U17,U32}:1;{U10,U27}:1;{U14,U29}:1;{U35,U38}:1;{U11,U27}:1;{U32,U35}:1;{U17,U25}:1;{U13,U25}:1;{U06,U33}:1;{U19,U37}:1","{U25,U38};{U03,U25};{U02,U35};{U23,U24};{U12,U25};{U06,U25};{U16,U32};{U29,U36};{U17,U32};{U10,U27};{U14,U29};{U35,U38};{U11,U27};{U32,U35};{U17,U25};{U13,U25};{U06,U33};{U19,U37}",CTX_0008:2;CTX_0092:2;CTX_0135:2;CTX_0195:2;CTX_0017:1;CTX_0045:1;CTX_0107:1;CTX_0118:1;CTX_0122:1;CTX_0125:1;CTX_0128:1;CTX_0131:1;CTX_0145:1;CTX_0175:1;CTX_0184:1;CTX_0196:1,OUT_0008:2;OUT_0092:2;OUT_0135:2;OUT_0195:2;OUT_0017:1;OUT_0045:1;OUT_0107:1;OUT_0118:1;OUT_0122:1;OUT_0125:1;OUT_0128:1;OUT_0131:1;OUT_0145:1;OUT_0175:1;OUT_0184:1;OUT_0196:1
"{U16,U19}",20,"{U17,U31}:1;{U08,U29}:1;{U35,U36}:1;{U05,U32}:1;{U11,U36}:1;{U15,U16}:1;{U05,U39}:1;{U01,U04}:1;{U06,U20}:1;{U09,U13}:1;{U01,U29}:1;{U08,U28}:1;{U17,U19}:1;{U11,U31}:1;{U02,U19}:1;{U10,U34}:1;{U35,U39}:1;{U16,U23}:1","{U17,U31};{U08,U29};{U35,U36};{U05,U32};{U11,U36};{U15,U16};{U05,U39};{U01,U04};{U06,U20};{U09,U13};{U01,U29};{U08,U28};{U17,U19};{U11,U31};{U02,U19};{U10,U34};{U35,U39};{U16,U23}",CTX_0010:1;CTX_0020:1;CTX_0038:1;CTX_0040:1;CTX_0067:1;CTX_0068:1;CTX_0081:1;CTX_0090:1;CTX_0105:1;CTX_0106:1;CTX_0118:1;CTX_0133:1;CTX_0136:1;CTX_0143:1;CTX_0151:1;CTX_0157:1;CTX_0160:1;CTX_0165:1;CTX_0173:1;CTX_0174:1,OUT_0010:1;OUT_0020:1;OUT_0038:1;OUT_0040:1;OUT_0067:1;OUT_0068:1;OUT_0081:1;OUT_0090:1;OUT_0105:1;OUT_0106:1;OUT_0118:1;OUT_0133:1;OUT_0136:1;OUT_0143:1;OUT_0151:1;OUT_0157:1;OUT_0160:1;OUT_0165:1;OUT_0173:1;OUT_0174:1
"{U14,U26}",19,"{U09,U36}:1;{U00,U11}:1;{U05,U34}:1;{U00,U21}:1;{U26,U37}:1;{U17,U26}:1;{U10,U28}:1;{U14,U24}:1;{U02,U29}:1;{U02,U33}:1;{U25,U27}:1;{U05,U13}:1;{U14,U31}:1;{U10,U25}:1;{U26,U27}:1;{U19,U37}:1;{U03,U37}:1","{U09,U36};{U00,U11};{U05,U34};{U00,U21};{U26,U37};{U17,U26};{U10,U28};{U14,U24};{U02,U29};{U02,U33};{U25,U27};{U05,U13};{U14,U31};{U10,U25};{U26,U27};{U19,U37};{U03,U37}",CTX_0003:1;CTX_0014:1;CTX_0017:1;CTX_0018:1;CTX_0028:1;CTX_0062:1;CTX_0072:1;CTX_0075:1;CTX_0077:1;CTX_0086:1;CTX_0087:1;CTX_0138:1;CTX_0142:1;CTX_0154:1;CTX_0175:1;CTX_0179:1;CTX_0192:1;CTX_0196:1;CTX_0198:1,OUT_0003:1;OUT_0014:1;OUT_0017:1;OUT_0018:1;OUT_0028:1;OUT_0062:1;OUT_0072:1;OUT_0075:1;OUT_0077:1;OUT_0086:1;OUT_0087:1;OUT_0138:1;OUT_0142:1;OUT_0154:1;OUT_0175:1;OUT_0179:1;OUT_0192:1;OUT_0196:1;OUT_0198:1
"{U09,U36}",19,"{U07,U22}:2;{U00,U11}:1;{U32,U34}:1;{U08,U28}:1;{U04,U39}:1;{U31,U34}:1;{U02,U16}:1;{U35,U39}:1;{U17,U19}:1;{U32,U36}:1;{U09,U30}:1;{U09,U26}:1;{U20,U22}:1;{U04,U14}:1;{U07,U15}:1;{U04,U29}:1","{U07,U22};{U00,U11};{U32,U34};{U08,U28};{U04,U39};{U31,U34};{U02,U16};{U35,U39};{U17,U19};{U32,U36};{U09,U30};{U09,U26};{U20,U22};{U04,U14};{U07,U15};{U04,U29}",CTX_0134:2;CTX_0003:1;CTX_0016:1;CTX_0029:1;CTX_0032:1;CTX_0050:1;CTX_0054:1;CTX_0055:1;CTX_0058:1;CTX_0060:1;CTX_0088:1;CTX_0110:1;CTX_0124:1;CTX_0127:1;CTX_0129:1;CTX_0143:1;CTX_0174:1;CTX_0183:1,OUT_0134:2;OUT_0003:1;OUT_0016:1;OUT_0029:1;OUT_0032:1;OUT_0050:1;OUT_0054:1;OUT_0055:1;OUT_0058:1;OUT_0060:1;OUT_0088:1;OUT_0110:1;OUT_0124:1;OUT_0127:1;OUT_0129:1;OUT_0143:1;OUT_0174:1;OUT_0183:1
