environment_id,world,detector_variant,detector,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction,window_size,activation_threshold,dropout_probability,spurious_probability,heu_attack_rate,heu_recovery_rate,heu_leak_rate,heu_commitment_threshold,hysteresis_off_ratio,hybrid_local_threshold_ratio,event_decoder,decoder_subset_size
branch_clean,branch,sliding_window_default,sliding_window,faithful,within_useful_manifold,420,280,26,60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.54706,0.857143,0.857143,3,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
branch_clean,branch,sliding_window_short,sliding_window,faithful,within_useful_manifold,420,280,24,60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.553003,0.857143,0.857143,2,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
branch_clean,branch,sliding_window_long,sliding_window,failed,undercapture;motif_loss,188,69,17,5;0,0.0,0.685714,0.0,1.0,0.695652,0.0,1.0,0.375143,0.625,0.865546,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
branch_clean,branch,sliding_window_low_threshold,sliding_window,failed,overcapture,418,278,25,60;60,1.0,1.555556,0.555556,1.0,1.0,0.0,1.0,0.55171,0.869565,0.857143,3,0.6,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
branch_clean,branch,sliding_window_high_threshold,sliding_window,faithful,within_useful_manifold,420,280,24,60;60,1.0,1.019417,0.019417,1.0,1.0,0.0,1.0,0.554659,0.857143,0.857143,3,0.9,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
branch_clean,branch,heu_default,heu_like,faithful,within_useful_manifold,420,280,27,60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.544638,0.857143,0.857143,3,0.75,0.0,0.0,0.8,0.35,0.02,0.65,0.55,0.75,none,2
branch_clean,branch,heu_fast_decay,heu_like,faithful,within_useful_manifold,420,280,30,60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.547498,0.857143,0.857143,3,0.75,0.0,0.0,0.8,0.6,0.05,0.65,0.55,0.75,none,2
branch_clean,branch,heu_slow_decay,heu_like,failed,overcapture,421,281,26,59;59,0.983333,1.667857,0.667857,0.952381,0.97619,0.0,0.952381,0.548639,0.836879,0.842857,3,0.75,0.0,0.0,0.8,0.15,0.0,0.65,0.55,0.75,none,2
branch_clean,branch,heu_high_commit,heu_like,faithful,within_useful_manifold,420,280,26,60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.548015,0.857143,0.857143,3,0.75,0.0,0.0,0.8,0.35,0.02,0.8,0.55,0.75,none,2
branch_clean,branch,heu_low_commit,heu_like,degraded,overcapture_degradation,420,280,27,60;60,1.0,1.333333,0.333333,1.0,1.0,0.0,1.0,0.5537,0.857143,0.857143,3,0.75,0.0,0.0,0.8,0.35,0.02,0.5,0.55,0.75,none,2
