world,environment,detector_variant,detector,event_decoder,decoder_subset_size,status,failure_modes,score,event_count,motif_count,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,predictive_accuracy_delta,compressibility_index,transition_count,canonical_motif_supports,event_context_accuracy,collapsed_static_accuracy,recurring_three_event_window_fraction,repeated_episode_instance_fraction
branch,dropout,sliding_window_default,sliding_window,none,2,failed,coverage_degradation;motif_loss,0.44255,299,23,0.366667,0.754415,0.0,1.0,1.0,0.52353,163,22;25,0.894737,0.0,0.903846,0.867647
branch,dropout,sliding_window_short,sliding_window,none,2,failed,coverage_degradation;motif_loss,0.54385,376,28,0.666667,0.885917,0.0,1.0,1.0,0.541107,236,40;47,0.945205,0.0,0.87,0.821429
branch,dropout,sliding_window_long,sliding_window,none,2,failed,undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0.101839,133,17,0.0,0.509197,0.0,0.0,0.0,0.293243,38,2;0,0.571429,0.0,0.5,0.873684
branch,dropout,sliding_window_low_threshold,sliding_window,none,2,failed,overcapture;motif_degradation,0.523399,411,26,0.9,1.508003,0.508003,1.0,1.0,0.549538,271,58;54,1.0,0.0,0.848485,0.835714
branch,dropout,sliding_window_high_threshold,sliding_window,none,2,failed,coverage_degradation;motif_loss,0.451429,313,26,0.366667,0.798809,0.0,1.0,1.0,0.497656,174,30;22,0.909091,0.0,0.83871,0.870504
branch,dropout,heu_default,heu_like,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.770401,449,42,0.916667,0.9486,0.0,0.903846,0.861293,0.538326,309,55;56,0.925532,0.042553,0.863905,0.842857
branch,dropout,heu_fast_decay,heu_like,none,2,degraded,motif_degradation;history_prediction_degradation,0.777581,450,38,0.916667,0.954243,0.0,0.94,0.885652,0.536823,310,60;55,0.934783,0.054348,0.852941,0.85
branch,dropout,heu_slow_decay,heu_like,none,2,failed,overcapture,0.506238,422,24,0.983333,1.674167,0.674167,0.97619,0.97619,0.547691,282,59;59,0.988095,0.0,0.830986,0.842857
branch,dropout,heu_high_commit,heu_like,none,2,degraded,motif_degradation;history_prediction_degradation,0.764609,455,41,0.883333,0.950669,0.0,0.903846,0.88257,0.531481,315,55;53,0.925532,0.021277,0.857143,0.85
branch,dropout,heu_low_commit,heu_like,none,2,degraded,overcapture_degradation,0.757996,420,25,1.0,1.335021,0.335021,1.0,1.0,0.551614,280,60;60,1.0,0.0,0.857143,0.857143
branch,dropout,hysteresis_default,hysteresis,none,2,degraded,motif_degradation;history_prediction_degradation,0.774441,452,42,0.933333,0.957711,0.0,0.9,0.845652,0.530693,312,56;58,0.934783,0.054348,0.843023,0.835714
branch,dropout,hysteresis_tight,hysteresis,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.76639,446,40,0.9,0.944981,0.0,0.897959,0.875981,0.536089,306,54;55,0.934066,0.021978,0.861446,0.85
