world,detector_variant,detector,dropout_score,spurious_score,combined_score,dropout_status,spurious_status,combined_status,frontier,pareto_dominated
branch,sliding_window_default,sliding_window,0.44255,0.781339,0.403176,failed,degraded,failed,False,True
branch,sliding_window_short,sliding_window,0.54385,0.755205,0.487966,failed,degraded,failed,False,True
branch,sliding_window_long,sliding_window,0.101839,0.318336,0.295524,failed,failed,failed,False,True
branch,sliding_window_low_threshold,sliding_window,0.523399,0.694815,0.675936,failed,degraded,degraded,False,True
branch,sliding_window_high_threshold,sliding_window,0.451429,0.782455,0.425999,failed,degraded,failed,True,False
branch,heu_default,heu_like,0.770401,0.263018,0.246513,degraded,failed,failed,False,True
branch,heu_fast_decay,heu_like,0.777581,0.282316,0.247731,degraded,failed,failed,True,False
branch,heu_slow_decay,heu_like,0.506238,0.106461,0.088744,failed,failed,failed,False,True
branch,heu_high_commit,heu_like,0.764609,0.281853,0.279884,degraded,failed,failed,False,True
branch,heu_low_commit,heu_like,0.757996,0.16258,0.170729,degraded,failed,failed,False,True
branch,hysteresis_default,hysteresis,0.774441,0.280394,0.239775,degraded,failed,failed,False,True
branch,hysteresis_tight,hysteresis,0.76639,0.278687,0.250044,degraded,failed,failed,False,True
branch,hysteresis_loose,hysteresis,0.756279,0.257082,0.269033,degraded,failed,failed,False,True
branch,hysteresis_low_threshold,hysteresis,0.776449,0.29264,0.235799,degraded,failed,failed,True,False
branch,hysteresis_high_threshold,hysteresis,0.779807,0.280397,0.263879,degraded,failed,failed,True,False
branch,hybrid_default,hybrid_state_window,0.754656,0.493785,0.481503,degraded,failed,failed,True,False
branch,hybrid_strict_local,hybrid_state_window,0.407565,0.514123,0.350983,failed,failed,failed,False,True
branch,hybrid_loose_local,hybrid_state_window,0.753663,0.494199,0.472901,degraded,failed,failed,True,False
branch,hybrid_fast_decay,hybrid_state_window,0.730839,0.487857,0.48846,degraded,failed,failed,False,True
branch,hybrid_high_commit,hybrid_state_window,0.749169,0.510288,0.483352,degraded,failed,failed,True,False
branch,union_default,union_state_window,0.751537,0.250198,0.255515,degraded,failed,failed,False,True
branch,union_fast_decay,union_state_window,0.77481,0.257349,0.256098,degraded,failed,failed,False,True
branch,union_high_commit,union_state_window,0.757653,0.245638,0.277924,degraded,failed,failed,False,True
branch,union_low_threshold,union_state_window,0.544615,0.204006,0.173644,failed,failed,failed,False,True
branch,union_top_intensity_pair,union_state_window,0.765335,0.435732,0.380018,degraded,failed,failed,False,True
branch,union_frequent_subset_pair,union_state_window,0.774646,0.467669,0.392231,degraded,failed,failed,True,False
branch,union_consensus_pair,union_state_window,0.767977,0.456474,0.39353,degraded,failed,failed,True,False
branch,union_consensus_fast_decay,union_state_window,0.732838,0.451032,0.401167,degraded,failed,failed,False,True
branch,sliding_low_consensus_pair,sliding_window,0.538788,0.746998,0.746334,failed,degraded,degraded,True,False
branch,hybrid_fast_consensus_pair,hybrid_state_window,0.73192,0.563379,0.519018,degraded,failed,failed,True,False
overlap,sliding_window_default,sliding_window,0.449878,0.77303,0.386187,failed,degraded,failed,False,True
overlap,sliding_window_short,sliding_window,0.548029,0.759692,0.501788,failed,degraded,failed,True,False
overlap,sliding_window_long,sliding_window,0.106597,0.320622,0.285252,failed,failed,failed,False,True
overlap,sliding_window_low_threshold,sliding_window,0.537402,0.685499,0.66407,failed,degraded,degraded,False,True
overlap,sliding_window_high_threshold,sliding_window,0.431065,0.776596,0.421406,failed,degraded,failed,False,True
overlap,heu_default,heu_like,0.760413,0.265426,0.242965,degraded,failed,failed,False,True
overlap,heu_fast_decay,heu_like,0.761677,0.275143,0.259772,degraded,failed,failed,False,True
overlap,heu_slow_decay,heu_like,0.510449,0.120434,0.089416,failed,failed,failed,False,True
overlap,heu_high_commit,heu_like,0.752044,0.282637,0.259662,degraded,failed,failed,False,True
overlap,heu_low_commit,heu_like,0.759466,0.16732,0.170577,degraded,failed,failed,False,True
overlap,hysteresis_default,hysteresis,0.768785,0.274857,0.24746,degraded,failed,failed,False,True
overlap,hysteresis_tight,hysteresis,0.747346,0.273375,0.240659,degraded,failed,failed,False,True
overlap,hysteresis_loose,hysteresis,0.762425,0.277259,0.244476,degraded,failed,failed,False,True
overlap,hysteresis_low_threshold,hysteresis,0.743841,0.274086,0.258141,degraded,failed,failed,False,True
overlap,hysteresis_high_threshold,hysteresis,0.750894,0.281696,0.274588,degraded,failed,failed,False,True
overlap,hybrid_default,hybrid_state_window,0.743367,0.505964,0.4445,degraded,failed,failed,False,True
overlap,hybrid_strict_local,hybrid_state_window,0.409476,0.517962,0.396031,failed,failed,failed,False,True
overlap,hybrid_loose_local,hybrid_state_window,0.738252,0.49528,0.447052,degraded,failed,failed,False,True
overlap,hybrid_fast_decay,hybrid_state_window,0.731535,0.482144,0.448826,degraded,failed,failed,False,True
overlap,hybrid_high_commit,hybrid_state_window,0.711308,0.467,0.453264,degraded,failed,failed,False,True
overlap,union_default,union_state_window,0.740464,0.248899,0.242434,degraded,failed,failed,False,True
overlap,union_fast_decay,union_state_window,0.77465,0.254166,0.258886,degraded,failed,failed,False,True
overlap,union_high_commit,union_state_window,0.746803,0.265469,0.276027,degraded,failed,failed,False,True
overlap,union_low_threshold,union_state_window,0.547345,0.159939,0.146595,failed,failed,failed,False,True
overlap,union_top_intensity_pair,union_state_window,0.761264,0.418261,0.337548,degraded,failed,failed,False,True
overlap,union_frequent_subset_pair,union_state_window,0.750671,0.429231,0.390147,degraded,failed,failed,False,True
overlap,union_consensus_pair,union_state_window,0.758095,0.444311,0.364651,degraded,failed,failed,False,True
overlap,union_consensus_fast_decay,union_state_window,0.757124,0.444381,0.373488,degraded,failed,failed,False,True
overlap,sliding_low_consensus_pair,sliding_window,0.528055,0.772657,0.753256,failed,degraded,degraded,True,False
overlap,hybrid_fast_consensus_pair,hybrid_state_window,0.736268,0.555421,0.519138,degraded,failed,failed,True,False
