seed_index,seed,world,detector_variant,detector,event_decoder,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,canonical_length3_supports,canonical_length3_support_min,canonical_length3_support_mass,canonical_length3_support_fraction,representation_gain,canonical_length3_ranks,canonical_length3_rank_worst,length3_motif_support_mass,length3_motif_count,top5_length3_patterns,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
0,7,branch,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,452,312,45,55;46,0.766667,55;46,46,101,0.9439252336448598,0.177258,1;2,2,107,5,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D,E} | {A,B,E} -> {B,E} -> {E,F} | {B,D,E} -> {B,E} -> {E,F}",1.272376,0.272376,0.818182,0.886364,0.0,0.818182,0.448866,0.622093,0.671429
0,7,branch,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation,429,289,31,60;54,0.9,60;54,54,114,0.9827586206896551,0.082759,1;2,2,116,3,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {B,E} -> {E,F} -> {B,E}",1.21056,0.21056,0.952381,0.97619,0.0,0.952381,0.516202,0.778523,0.807143
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation,427,287,29,59;54,0.9,59;54,54,113,1.0,0.1,1;2,2,113,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.204121,0.204121,0.952381,0.97619,0.0,0.952381,0.510722,0.763514,0.792857
0,7,branch,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation;history_prediction_degradation,440,300,35,59;54,0.9,59;54,54,113,0.9338842975206612,0.033884,1;2,2,121,4,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {A,B} -> {B,E}",0.566001,0.0,0.888889,0.909091,0.042553,0.846336,0.499817,0.75625,0.771429
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_loss;history_prediction_failure,557,417,90,40;40,0.666667,40;40,40,80,0.54421768707483,-0.122449,1;2,2,147,22,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {B,C} -> {B,C} | {B,C} -> {C,D} -> {C,D}",0.808113,0.0,0.61194,0.695652,0.048387,0.563553,0.353513,0.530686,0.492857
0,7,overlap,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,645,445,58,46;45;52,0.75,46;45;52,45,143,0.910828025477707,0.160828,2;3;1,3,157,8,"{A,B} -> {B,G} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,E} -> {B,E,F} | {B,E} -> {B,E,F} -> {E,F}",1.278255,0.278255,0.84127,0.880952,0.0,0.84127,0.466437,0.640816,0.7
0,7,overlap,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,611,411,37,53;52;55,0.866667,53;52;55,52,160,1.0,0.133333,2;3;1,3,160,3,"{A,B} -> {B,G} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,E} -> {E,F}",1.21745,0.21745,0.932203,0.957983,0.0,0.932203,0.51577,0.758294,0.8
0,7,overlap,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,612,412,34,53;53;56,0.883333,53;53;56,53,162,1.0,0.116667,3;2;1,3,162,3,"{A,B} -> {B,G} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F}",1.21745,0.21745,0.932203,0.95,0.0,0.932203,0.51796,0.764151,0.81
0,7,overlap,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation;history_prediction_degradation,631,431,38,54;54;54,0.9,54;54;54,54,162,0.8901098901098901,-0.00989,2;1;3,3,182,7,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {A,B} -> {B,E} | {A,B} -> {A,B} -> {B,C}",0.566004,0.0,0.852941,0.899225,0.067669,0.785272,0.525744,0.787879,0.81
0,7,overlap,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_degradation;history_prediction_failure,787,587,107,43;43;44,0.716667,43;43;44,43,130,0.6310679611650486,-0.085599,3;2;1,3,206,27,"{A,B} -> {B,G} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {B,E} -> {E,F} -> {E,F} | {A,B} -> {A,B} -> {B,E}",0.80651,0.0,0.597826,0.71519,0.076471,0.521355,0.371054,0.5323,0.555
0,7,hostile_unique,sliding_window_low_threshold,sliding_window,none,expected_collapse,noncompressible_as_expected,898,698,75,,0.0,,0,0,0.0,0.0,,0,0,0,,0.836139,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0
0,7,hostile_unique,sliding_low_consensus_pair,sliding_window,consensus_pair,expected_collapse,noncompressible_as_expected,768,568,139,,0.0,,0,0,0.0,0.0,,0,0,0,,0.668999,0.0,0.0,0.0,0.0,0.0,0.005887,0.0,0.0
0,7,hostile_unique,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,720,520,117,,0.0,,0,0,0.0,0.0,,0,0,0,,0.647355,0.0,0.0,0.0,0.0,0.0,0.003939,0.0,0.0
0,7,hostile_unique,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,745,545,117,,0.0,,0,0,0.0,0.0,,0,0,0,,0.287057,0.0,0.0,0.0,0.0,0.0,0.00453,0.0,0.0
0,7,hostile_unique,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,1647,1447,518,,0.0,,0,0,0.0,0.0,,0,0,0,,0.571054,0.0,0.0,0.0,0.003333,-0.003333,0.008673,0.0,0.0
1,108,branch,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,459,319,50,45;48,0.75,45;48,45,93,0.9207920792079208,0.170792,2;1,2,101,6,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {B,C,G} -> {B,C} | {B,C,G} -> {B,C} -> {C,D} | {A,B} -> {B,C} -> {B,C,E}",1.27604,0.27604,0.891892,0.829545,0.033708,0.858184,0.414544,0.564246,0.614286
1,108,branch,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation,429,289,30,56;54,0.9,56;54,54,110,1.0,0.1,1;2,2,110,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.200903,0.200903,0.952381,0.97619,0.011905,0.940476,0.492927,0.738255,0.75
