pattern,support,variants,predicted_next_events,contexts,outcomes
"{A,B}",125,"{B,C}:60;{B,E}:60;{C,G}:1;{A,B}:1;{F,H}:1","{B,C};{B,E};{C,G};{A,B};{F,H}",X:60;Z:60;N:5,Y1:60;Y2:60;YN:5
"{C,D}",63,"{A,F}:1","{A,F}",X:60;N:3,Y1:60;YN:3
"{B,E}",63,"{E,F}:60;{A,H}:1;{C,D}:1;{F,G}:1","{E,F};{A,H};{C,D};{F,G}",Z:60;N:3,Y2:60;YN:3
"{E,F}",63,"{F,G}:1","{F,G}",Z:60;N:3,Y2:60;YN:3
"{B,C}",61,"{C,D}:60;{B,D}:1","{C,D};{B,D}",X:60;N:1,Y1:60;YN:1
"{A,B} -> {B,C}",60,"{C,D}:60","{C,D}",X:60,Y1:60
"{B,C} -> {C,D}",60,,,X:60,Y1:60
"{A,B} -> {B,C} -> {C,D}",60,,,X:60,Y1:60
"{A,B} -> {B,E}",60,"{E,F}:60","{E,F}",Z:60,Y2:60
"{B,E} -> {E,F}",60,,,Z:60,Y2:60
"{A,B} -> {B,E} -> {E,F}",60,,,Z:60,Y2:60
"{A,G}",5,"{A,B}:1;{A,E}:1;{C,H}:1;{B,D}:1","{A,B};{A,E};{C,H};{B,D}",N:5,YN:5
"{A,F}",4,"{B,E}:1","{B,E}",N:4,YN:4
"{A,H}",3,"{C,G}:1;{B,E}:1;{A,G}:1","{C,G};{B,E};{A,G}",N:3,YN:3
"{C,G}",3,,,N:3,YN:3
"{B,D}",3,"{A,F}:1;{C,H}:1;{D,E}:1","{A,F};{C,H};{D,E}",N:3,YN:3
"{C,F}",3,"{A,C}:1;{A,D}:1;{A,H}:1","{A,C};{A,D};{A,H}",N:3,YN:3
"{F,G}",3,"{D,E}:1","{D,E}",N:3,YN:3
"{D,G}",2,"{C,F}:1;{G,H}:1","{C,F};{G,H}",N:2,YN:2
"{A,C}",2,"{E,F}:1","{E,F}",N:2,YN:2
"{A,D}",2,"{C,G}:1","{C,G}",N:2,YN:2
"{C,H}",2,"{A,D}:1;{E,F}:1","{A,D};{E,F}",N:2,YN:2
"{G,H}",2,"{A,B}:1","{A,B}",N:2,YN:2
"{D,F}",2,"{D,G}:1;{E,F}:1","{D,G};{E,F}",N:2,YN:2
"{D,E}",2,,,N:2,YN:2
