seed_index,seed,world,detector_variant,detector,event_decoder,null_model,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,canonical_length3_supports,canonical_length3_support_min,canonical_length3_support_mass,canonical_length3_support_fraction,representation_gain,canonical_length3_ranks,canonical_event_support_fraction,canonical_transition_support_fraction,canonical_event_support_mass,canonical_transition_support_mass,motif_over_event_gain,motif_over_transition_gain,canonical_length3_rank_worst,length3_motif_support_mass,length3_motif_count,top5_length3_patterns,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,observed,degraded,overcapture_degradation;motif_degradation,427,287,29,59;54,0.9,59;54,54,113,1.0,0.1,1;2,0.8641686182669789,0.818815331010453,369,235,0.135831,0.181185,2,113,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.204121,0.204121,0.952381,0.97619,0.0,0.952381,0.510722,0.763514,0.792857
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,within_episode_permuted,failed,overcapture_degradation;motif_loss,427,287,46,7;11,0.116667,7;11,7,18,0.15254237288135594,0.035875,12;4,0.8641686182669789,0.2613240418118467,369,75,-0.711626,-0.108782,12,118,12,"{B,C} -> {A,B} -> {C,D} | {B,C} -> {C,D} -> {A,B} | {B,E} -> {A,B} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {B,E} -> {E,F} -> {A,B}",1.204121,0.204121,0.954545,0.488372,0.147727,0.806818,0.45774,0.797297,0.792857
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,episode_boundaries_permuted,failed,overcapture_degradation;motif_loss;history_prediction_failure;no_event_advantage_over_static,427,287,78,0;2,0.0,0;2,0,2,0.03508771929824561,0.035088,0;12,0.8641686182669789,0.14982578397212543,369,43,-0.829081,-0.114738,12,57,24,"{A,B} -> {A,B} -> {A,B} | {A,B} -> {A,B} -> {B,E} | {C,D} -> {B,E} -> {A,B} | {E,F} -> {B,E} -> {E,F} | {C,D} -> {A,B} -> {B,E}",1.204121,0.204121,0.193548,0.25,0.204545,-0.010997,0.288465,0.385135,0.342857
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,global_label_permuted,failed,overcapture_degradation;motif_loss,427,287,29,0;0,0.0,0;0,0,0,0.0,0.0,0;0,0.17798594847775176,0.0,76,0,-0.177986,0.0,0,113,2,"{A,G} -> {D,G} -> {C,G} | {A,G} -> {E,F} -> {B,F}",1.204121,0.204121,0.952381,0.97619,0.0,0.952381,0.510722,0.763514,0.792857
0,7,branch,sliding_window_low_threshold,sliding_window,none,observed,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,452,312,45,55;46,0.766667,55;46,46,101,0.9439252336448598,0.177258,1;2,0.8008849557522124,0.7147435897435898,362,223,0.14304,0.229182,2,107,5,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D,E} | {A,B,E} -> {B,E} -> {E,F} | {B,D,E} -> {B,E} -> {E,F}",1.272376,0.272376,0.818182,0.886364,0.0,0.818182,0.448866,0.622093,0.671429
0,7,branch,sliding_window_low_threshold,sliding_window,none,within_episode_permuted,failed,overcapture_degradation;motif_loss,452,312,61,10;8,0.133333,10;8,8,18,0.16981132075471697,0.036478,4;7,0.8008849557522124,0.2532051282051282,362,79,-0.631074,-0.083394,7,106,13,"{B,C} -> {A,B} -> {C,D} | {B,E} -> {E,F} -> {A,B} | {E,F} -> {A,B} -> {B,E} | {A,B} -> {B,C} -> {C,D} | {C,D} -> {B,C} -> {A,B}",1.278815,0.278815,0.95,0.482759,0.0,0.95,0.394676,0.616279,0.671429
0,7,branch,sliding_window_low_threshold,sliding_window,none,episode_boundaries_permuted,failed,overcapture_degradation;motif_loss;history_prediction_failure,452,312,96,0;2,0.0,0;2,0,2,0.034482758620689655,0.034483,0;15,0.8008849557522124,0.08333333333333333,362,26,-0.766402,-0.048851,15,58,27,"{B,E} -> {A,B} -> {A,B} | {A,B} -> {A,B} -> {E,F} | {B,E} -> {B,E} -> {A,B} | {B,E} -> {C,D} -> {A,B} | {C,D} -> {E,F} -> {B,E}",1.272376,0.272376,0.233333,0.135802,0.010989,0.222344,0.270328,0.337209,0.121429
0,7,branch,sliding_window_low_threshold,sliding_window,none,global_label_permuted,failed,overcapture_degradation;motif_loss;history_prediction_degradation,452,312,45,0;0,0.0,0;0,0,0,0.0,0.0,0;0,0.017699115044247787,0.0,8,0,-0.017699,0.0,0,107,5,"{F,G} -> {A,B,G} -> {A,B,D} | {F,G} -> {F,H} -> {C,G} | {F,G} -> {A,B,G} -> {A,B,E} | {B,G} -> {F,H} -> {C,G} | {B,H} -> {F,H} -> {C,G}",1.460399,0.460399,0.818182,0.886364,0.222222,0.59596,0.448866,0.622093,0.671429
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,observed,failed,coverage_degradation;motif_loss;history_prediction_failure,557,417,90,40;40,0.666667,40;40,40,80,0.54421768707483,-0.122449,1;2,0.7863554757630161,0.5059952038369304,438,211,-0.242138,0.038222,2,147,22,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {B,C} -> {B,C} | {B,C} -> {C,D} -> {C,D}",0.808113,0.0,0.61194,0.695652,0.048387,0.563553,0.353513,0.530686,0.492857
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,within_episode_permuted,failed,coverage_degradation;motif_loss;history_prediction_failure,557,417,93,8;8,0.133333,8;8,8,16,0.12213740458015267,-0.011196,6;5,0.7863554757630161,0.18225419664268586,438,76,-0.664218,-0.060117,6,131,29,"{C,D} -> {B,C} -> {A,B} | {B,E} -> {E,F} -> {A,B} | {B,C} -> {A,B} -> {C,D} | {A,B} -> {C,D} -> {B,C} | {A,B} -> {B,E} -> {E,F}",0.808113,0.0,0.507937,0.4,0.153226,0.354711,0.310003,0.472924,0.4
