unit_id,t,value,episode_id,context
A,0,0.95547,episode_0000,X
B,0,1.00301,episode_0000,X
C,0,0.0434,episode_0000,X
D,0,0.0238,episode_0000,X
E,0,0.03357,episode_0000,X
F,0,0.0207,episode_0000,X
G,0,0.03695,episode_0000,X
H,0,0.02542,episode_0000,X
A,1,0.98825,episode_0000,X
B,1,1.00784,episode_0000,X
C,1,0.02813,episode_0000,X
D,1,0.02461,episode_0000,X
E,1,0.03113,episode_0000,X
F,1,0.02522,episode_0000,X
G,1,0.02191,episode_0000,X
H,1,0.02192,episode_0000,X
A,2,0.99441,episode_0000,X
B,2,0.93875,episode_0000,X
C,2,0.03076,episode_0000,X
D,2,0.01453,episode_0000,X
E,2,0.03119,episode_0000,X
F,2,0.05,episode_0000,X
G,2,0.01801,episode_0000,X
H,2,0.03577,episode_0000,X
A,3,0.03683,episode_0000,X
B,3,0.03667,episode_0000,X
C,3,0.02324,episode_0000,X
D,3,0.02537,episode_0000,X
E,3,0.01813,episode_0000,X
F,3,0.02804,episode_0000,X
G,3,0.04145,episode_0000,X
H,3,0.02205,episode_0000,X
A,4,0.01008,episode_0000,X
B,4,0.02903,episode_0000,X
C,4,0.03689,episode_0000,X
D,4,0.02631,episode_0000,X
E,4,0.04524,episode_0000,X
F,4,0.02696,episode_0000,X
G,4,0.02879,episode_0000,X
H,4,0.01886,episode_0000,X
A,5,0.02556,episode_0000,X
B,5,1.03342,episode_0000,X
C,5,0.99973,episode_0000,X
D,5,0.03583,episode_0000,X
E,5,0.03347,episode_0000,X
F,5,0.00965,episode_0000,X
G,5,0.021,episode_0000,X
H,5,0.05245,episode_0000,X
A,6,0.02376,episode_0000,X
B,6,0.9897,episode_0000,X
C,6,0.94832,episode_0000,X
D,6,0.02921,episode_0000,X
E,6,0.01946,episode_0000,X
F,6,0.02142,episode_0000,X
G,6,0.03193,episode_0000,X
H,6,0.02409,episode_0000,X
A,7,0.01002,episode_0000,X
B,7,1.04233,episode_0000,X
C,7,0.95773,episode_0000,X
D,7,0.03779,episode_0000,X
E,7,0.01463,episode_0000,X
F,7,0.04442,episode_0000,X
G,7,0.02726,episode_0000,X
H,7,0.02025,episode_0000,X
A,8,0.02457,episode_0000,X
B,8,0.02207,episode_0000,X
C,8,0.01722,episode_0000,X
D,8,0.02846,episode_0000,X
E,8,0.03013,episode_0000,X
F,8,0.02673,episode_0000,X
G,8,0.03008,episode_0000,X
H,8,0.027,episode_0000,X
A,9,0.02193,episode_0000,X
B,9,0.02329,episode_0000,X
C,9,0.03337,episode_0000,X
D,9,0.01546,episode_0000,X
E,9,0.02368,episode_0000,X
F,9,0.03735,episode_0000,X
G,9,0.03071,episode_0000,X
H,9,0.03455,episode_0000,X
A,10,0.02857,episode_0000,X
B,10,0.01784,episode_0000,X
C,10,0.99831,episode_0000,X
D,10,1.0315,episode_0000,X
E,10,0.02698,episode_0000,X
F,10,0.03022,episode_0000,X
G,10,0.03681,episode_0000,X
H,10,0.02436,episode_0000,X
A,11,0.0395,episode_0000,X
B,11,0.02859,episode_0000,X
C,11,1.04607,episode_0000,X
D,11,0.93767,episode_0000,X
E,11,0.03862,episode_0000,X
F,11,0.03874,episode_0000,X
G,11,0.04484,episode_0000,X
H,11,0.01311,episode_0000,X
A,12,0.01985,episode_0000,X
B,12,0.0384,episode_0000,X
C,12,1.00222,episode_0000,X
D,12,0.95697,episode_0000,X
E,12,0.01487,episode_0000,X
F,12,0.02028,episode_0000,X
G,12,0.03506,episode_0000,X
H,12,0.03407,episode_0000,X
A,13,0.02342,episode_0000,X
B,13,0.02113,episode_0000,X
C,13,0.02217,episode_0000,X
D,13,0.0334,episode_0000,X
E,13,0.01607,episode_0000,X
F,13,0.02911,episode_0000,X
G,13,0.0155,episode_0000,X
H,13,0.03743,episode_0000,X
A,14,0.03081,episode_0000,X
B,14,0.04155,episode_0000,X
C,14,0.008,episode_0000,X
D,14,0.01031,episode_0000,X
E,14,0.02314,episode_0000,X
F,14,0.04334,episode_0000,X
G,14,0.01827,episode_0000,X
H,14,0.04131,episode_0000,X
A,17,1.00192,episode_0001,Z
B,17,1.01079,episode_0001,Z
C,17,0.01957,episode_0001,Z
D,17,0.02316,episode_0001,Z
E,17,0.01729,episode_0001,Z
F,17,0.02993,episode_0001,Z
G,17,0.04722,episode_0001,Z
H,17,0.02536,episode_0001,Z
A,18,1.01252,episode_0001,Z
B,18,0.94616,episode_0001,Z
C,18,0.02731,episode_0001,Z
D,18,0.04188,episode_0001,Z
E,18,0.02994,episode_0001,Z
F,18,0.02445,episode_0001,Z
G,18,0.01183,episode_0001,Z
H,18,0.03964,episode_0001,Z
A,19,1.01077,episode_0001,Z
B,19,1.00272,episode_0001,Z
C,19,0.04512,episode_0001,Z
D,19,0.02942,episode_0001,Z
E,19,0.02365,episode_0001,Z
F,19,0.03507,episode_0001,Z
G,19,0.02654,episode_0001,Z
H,19,0.02933,episode_0001,Z
A,20,0.02607,episode_0001,Z
B,20,0.02779,episode_0001,Z
C,20,0.01407,episode_0001,Z
D,20,0.02146,episode_0001,Z
E,20,0.02229,episode_0001,Z
F,20,0.01626,episode_0001,Z
G,20,0.02686,episode_0001,Z
H,20,0.03191,episode_0001,Z
A,21,0.02006,episode_0001,Z
B,21,0.05016,episode_0001,Z
C,21,0.02797,episode_0001,Z
D,21,0.03319,episode_0001,Z
E,21,0.01893,episode_0001,Z
F,21,0.02095,episode_0001,Z
G,21,0.04524,episode_0001,Z
H,21,0.03553,episode_0001,Z
A,22,0.02803,episode_0001,Z
B,22,1.07396,episode_0001,Z
C,22,0.0396,episode_0001,Z
D,22,0.02145,episode_0001,Z
E,22,1.01072,episode_0001,Z
F,22,0.03297,episode_0001,Z
G,22,0.0296,episode_0001,Z
H,22,0.02916,episode_0001,Z
A,23,0.04871,episode_0001,Z
