seed_index,seed,world,detector_variant,detector,event_decoder,dropout_probability,spurious_probability,noise_region,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,canonical_length3_supports,canonical_length3_support_min,canonical_length3_support_mass,canonical_length3_support_fraction,representation_gain,canonical_length3_ranks,canonical_length3_rank_worst,canonical_event_support_fraction,canonical_transition_support_fraction,canonical_event_support_mass,canonical_transition_support_mass,length3_motif_support_mass,length3_motif_count,top5_length3_patterns,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.0,0.0,borderline,failed,overcapture,419,279,25,60;60,1.0,60;60,60,120,1.0,0.0,1;2,2,0.8926014319809069,0.8602150537634409,374,240,120,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.553968,0.553968,1.0,1.0,0.0,1.0,0.557872,0.863309,0.857143
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.0,0.0,borderline,failed,overcapture,419,279,25,60;60,1.0,60;60,60,120,1.0,0.0,1;2,2,0.8926014319809069,0.8602150537634409,374,240,120,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.553968,0.553968,1.0,1.0,0.0,1.0,0.557872,0.863309,0.857143
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.0,0.0,borderline,faithful,within_useful_manifold,420,280,25,60;60,1.0,60;60,60,120,1.0,0.0,1;2,2,0.8928571428571429,0.8571428571428571,375,240,120,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.0,0.0,1.0,1.0,0.0,1.0,0.555732,0.857143,0.857143
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.0,0.05,positive_gain,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,462,322,50,50;52,0.833333,50;52,50,102,0.9272727272727272,0.09394,2;1,2,0.8095238095238095,0.6925465838509317,374,223,110,6,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {C,D} -> {B,C,D} -> {C,D} | {A,B} -> {B,E} -> {B,D,E} | {B,E} -> {B,D,E} -> {E,F}",1.313025,0.313025,0.857143,0.9,0.021978,0.835165,0.440208,0.604396,0.714286
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.0,0.05,positive_gain,degraded,overcapture_degradation;motif_degradation,430,290,36,54;57,0.9,54;57,54,111,0.9652173913043478,0.065217,2;1,2,0.8627906976744186,0.8,371,232,115,4,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {B,C} -> {C,H} | {B,C} -> {C,H} -> {C,D}",1.240286,0.240286,0.97619,0.988095,0.0,0.97619,0.504388,0.766667,0.807143
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.0,0.05,identity_collapse,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,499,359,75,47;47,0.783333,47;47,47,94,0.6962962962962963,-0.087037,1;2,2,0.8056112224448898,0.6016713091922006,402,216,135,19,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {B,E} -> {E,F} -> {E,F} | {B,C} -> {C,D} -> {C,D} | {A,B} -> {A,B} -> {B,C}",0.832453,0.0,0.875,0.884211,0.040816,0.834184,0.402129,0.616438,0.664286
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.0,0.1,positive_gain,failed,overcapture_degradation;motif_loss;history_prediction_failure,565,425,111,28;35,0.466667,28;35,28,63,0.5526315789473685,0.085965,2;1,2,0.647787610619469,0.4235294117647059,366,180,114,24,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {C,D,G} | {B,C} -> {C,D} -> {A,C,D} | {B,E} -> {E,F} -> {E,F,H}",1.308305,0.308305,0.625,0.675676,0.008621,0.616379,0.29446,0.4,0.428571
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.0,0.1,positive_gain,degraded,motif_degradation;history_prediction_degradation,461,321,49,45;53,0.75,45;53,45,98,0.875,0.125,2;1,2,0.8286334056399133,0.6947040498442367,382,223,112,9,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {D,H} | {A,B} -> {B,E} -> {C,E} | {B,E} -> {C,E} -> {E,F}",1.087683,0.087683,0.886364,0.888889,0.021505,0.864858,0.428887,0.618785,0.714286
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.0,0.1,identity_collapse,failed,coverage_degradation;motif_loss;history_prediction_failure,618,478,152,23;20,0.333333,23;20,20,43,0.2925170068027211,-0.040816,1;2,2,0.6828478964401294,0.3410041841004184,422,163,147,46,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {B,C} -> {B,C} | {A,B} -> {A,C} -> {B,C}",0.755464,0.0,0.47541,0.545455,0.030769,0.444641,0.261401,0.434911,0.307143
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.0,0.15,identity_collapse,failed,overcapture_degradation;motif_loss;history_prediction_failure,737,597,195,12;12,0.2,12;12,12,24,0.2,0.0,2;1,2,0.4789687924016282,0.18592964824120603,353,111,120,42,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B,E} -> {B,E} -> {E,F} | {A,B} -> {B,C,E} -> {B,C} | {B,C} -> {C,D} -> {A,C,D}",1.418575,0.418575,0.308642,0.403727,0.0,0.308642,0.186633,0.262582,0.128571
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.0,0.15,positive_gain,failed,motif_loss;history_prediction_degradation,498,358,70,38;43,0.633333,38;43,38,81,0.75,0.116667,2;1,2,0.7710843373493976,0.5670391061452514,384,203,108,14,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {C,H} -> {B,C} -> {C,D} | {B,C} -> {C,D} -> {A,C} | {A,B} -> {B,C} -> {B,E}",0.994384,0.0,0.755102,0.860215,0.0,0.755102,0.345504,0.495413,0.557143
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.0,0.15,undercapture,failed,undercapture;motif_loss;history_prediction_failure,743,603,213,10;16,0.166667,10;16,10,26,0.15476190476190477,-0.011905,2;1,2,0.6473755047106325,0.21724709784411278,481,131,168,58,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {A,B} -> {B,E} | {B,E} -> {B,E} -> {E,F} | {B,C} -> {B,C} -> {C,D}",0.692441,0.0,0.343434,0.409091,0.04375,0.299684,0.211849,0.362851,0.078571
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.0,0.2,identity_collapse,failed,overcapture;motif_loss;history_prediction_failure,953,813,247,3;0,0.0,3;0,0,3,0.039473684210526314,0.039474,7;0,7,0.3315844700944386,0.06519065190651907,316,53,76,33,"{B,D,E} -> {B,E} -> {E,F} | {B,E} -> {E,F} -> {E,F,H} | {A,B} -> {B,C} -> {B,C,H} | {A,B} -> {B,E} -> {B,E,F} | {B,E} -> {A,B,E} -> {B,E}",1.627336,0.627336,0.142857,0.231111,0.0,0.142857,0.105065,0.112927,0.0
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.0,0.2,identity_collapse,failed,motif_loss;history_prediction_failure,574,434,146,20;24,0.333333,20;24,20,44,0.30344827586206896,-0.029885,2;1,2,0.6881533101045296,0.347926267281106,395,151,145,44,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {B,C} -> {C,H} -> {C,D} | {B,C} -> {C,D} -> {D,E} | {A,B} -> {B,C} -> {C,H}",0.968473,0.0,0.554054,0.541985,0.038168,0.515886,0.283208,0.493197,0.342857
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.0,0.2,undercapture,failed,undercapture;motif_loss;history_prediction_failure,863,723,262,5;8,0.083333,5;8,5,13,0.061611374407582936,-0.021722,5;2,5,0.5944380069524913,0.1313969571230982,513,95,211,82,"{B,C} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {C,E} -> {B,C} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {B,C} -> {C,D}",0.666415,0.0,0.171171,0.308108,0.058511,0.112661,0.191311,0.361921,0.014286
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.05,0.0,positive_gain,failed,overcapture;motif_degradation,409,269,26,56;57,0.933333,56;57,56,113,1.0,0.066667,2;1,2,0.8875305623471883,0.8587360594795539,363,231,113,2,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D}",1.510629,0.510629,1.0,0.9875,0.0,1.0,0.556713,0.875969,0.821429
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.05,0.0,positive_gain,failed,overcapture;motif_degradation,409,269,26,56;57,0.933333,56;57,56,113,1.0,0.066667,2;1,2,0.8875305623471883,0.8587360594795539,363,231,113,2,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D}",1.510629,0.510629,1.0,0.9875,0.0,1.0,0.556713,0.875969,0.821429
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.05,0.0,identity_collapse,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,449,309,39,55;54,0.9,55;54,54,109,0.7569444444444444,-0.143056,1;2,2,0.8819599109131403,0.7766990291262136,396,240,144,9,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {B,C} -> {C,D} -> {C,D} | {A,B} -> {B,E} -> {B,E} | {B,E} -> {B,E} -> {E,F}",0.949562,0.0,0.888889,0.927083,0.0625,0.826389,0.532753,0.852071,0.828571
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.05,0.05,positive_gain,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,452,312,45,55;46,0.766667,55;46,46,101,0.9439252336448598,0.177258,1;2,2,0.8008849557522124,0.7147435897435898,362,223,107,5,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D,E} | {A,B,E} -> {B,E} -> {E,F} | {B,D,E} -> {B,E} -> {E,F}",1.272376,0.272376,0.818182,0.886364,0.0,0.818182,0.448866,0.622093,0.671429
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.05,0.05,positive_gain,degraded,overcapture_degradation;motif_degradation,427,287,29,59;54,0.9,59;54,54,113,1.0,0.1,1;2,2,0.8641686182669789,0.818815331010453,369,235,113,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.204121,0.204121,0.952381,0.97619,0.0,0.952381,0.510722,0.763514,0.792857
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,0.05,0.05,identity_collapse,failed,coverage_degradation;motif_loss;history_prediction_failure,557,417,90,40;40,0.666667,40;40,40,80,0.54421768707483,-0.122449,1;2,2,0.7863554757630161,0.5059952038369304,438,211,147,22,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {B,C} -> {B,C} | {B,C} -> {C,D} -> {C,D}",0.808113,0.0,0.61194,0.695652,0.048387,0.563553,0.353513,0.530686,0.492857
0,7,branch,sliding_window_low_threshold,sliding_window,none,0.05,0.1,identity_collapse,failed,overcapture_degradation;motif_loss;history_prediction_failure,557,417,140,22;24,0.366667,22;24,22,46,0.40707964601769914,0.040413,2;1,2,0.6355475763016158,0.35731414868105515,354,149,113,31,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B,C} -> {B,C} -> {C,D} | {A,B} -> {A,B,C} -> {B,C} | {A,B} -> {A,B,E} -> {B,E}",1.274888,0.274888,0.5,0.610619,0.0,0.5,0.280175,0.406475,0.357143
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,0.05,0.1,positive_gain,degraded,motif_degradation;history_prediction_degradation,459,319,58,45;46,0.75,45;46,45,91,0.8198198198198198,0.06982,2;1,2,0.8235294117647058,0.670846394984326,378,214,111,11,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {B,C} | {B,E} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,H}",1.05202,0.05202,0.878049,0.883721,0.0,0.878049,0.421241,0.616667,0.678571
