event_id,episode_id,t_start,t_end,participants,label,intensities,context,source_window,outcome
event_00000,episode_0000,0,2,"A,B","{A,B}","{""A"": 0.6552, ""B"": 0.6716}",X,0:2,Y1
event_00001,episode_0000,4,8,"B,C","{B,C}","{""B"": 0.8098, ""C"": 0.7828}",X,4:8,Y1
event_00002,episode_0000,9,12,"C,D,E","{C,D,E}","{""C"": 0.8421, ""D"": 0.7982, ""E"": 0.6835}",X,9:12,Y1
event_00003,episode_0000,11,13,"C,D","{C,D}","{""C"": 0.6891, ""D"": 0.6374}",X,11:13,Y1
event_00004,episode_0001,17,20,"A,B","{A,B}","{""A"": 0.8406, ""B"": 0.8462}",Z,17:20,Y2
event_00005,episode_0001,22,24,"B,E","{B,E}","{""B"": 0.9793, ""E"": 0.6648}",Z,22:24,Y2
event_00006,episode_0001,26,30,"E,F","{E,F}","{""E"": 0.7851, ""F"": 0.7756}",Z,26:30,Y2
event_00007,episode_0002,34,37,"C,E","{C,E}","{""C"": 0.8282, ""E"": 0.8606}",N,34:37,YN
event_00008,episode_0002,38,42,"C,G","{C,G}","{""C"": 0.7844, ""G"": 0.8975}",N,38:42,YN
event_00009,episode_0002,43,46,"B,D,H","{B,D,H}","{""B"": 0.8226, ""D"": 0.8743, ""H"": 0.6588}",N,43:46,YN
event_00010,episode_0002,45,47,"B,D","{B,D}","{""B"": 0.6645, ""D"": 0.688}",N,45:47,YN
event_00011,episode_0003,51,54,"A,B","{A,B}","{""A"": 0.8123, ""B"": 1.0069}",Z,51:54,Y2
event_00012,episode_0003,53,59,"B,E","{B,E}","{""B"": 1.0112, ""E"": 0.8671}",Z,53:59,Y2
event_00013,episode_0003,61,63,"E,F","{E,F}","{""E"": 0.6925, ""F"": 0.9611}",Z,61:63,Y2
event_00014,episode_0004,68,71,"A,B","{A,B}","{""A"": 0.8454, ""B"": 0.8214}",X,68:71,Y1
event_00015,episode_0004,72,76,"B,C","{B,C}","{""B"": 0.8064, ""C"": 0.832}",X,72:76,Y1
event_00016,episode_0004,77,81,"C,D","{C,D}","{""C"": 0.7875, ""D"": 0.779}",X,77:81,Y1
event_00017,episode_0005,85,88,"C,E","{C,E}","{""C"": 0.8456, ""E"": 0.8253}",N,85:88,YN
event_00018,episode_0005,89,93,"D,G","{D,G}","{""D"": 0.8285, ""G"": 0.7946}",N,89:93,YN
event_00019,episode_0005,94,97,"C,E","{C,E}","{""C"": 0.7211, ""E"": 1.0035}",N,94:97,YN
event_00020,episode_0006,102,105,"A,B","{A,B}","{""A"": 0.8598, ""B"": 0.8387}",X,102:105,Y1
event_00021,episode_0006,106,110,"B,C","{B,C}","{""B"": 0.7855, ""C"": 0.7846}",X,106:110,Y1
event_00022,episode_0006,112,115,"C,D","{C,D}","{""C"": 0.6452, ""D"": 0.8317}",X,112:115,Y1
event_00023,episode_0007,119,122,"A,B","{A,B}","{""A"": 0.85, ""B"": 0.8387}",Z,119:122,Y2
event_00024,episode_0007,123,127,"B,E","{B,E}","{""B"": 0.7886, ""E"": 0.7795}",Z,123:127,Y2
event_00025,episode_0007,128,131,"E,F","{E,F}","{""E"": 0.8383, ""F"": 0.6821}",Z,128:131,Y2
event_00026,episode_0008,136,139,"C,F","{C,F}","{""C"": 0.8258, ""F"": 0.7898}",N,136:139,YN
event_00027,episode_0008,140,142,"B,F","{B,F}","{""B"": 0.635, ""F"": 0.6615}",N,140:142,YN
event_00028,episode_0008,141,143,"B,C,F","{B,C,F}","{""B"": 0.9704, ""C"": 0.6633, ""F"": 0.9869}",N,141:143,YN
event_00029,episode_0008,142,144,"B,F","{B,F}","{""B"": 0.6792, ""F"": 0.6854}",N,142:144,YN
event_00030,episode_0008,145,149,"B,C","{B,C}","{""B"": 0.7953, ""C"": 0.7851}",N,145:149,YN
event_00031,episode_0009,153,156,"A,B","{A,B}","{""A"": 0.8445, ""B"": 0.8183}",X,153:156,Y1
event_00032,episode_0009,157,161,"B,C","{B,C}","{""B"": 0.7849, ""C"": 0.7521}",X,157:161,Y1
event_00033,episode_0009,162,166,"C,D","{C,D}","{""C"": 0.7727, ""D"": 0.8266}",X,162:166,Y1
event_00034,episode_0010,170,173,"A,B","{A,B}","{""A"": 0.8769, ""B"": 0.887}",Z,170:173,Y2
event_00035,episode_0010,174,178,"B,E","{B,E}","{""B"": 0.7949, ""E"": 0.8037}",Z,174:178,Y2
event_00036,episode_0010,179,183,"E,F","{E,F}","{""E"": 0.7649, ""F"": 0.7866}",Z,179:183,Y2
event_00037,episode_0011,187,189,"C,D,G","{C,D,G}","{""C"": 0.6784, ""D"": 0.9606, ""G"": 0.9827}",N,187:189,YN
event_00038,episode_0011,188,190,"D,G","{D,G}","{""D"": 0.6488, ""G"": 0.6508}",N,188:190,YN
event_00039,episode_0011,191,195,"A,G","{A,G}","{""A"": 0.7428, ""G"": 0.9057}",N,191:195,YN
event_00040,episode_0011,197,199,"A,E","{A,E}","{""A"": 0.6886, ""E"": 1.0394}",N,197:199,YN
event_00041,episode_0012,204,207,"A,B","{A,B}","{""A"": 0.8546, ""B"": 0.8393}",Z,204:207,Y2
event_00042,episode_0012,208,212,"B,E","{B,E}","{""B"": 0.7797, ""E"": 0.7715}",Z,208:212,Y2
event_00043,episode_0013,221,224,"A,B","{A,B}","{""A"": 0.8572, ""B"": 0.8488}",X,221:224,Y1
event_00044,episode_0013,225,229,"B,C","{B,C}","{""B"": 0.7641, ""C"": 0.7912}",X,225:229,Y1
event_00045,episode_0013,230,234,"C,D","{C,D}","{""C"": 0.7759, ""D"": 0.7807}",X,230:234,Y1
event_00046,episode_0014,238,241,"B,G","{B,G}","{""B"": 0.8559, ""G"": 0.8243}",N,238:241,YN
event_00047,episode_0014,242,246,"B,H","{B,H}","{""B"": 0.8341, ""H"": 0.7446}",N,242:246,YN
event_00048,episode_0014,248,251,"B,C","{B,C}","{""B"": 0.6744, ""C"": 0.8305}",N,248:251,YN
event_00049,episode_0015,255,258,"A,B","{A,B}","{""A"": 0.8031, ""B"": 0.859}",X,255:258,Y1
event_00050,episode_0015,260,263,"B,C","{B,C}","{""B"": 0.6674, ""C"": 0.8266}",X,260:263,Y1
event_00051,episode_0015,264,268,"C,D","{C,D}","{""C"": 0.8267, ""D"": 0.8144}",X,264:268,Y1
event_00052,episode_0016,272,275,"A,B","{A,B}","{""A"": 0.8035, ""B"": 0.8578}",Z,272:275,Y2
event_00053,episode_0016,277,280,"B,E","{B,E}","{""B"": 0.6463, ""E"": 0.8292}",Z,277:280,Y2
event_00054,episode_0016,281,285,"E,F","{E,F}","{""E"": 0.7466, ""F"": 0.7683}",Z,281:285,Y2
event_00055,episode_0017,289,291,"C,H","{C,H}","{""C"": 1.0122, ""H"": 0.7091}",N,289:291,YN
event_00056,episode_0017,293,297,"A,H","{A,H}","{""A"": 0.7441, ""H"": 0.7835}",N,293:297,YN
event_00057,episode_0017,299,301,"C,H","{C,H}","{""C"": 0.6656, ""H"": 1.0025}",N,299:301,YN
event_00058,episode_0018,306,309,"A,B","{A,B}","{""A"": 0.8512, ""B"": 0.8622}",Z,306:309,Y2
event_00059,episode_0018,310,314,"B,E","{B,E}","{""B"": 0.7644, ""E"": 0.9024}",Z,310:314,Y2
event_00060,episode_0018,315,319,"E,F","{E,F}","{""E"": 0.8142, ""F"": 0.8066}",Z,315:319,Y2
event_00061,episode_0019,323,326,"A,B","{A,B}","{""A"": 0.843, ""B"": 0.8454}",X,323:326,Y1
event_00062,episode_0019,327,331,"B,C","{B,C}","{""B"": 0.892, ""C"": 0.7753}",X,327:331,Y1
event_00063,episode_0019,332,336,"C,D","{C,D}","{""C"": 0.7938, ""D"": 0.7686}",X,332:336,Y1
event_00064,episode_0020,340,343,"A,C","{A,C}","{""A"": 0.8455, ""C"": 0.852}",N,340:343,YN
event_00065,episode_0020,344,348,"A,E,H","{A,E,H}","{""A"": 0.6966, ""E"": 0.7819, ""H"": 0.7876}",N,344:348,YN
event_00066,episode_0020,349,353,"D,H","{D,H}","{""D"": 0.7982, ""H"": 0.7762}",N,349:353,YN
event_00067,episode_0021,357,359,"A,B","{A,B}","{""A"": 1.0147, ""B"": 0.7084}",X,357:359,Y1
event_00068,episode_0021,361,365,"B,C","{B,C}","{""B"": 0.7882, ""C"": 0.9077}",X,361:365,Y1
event_00069,episode_0021,366,370,"C,D","{C,D}","{""C"": 0.7859, ""D"": 0.7485}",X,366:370,Y1
event_00070,episode_0022,374,377,"A,B","{A,B}","{""A"": 0.8647, ""B"": 0.8684}",Z,374:377,Y2
event_00071,episode_0022,378,382,"B,E","{B,E}","{""B"": 0.756, ""E"": 0.8807}",Z,378:382,Y2
event_00072,episode_0022,383,387,"E,F","{E,F}","{""E"": 0.7551, ""F"": 0.7946}",Z,383:387,Y2
event_00073,episode_0023,391,394,"A,D","{A,D}","{""A"": 0.8513, ""D"": 0.8245}",N,391:394,YN
event_00074,episode_0023,395,399,"A,B","{A,B}","{""A"": 0.7892, ""B"": 0.7846}",N,395:399,YN
