pattern,support,variants,predicted_next_events,contexts,outcomes
"{A,B}",117,"{B,C}:57;{B,E}:54;{A,B,E}:2;{A,B,C}:1;{B,D}:1;{B,E,H}:1;{B,E,G}:1","{B,C};{B,E};{A,B,E};{A,B,C};{B,D};{B,E,H};{B,E,G}",X:59;Z:57;N:1,Y1:59;Y2:57;YN:1
"{B,E}",64,"{E,F}:54;{A,F}:2;{B,D,E}:1;{E,H}:1;{B,E,G}:1;{A,B,E}:1;{C,E,F}:1","{E,F};{A,F};{B,D,E};{E,H};{B,E,G};{A,B,E};{C,E,F}",Z:62;N:2,Y2:62;YN:2
"{B,C}",62,"{C,D}:58;{C,D,E}:2","{C,D};{C,D,E}",X:60;N:2,Y1:60;YN:2
"{C,D}",60,,,X:59;N:1,Y1:59;YN:1
"{E,F}",59,"{E,F,G}:1;{D,E,F}:1;{C,E,F}:1;{E,F,H}:1;{B,E}:1;{B,E,F}:1;{D,E}:1","{E,F,G};{D,E,F};{C,E,F};{E,F,H};{B,E};{B,E,F};{D,E}",Z:59,Y2:59
"{B,C} -> {C,D}",58,,,X:58,Y1:58
"{A,B} -> {B,C}",57,"{C,D}:55;{C,D,E}:2","{C,D};{C,D,E}",X:57,Y1:57
"{A,B} -> {B,C} -> {C,D}",55,,,X:55,Y1:55
"{A,B} -> {B,E}",54,"{E,F}:46;{B,D,E}:1;{E,H}:1;{B,E,G}:1;{A,B,E}:1;{C,E,F}:1;{A,F}:1","{E,F};{B,D,E};{E,H};{B,E,G};{A,B,E};{C,E,F};{A,F}",Z:53;N:1,Y2:53;YN:1
"{B,E} -> {E,F}",54,"{E,F,G}:1;{D,E,F}:1;{C,E,F}:1;{E,F,H}:1;{B,E}:1;{B,E,F}:1;{D,E}:1","{E,F,G};{D,E,F};{C,E,F};{E,F,H};{B,E};{B,E,F};{D,E}",Z:54,Y2:54
"{A,B} -> {B,E} -> {E,F}",46,"{E,F,G}:1;{E,F,H}:1;{B,E,F}:1;{D,E}:1","{E,F,G};{E,F,H};{B,E,F};{D,E}",Z:46,Y2:46
"{A,C}",5,"{A,E,H}:1;{A,E}:1;{B,E}:1","{A,E,H};{A,E};{B,E}",N:4;Z:1,YN:4;Y2:1
"{C,E}",4,"{C,G}:1;{D,G}:1","{C,G};{D,G}",N:4,YN:4
"{A,E}",4,"{A,C}:1;{A,B,F}:1;{D,F}:1","{A,C};{A,B,F};{D,F}",N:4,YN:4
"{A,D}",4,"{A,B}:1;{A,G}:1","{A,B};{A,G}",N:4,YN:4
"{A,B,D}",4,"{A,B,G}:1;{B,C}:1;{B,E}:1;{A,B}:1","{A,B,G};{B,C};{B,E};{A,B}",X:2;N:1;Z:1,Y1:2;YN:1;Y2:1
"{D,E}",4,"{E,H}:1;{C,D}:1","{E,H};{C,D}",N:3;Z:1,YN:3;Y2:1
"{A,B,E}",4,"{B,E}:2;{B,C}:1;{B,D,E}:1","{B,E};{B,C};{B,D,E}",Z:3;X:1,Y2:3;Y1:1
"{B,D}",3,"{D,E}:1;{B,E}:1","{D,E};{B,E}",N:2;Z:1,YN:2;Y2:1
"{D,G}",3,"{C,E}:1;{A,G}:1;{B,G}:1","{C,E};{A,G};{B,G}",N:3,YN:3
"{C,F}",3,"{B,F}:1;{C,D,F}:1","{B,F};{C,D,F}",N:3,YN:3
"{A,G}",3,"{A,E}:1;{D,F}:1;{G,H}:1","{A,E};{D,F};{G,H}",N:3,YN:3
"{A,F}",3,"{A,D}:1;{F,G}:1;{E,F}:1","{A,D};{F,G};{E,F}",N:2;Z:1,YN:2;Y2:1
"{G,H}",3,"{F,G}:1","{F,G}",N:3,YN:3
"{A,B,C}",3,"{B,C}:1;{A,B}:1;{A,C}:1","{B,C};{A,B};{A,C}",Z:2;X:1,Y2:2;Y1:1
"{C,D,E}",2,"{C,D}:1;{C,D,H}:1","{C,D};{C,D,H}",X:2,Y1:2
"{B,C} -> {C,D,E}",2,"{C,D}:1;{C,D,H}:1","{C,D};{C,D,H}",X:2,Y1:2
"{A,B} -> {B,C} -> {C,D,E}",2,"{C,D}:1;{C,D,H}:1","{C,D};{C,D,H}",X:2,Y1:2
"{B,F}",2,"{B,C,F}:1;{B,C}:1","{B,C,F};{B,C}",N:2,YN:2
"{B,G}",2,"{B,H}:1;{A,D}:1","{B,H};{A,D}",N:2,YN:2
"{C,H}",2,"{A,H}:1","{A,H}",N:2,YN:2
"{D,H}",2,"{A,C}:1","{A,C}",N:2,YN:2
"{D,F}",2,"{D,H}:1","{D,H}",N:2,YN:2
"{F,G}",2,"{G,H}:1","{G,H}",N:2,YN:2
"{E,H}",2,"{C,E}:1;{E,F}:1","{C,E};{E,F}",N:1;Z:1,YN:1;Y2:1
"{B,E} -> {A,F}",2,"{F,G}:1;{E,F}:1","{F,G};{E,F}",N:1;Z:1,YN:1;Y2:1
"{A,B} -> {A,B,E}",2,"{B,C}:1;{B,E}:1","{B,C};{B,E}",X:1;Z:1,Y1:1;Y2:1
"{A,B,E} -> {B,E}",2,"{E,F}:2","{E,F}",Z:2,Y2:2
"{A,B,E} -> {B,E} -> {E,F}",2,,,Z:2,Y2:2
"{B,D,E}",2,"{B,E}:2","{B,E}",Z:2,Y2:2
"{B,D,E} -> {B,E}",2,"{E,F}:2","{E,F}",Z:2,Y2:2
"{B,D,E} -> {B,E} -> {E,F}",2,"{D,E,F}:1","{D,E,F}",Z:2,Y2:2
"{C,E,F}",2,"{E,F}:1","{E,F}",Z:2,Y2:2
"{B,E,G}",2,"{E,F}:2","{E,F}",Z:2,Y2:2
"{B,E,G} -> {E,F}",2,,,Z:2,Y2:2
