unit_id,t,value,episode_id,context
A,0,0.95547,episode_0000,X
B,0,1.00301,episode_0000,X
C,0,0.0434,episode_0000,X
D,0,0.0238,episode_0000,X
E,0,0.03357,episode_0000,X
F,0,0.0207,episode_0000,X
G,0,0.03695,episode_0000,X
H,0,0.02542,episode_0000,X
A,1,0.98825,episode_0000,X
B,1,0.01733,episode_0000,X
C,1,0.03157,episode_0000,X
D,1,0.00483,episode_0000,X
E,1,0.02951,episode_0000,X
F,1,0.0147,episode_0000,X
G,1,0.03147,episode_0000,X
H,1,0.02191,episode_0000,X
A,2,0.02192,episode_0000,X
B,2,0.99441,episode_0000,X
C,2,0.0311,episode_0000,X
D,2,0.01775,episode_0000,X
E,2,0.04359,episode_0000,X
F,2,0.03859,episode_0000,X
G,2,0.02359,episode_0000,X
H,2,0.03762,episode_0000,X
A,3,0.03075,episode_0000,X
B,3,0.02811,episode_0000,X
C,3,0.02933,episode_0000,X
D,3,0.04439,episode_0000,X
E,3,0.03203,episode_0000,X
F,3,0.03127,episode_0000,X
G,3,0.02421,episode_0000,X
H,3,0.03899,episode_0000,X
A,4,0.01676,episode_0000,X
B,4,0.03647,episode_0000,X
C,4,0.02537,episode_0000,X
D,4,0.04257,episode_0000,X
E,4,0.02673,episode_0000,X
F,4,0.0275,episode_0000,X
G,4,0.02572,episode_0000,X
H,4,0.03353,episode_0000,X
A,5,0.02803,episode_0000,X
B,5,1.05831,episode_0000,X
C,5,1.03342,episode_0000,X
D,5,0.0266,episode_0000,X
E,5,0.93546,episode_0000,X
F,5,0.03347,episode_0000,X
G,5,0.00965,episode_0000,X
H,5,0.021,episode_0000,X
A,6,0.05245,episode_0000,X
B,6,1.02465,episode_0000,X
C,6,1.03512,episode_0000,X
D,6,0.0352,episode_0000,X
E,6,0.02921,episode_0000,X
F,6,0.01946,episode_0000,X
G,6,0.02142,episode_0000,X
H,6,0.03193,episode_0000,X
A,7,0.02409,episode_0000,X
B,7,1.01814,episode_0000,X
C,7,0.9127,episode_0000,X
D,7,0.03757,episode_0000,X
E,7,0.03779,episode_0000,X
F,7,0.01463,episode_0000,X
G,7,0.04442,episode_0000,X
H,7,0.02726,episode_0000,X
A,8,0.02025,episode_0000,X
B,8,0.02457,episode_0000,X
C,8,0.02207,episode_0000,X
D,8,0.01722,episode_0000,X
E,8,0.02846,episode_0000,X
F,8,0.03013,episode_0000,X
G,8,0.02673,episode_0000,X
H,8,0.03008,episode_0000,X
A,9,0.027,episode_0000,X
B,9,0.02193,episode_0000,X
C,9,0.02329,episode_0000,X
D,9,0.03337,episode_0000,X
E,9,0.01546,episode_0000,X
F,9,0.02368,episode_0000,X
G,9,0.03735,episode_0000,X
H,9,0.03071,episode_0000,X
A,10,0.03455,episode_0000,X
B,10,0.02857,episode_0000,X
C,10,0.97464,episode_0000,X
D,10,0.97794,episode_0000,X
E,10,0.98491,episode_0000,X
F,10,0.02849,episode_0000,X
G,10,0.04177,episode_0000,X
H,10,0.9309,episode_0000,X
A,11,0.0395,episode_0000,X
B,11,0.02859,episode_0000,X
C,11,1.04607,episode_0000,X
D,11,0.93767,episode_0000,X
E,11,1.04368,episode_0000,X
F,11,0.04879,episode_0000,X
G,11,0.01855,episode_0000,X
H,11,0.03817,episode_0000,X
A,12,0.02988,episode_0000,X
B,12,0.01356,episode_0000,X
C,12,0.98771,episode_0000,X
D,12,0.92433,episode_0000,X
E,12,0.02833,episode_0000,X
F,12,0.01357,episode_0000,X
G,12,0.02939,episode_0000,X
H,12,0.02011,episode_0000,X
A,13,0.02001,episode_0000,X
B,13,0.03195,episode_0000,X
C,13,0.03356,episode_0000,X
D,13,0.05025,episode_0000,X
E,13,0.03888,episode_0000,X
F,13,0.02986,episode_0000,X
G,13,0.0254,episode_0000,X
H,13,0.02918,episode_0000,X
A,14,0.02709,episode_0000,X
B,14,0.02979,episode_0000,X
C,14,0.02308,episode_0000,X
D,14,0.0,episode_0000,X
E,14,0.04334,episode_0000,X
F,14,0.01827,episode_0000,X
G,14,0.04131,episode_0000,X
H,14,0.03048,episode_0000,X
A,17,1.02763,episode_0001,Z
B,17,1.02556,episode_0001,Z
C,17,0.02316,episode_0001,Z
D,17,0.01729,episode_0001,Z
E,17,0.02993,episode_0001,Z
F,17,0.04722,episode_0001,Z
G,17,0.02536,episode_0001,Z
H,17,0.03379,episode_0001,Z
A,18,1.00416,episode_0001,Z
B,18,0.99109,episode_0001,Z
C,18,0.04188,episode_0001,Z
D,18,0.02994,episode_0001,Z
E,18,0.02445,episode_0001,Z
F,18,0.01183,episode_0001,Z
G,18,0.03964,episode_0001,Z
H,18,0.03669,episode_0001,Z
A,19,0.98982,episode_0001,Z
B,19,1.02778,episode_0001,Z
C,19,0.02942,episode_0001,Z
D,19,0.02365,episode_0001,Z
E,19,0.03507,episode_0001,Z
F,19,0.02654,episode_0001,Z
G,19,0.02933,episode_0001,Z
H,19,0.02607,episode_0001,Z
A,20,0.02779,episode_0001,Z
B,20,0.01407,episode_0001,Z
C,20,0.02146,episode_0001,Z
D,20,0.02229,episode_0001,Z
E,20,0.01626,episode_0001,Z
F,20,0.02686,episode_0001,Z
G,20,0.03191,episode_0001,Z
H,20,0.02006,episode_0001,Z
A,21,0.05016,episode_0001,Z
B,21,0.02797,episode_0001,Z
C,21,0.03319,episode_0001,Z
D,21,0.01893,episode_0001,Z
E,21,0.02095,episode_0001,Z
F,21,0.04524,episode_0001,Z
G,21,0.03553,episode_0001,Z
H,21,0.02803,episode_0001,Z
A,22,0.01647,episode_0001,Z
B,22,0.9529,episode_0001,Z
C,22,0.02145,episode_0001,Z
D,22,0.03292,episode_0001,Z
E,22,0.98506,episode_0001,Z
F,22,0.0296,episode_0001,Z
G,22,0.02916,episode_0001,Z
H,22,0.04871,episode_0001,Z
A,23,0.03056,episode_0001,Z
