from_event,to_event,delta_t,shared_participants,changed_participants,weight,episode_id,context,from_label,to_label
event_00000,event_00001,2,B,"A,C",1,episode_0000,X,"{A,B}","{B,C}"
event_00001,event_00002,1,C,"B,D,E",1,episode_0000,X,"{B,C}","{C,D,E}"
event_00002,event_00003,-1,"C,D",E,1,episode_0000,X,"{C,D,E}","{C,D}"
event_00004,event_00005,2,B,"A,E",1,episode_0001,Z,"{A,B}","{B,E}"
event_00005,event_00006,2,E,"B,F",1,episode_0001,Z,"{B,E}","{E,F}"
event_00007,event_00008,1,C,"E,G",1,episode_0002,N,"{C,E}","{C,G}"
event_00008,event_00009,1,,"B,C,D,G,H",1,episode_0002,N,"{C,G}","{B,D,H}"
event_00009,event_00010,-1,"B,D",H,1,episode_0002,N,"{B,D,H}","{B,D}"
event_00011,event_00012,-1,B,"A,E",1,episode_0003,Z,"{A,B}","{B,E}"
event_00012,event_00013,2,E,"B,F",1,episode_0003,Z,"{B,E}","{E,F}"
event_00014,event_00015,1,B,"A,C",1,episode_0004,X,"{A,B}","{B,C}"
event_00015,event_00016,1,C,"B,D",1,episode_0004,X,"{B,C}","{C,D}"
event_00017,event_00018,1,,"C,D,E,G",1,episode_0005,N,"{C,E}","{D,G}"
event_00018,event_00019,1,,"C,D,E,G",1,episode_0005,N,"{D,G}","{C,E}"
event_00020,event_00021,1,B,"A,C",1,episode_0006,X,"{A,B}","{B,C}"
event_00021,event_00022,2,C,"B,D",1,episode_0006,X,"{B,C}","{C,D}"
event_00023,event_00024,1,B,"A,E",1,episode_0007,Z,"{A,B}","{B,E}"
event_00024,event_00025,1,E,"B,F",1,episode_0007,Z,"{B,E}","{E,F}"
event_00026,event_00027,1,F,"B,C",1,episode_0008,N,"{C,F}","{B,F}"
event_00027,event_00028,-1,"B,F",C,1,episode_0008,N,"{B,F}","{B,C,F}"
event_00028,event_00029,-1,"B,F",C,1,episode_0008,N,"{B,C,F}","{B,F}"
event_00029,event_00030,1,B,"C,F",1,episode_0008,N,"{B,F}","{B,C}"
event_00031,event_00032,1,B,"A,C",1,episode_0009,X,"{A,B}","{B,C}"
event_00032,event_00033,1,C,"B,D",1,episode_0009,X,"{B,C}","{C,D}"
event_00034,event_00035,1,B,"A,E",1,episode_0010,Z,"{A,B}","{B,E}"
event_00035,event_00036,1,E,"B,F",1,episode_0010,Z,"{B,E}","{E,F}"
event_00037,event_00038,-1,"D,G",C,1,episode_0011,N,"{C,D,G}","{D,G}"
event_00038,event_00039,1,G,"A,D",1,episode_0011,N,"{D,G}","{A,G}"
event_00039,event_00040,2,A,"E,G",1,episode_0011,N,"{A,G}","{A,E}"
event_00041,event_00042,1,B,"A,E",1,episode_0012,Z,"{A,B}","{B,E}"
event_00043,event_00044,1,B,"A,C",1,episode_0013,X,"{A,B}","{B,C}"
event_00044,event_00045,1,C,"B,D",1,episode_0013,X,"{B,C}","{C,D}"
event_00046,event_00047,1,B,"G,H",1,episode_0014,N,"{B,G}","{B,H}"
event_00047,event_00048,2,B,"C,H",1,episode_0014,N,"{B,H}","{B,C}"
event_00049,event_00050,2,B,"A,C",1,episode_0015,X,"{A,B}","{B,C}"
event_00050,event_00051,1,C,"B,D",1,episode_0015,X,"{B,C}","{C,D}"
event_00052,event_00053,2,B,"A,E",1,episode_0016,Z,"{A,B}","{B,E}"
event_00053,event_00054,1,E,"B,F",1,episode_0016,Z,"{B,E}","{E,F}"
event_00055,event_00056,2,H,"A,C",1,episode_0017,N,"{C,H}","{A,H}"
