layer,measure,value,interpretation
RawSignal,active_set_unique_count,2283.0,Distinct threshold-active unit sets observed directly in the signal stream.
RawSignal,active_set_entropy_bits,10.860815,Entropy of threshold-active unit sets before event commitment.
Event,event_label_unique_count,819.0,Distinct first-class coactivation event labels.
Event,event_label_entropy_bits,9.631263,Entropy of committed event participant sets.
Event,event_label_redundancy_fraction,0.0048,How much event-label entropy falls below maximum entropy; higher values indicate recurrence and compression opportunity.
Event,repeated_event_instance_fraction,0.171492,Fraction of event instances whose participant set appears more than once.
Transition,transition_unique_count,698.0,Distinct observed event-transition label pairs.
Transition,transition_entropy_bits,9.447083,Entropy of temporal adjacency after event commitment.
Transition,transition_redundancy_fraction,0.0,How much transition entropy falls below maximum entropy; higher values indicate repeated temporal structure.
Episode,episode_signature_unique_count,200.0,Distinct ordered event-label sequences.
Episode,episode_signature_entropy_bits,7.643856,Entropy of ordered episode signatures.
Episode,repeated_episode_instance_fraction,0.0,Fraction of episodes whose full event signature recurs.
Motif,motif_count,75.0,Number of recurring event patterns with support >= 2.
Motif,motif_support_mass,154.0,Total support represented by recurring motifs across all motif lengths.
Motif,recurring_three_event_window_fraction,0.0,Fraction of length-3 episode windows captured by recurring motifs.
StaticProjection,static_node_count,40.0,Participant nodes retained after collapsing event instances.
StaticProjection,static_edge_count,702.0,Co-participation edges retained after collapsing event instances.
System,compressibility_index,0.0016,"Composite recurrence signal across events, transitions, and length-3 motifs."
