pattern,support,variants,predicted_next_events,contexts,outcomes
"{U12,U14}",3,"{U03,U05}:1","{U03,U05}",CTX_0002:1;CTX_0035:1;CTX_0070:1,OUT_0002:1;OUT_0035:1;OUT_0070:1
"{U07,U30}",3,"{U07,U09}:1;{U06,U16}:1;{U13,U30}:1","{U07,U09};{U06,U16};{U13,U30}",CTX_0009:1;CTX_0060:1;CTX_0152:1,OUT_0009:1;OUT_0060:1;OUT_0152:1
"{U10,U33}",3,"{U04,U10,U33}:1;{U03,U15}:1","{U04,U10,U33};{U03,U15}",CTX_0065:2;CTX_0193:1,OUT_0065:2;OUT_0193:1
"{U22,U27}",3,"{U19,U36}:1;{U21,U39}:1;{U10,U37}:1","{U19,U36};{U21,U39};{U10,U37}",CTX_0137:1;CTX_0140:1;CTX_0189:1,OUT_0137:1;OUT_0140:1;OUT_0189:1
"{U27,U34}",2,"{U04,U14,U17,U31}:1;{U03,U16}:1","{U04,U14,U17,U31};{U03,U16}",CTX_0000:1;CTX_0145:1,OUT_0000:1;OUT_0145:1
"{U09,U36}",2,"{U09,U32,U36}:1","{U09,U32,U36}",CTX_0003:1;CTX_0110:1,OUT_0003:1;OUT_0110:1
"{U13,U22}",2,"{U17,U24}:1;{U08,U13,U22}:1","{U17,U24};{U08,U13,U22}",CTX_0004:1;CTX_0031:1,OUT_0004:1;OUT_0031:1
"{U17,U24}",2,"{U17,U24,U28}:1","{U17,U24,U28}",CTX_0004:2,OUT_0004:2
"{U05,U36}",2,"{U07,U14}:1;{U06,U37}:1","{U07,U14};{U06,U37}",CTX_0005:1;CTX_0182:1,OUT_0005:1;OUT_0182:1
"{U16,U20}",2,"{U08,U15}:1;{U02,U27}:1","{U08,U15};{U02,U27}",CTX_0006:1;CTX_0123:1,OUT_0006:1;OUT_0123:1
"{U25,U38}",2,"{U25,U32,U38}:1","{U25,U32,U38}",CTX_0008:2,OUT_0008:2
"{U17,U31}",2,"{U24,U32}:1;{U00,U32}:1","{U24,U32};{U00,U32}",CTX_0010:1;CTX_0104:1,OUT_0010:1;OUT_0104:1
"{U22,U35}",2,"{U20,U33}:1","{U20,U33}",CTX_0013:1;CTX_0078:1,OUT_0013:1;OUT_0078:1
"{U21,U35}",2,"{U18,U21}:1;{U13,U27}:1","{U18,U21};{U13,U27}",CTX_0016:1;CTX_0116:1,OUT_0016:1;OUT_0116:1
"{U02,U18}",2,"{U13,U14,U33}:1;{U05,U18,U31}:1","{U13,U14,U33};{U05,U18,U31}",CTX_0017:1;CTX_0049:1,OUT_0017:1;OUT_0049:1
"{U34,U37}",2,"{U14,U26}:1;{U12,U32}:1","{U14,U26};{U12,U32}",CTX_0018:1;CTX_0033:1,OUT_0018:1;OUT_0033:1
"{U02,U26}",2,"{U04,U29,U30}:1","{U04,U29,U30}",CTX_0018:1;CTX_0164:1,OUT_0018:1;OUT_0164:1
"{U26,U35}",2,"{U32,U38}:1;{U20,U23}:1","{U32,U38};{U20,U23}",CTX_0019:1;CTX_0130:1,OUT_0019:1;OUT_0130:1
"{U21,U29}",2,"{U21,U29,U31}:1;{U21,U29,U39}:1","{U21,U29,U31};{U21,U29,U39}",CTX_0020:1;CTX_0117:1,OUT_0020:1;OUT_0117:1
"{U10,U15}",2,"{U10,U15,U22}:1","{U10,U15,U22}",CTX_0021:1;CTX_0030:1,OUT_0021:1;OUT_0030:1
