seed_index,seed,world,detector_variant,detector,event_decoder,decoder_subset_size,status,failure_modes,event_count,transition_count,motif_count,motif_support_mass,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
0,7,branch,sliding_low_consensus_pair,sliding_window,consensus_pair,2,degraded,overcapture_degradation;motif_degradation,429,289,31,779.0,60;54,0.9,1.21056,0.21056,0.952381,0.97619,0.0,0.952381,0.516202,0.778523,0.807143
0,7,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,427,287,29,772.0,59;54,0.9,1.204121,0.204121,0.952381,0.97619,0.0,0.952381,0.510722,0.763514,0.792857
0,7,branch,sliding_low_temporal_high_penalty,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,428,288,32,778.0,59;54,0.9,1.205409,0.205409,0.952381,0.97619,0.0,0.952381,0.505327,0.758389,0.778571
0,7,branch,sliding_low_temporal_weak_recurrence,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,430,290,34,778.0,59;51,0.85,1.208628,0.208628,0.953488,0.976471,0.0,0.953488,0.493427,0.741722,0.75
0,7,branch,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,2,failed,undercapture;motif_degradation;history_prediction_degradation,440,300,35,804.0,59;54,0.9,0.566001,0.0,0.888889,0.909091,0.042553,0.846336,0.499817,0.75625,0.771429
0,7,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,557,417,90,1022.0,40;40,0.666667,0.808113,0.0,0.61194,0.695652,0.048387,0.563553,0.353513,0.530686,0.492857
0,7,branch,union_temporal_high_penalty,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,563,423,93,1042.0,37;33,0.55,0.811977,0.0,0.569444,0.661157,0.046875,0.522569,0.35269,0.533569,0.507143
0,7,branch,union_temporal_weak_recurrence,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,581,441,102,1096.0,37;32,0.533333,0.822279,0.0,0.586667,0.672,0.045113,0.541554,0.349836,0.561462,0.428571
0,7,branch,union_temporal_consensus_fast_decay,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,557,417,90,1022.0,40;40,0.666667,0.808113,0.0,0.61194,0.695652,0.048387,0.563553,0.353513,0.530686,0.492857
0,7,overlap,sliding_low_consensus_pair,sliding_window,consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,611,411,37,1120.0,53;52;55,0.866667,1.21745,0.21745,0.932203,0.957983,0.0,0.932203,0.51577,0.758294,0.8
0,7,overlap,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,612,412,34,1120.0,53;53;56,0.883333,1.21745,0.21745,0.932203,0.95,0.0,0.932203,0.51796,0.764151,0.81
0,7,overlap,sliding_low_temporal_high_penalty,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,616,416,35,1126.0,53;53;56,0.883333,1.221067,0.221067,0.932203,0.95,0.0,0.932203,0.510368,0.75,0.795
0,7,overlap,sliding_low_temporal_weak_recurrence,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,620,420,43,1132.0,49;53;56,0.816667,1.225588,0.225588,0.9,0.949153,0.0,0.9,0.495651,0.727273,0.77
0,7,overlap,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,2,failed,undercapture;motif_degradation;history_prediction_degradation,631,431,38,1175.0,54;54;54,0.9,0.566004,0.0,0.852941,0.899225,0.067669,0.785272,0.525744,0.787879,0.81
