from_event,to_event,delta_t,shared_participants,changed_participants,weight,episode_id,context,from_label,to_label
event_00000,event_00001,3,B,"A,C",1,episode_0000,X,"{A,B}","{B,C}"
event_00001,event_00002,3,C,"B,D",1,episode_0000,X,"{B,C}","{C,D}"
event_00003,event_00004,3,B,"A,E",1,episode_0001,Z,"{A,B}","{B,E}"
event_00004,event_00005,3,E,"B,F",1,episode_0001,Z,"{B,E}","{E,F}"
event_00006,event_00007,3,,"A,B,E,H",1,episode_0002,N,"{B,E}","{A,H}"
event_00007,event_00008,3,,"A,C,G,H",1,episode_0002,N,"{A,H}","{C,G}"
event_00009,event_00010,3,B,"A,C",1,episode_0003,X,"{A,B}","{B,C}"
event_00010,event_00011,3,C,"B,D",1,episode_0003,X,"{B,C}","{C,D}"
event_00012,event_00013,3,B,"A,E",1,episode_0004,Z,"{A,B}","{B,E}"
event_00013,event_00014,3,E,"B,F",1,episode_0004,Z,"{B,E}","{E,F}"
event_00015,event_00016,3,B,"C,D",1,episode_0005,N,"{B,C}","{B,D}"
event_00016,event_00017,3,,"A,B,D,F",1,episode_0005,N,"{B,D}","{A,F}"
event_00018,event_00019,3,B,"A,C",1,episode_0006,X,"{A,B}","{B,C}"
event_00019,event_00020,3,C,"B,D",1,episode_0006,X,"{B,C}","{C,D}"
event_00021,event_00022,3,B,"A,E",1,episode_0007,Z,"{A,B}","{B,E}"
event_00022,event_00023,3,E,"B,F",1,episode_0007,Z,"{B,E}","{E,F}"
event_00024,event_00025,3,,"C,D,F,G",1,episode_0008,N,"{D,G}","{C,F}"
event_00025,event_00026,3,C,"A,F",1,episode_0008,N,"{C,F}","{A,C}"
event_00027,event_00028,3,B,"A,C",1,episode_0009,X,"{A,B}","{B,C}"
event_00028,event_00029,3,C,"B,D",1,episode_0009,X,"{B,C}","{C,D}"
event_00030,event_00031,3,B,"A,E",1,episode_0010,Z,"{A,B}","{B,E}"
event_00031,event_00032,3,E,"B,F",1,episode_0010,Z,"{B,E}","{E,F}"
event_00033,event_00034,3,,"A,C,D,F",1,episode_0011,N,"{C,F}","{A,D}"
event_00034,event_00035,3,,"A,C,D,G",1,episode_0011,N,"{A,D}","{C,G}"
event_00036,event_00037,3,B,"A,C",1,episode_0012,X,"{A,B}","{B,C}"
event_00037,event_00038,3,C,"B,D",1,episode_0012,X,"{B,C}","{C,D}"
event_00039,event_00040,3,B,"A,E",1,episode_0013,Z,"{A,B}","{B,E}"
event_00040,event_00041,3,E,"B,F",1,episode_0013,Z,"{B,E}","{E,F}"
event_00042,event_00043,3,,"B,C,D,H",1,episode_0014,N,"{B,D}","{C,H}"
event_00043,event_00044,3,,"A,C,D,H",1,episode_0014,N,"{C,H}","{A,D}"
event_00045,event_00046,3,B,"A,C",1,episode_0015,X,"{A,B}","{B,C}"
event_00046,event_00047,3,C,"B,D",1,episode_0015,X,"{B,C}","{C,D}"
