event_id,episode_id,t_start,t_end,participants,label,intensities,context,source_window,outcome
event_00000,episode_0000,0,0,"A,B","{A,B}","{""A"": 0.8, ""B"": 0.8}",X,union:heu_like:heu:0:0,Y1
event_00001,episode_0000,5,5,"B,C,E","{B,C,E}","{""B"": 0.8702, ""C"": 0.8131, ""E"": 0.8142}",X,union:heu_like:heu:5:5,Y1
event_00002,episode_0000,5,7,"B,C","{B,C}","{""B"": 0.999, ""C"": 0.9761}",X,union:sliding_window:5:7|heu_like:heu:6:7,Y1
event_00003,episode_0000,10,10,"C,D,E,H","{C,D,E,H}","{""C"": 0.8734, ""D"": 0.8147, ""E"": 0.8312, ""H"": 0.8147}",X,union:heu_like:heu:10:10,Y1
event_00004,episode_0000,10,12,"C,D","{C,D}","{""C"": 0.9875, ""D"": 0.9585}",X,union:sliding_window:10:12|heu_like:heu:12:12,Y1
event_00005,episode_0000,11,11,"C,D,E","{C,D,E}","{""C"": 0.9572, ""D"": 0.9467, ""E"": 0.9496}",X,union:heu_like:heu:11:11,Y1
event_00006,episode_0001,17,19,"A,B","{A,B}","{""A"": 0.9559, ""B"": 0.9597}",Z,union:sliding_window:17:19|heu_like:heu:17:19,Y2
event_00007,episode_0001,22,22,"B,E","{B,E}","{""B"": 0.8736, ""E"": 0.8104}",Z,union:heu_like:heu:22:22,Y2
event_00008,episode_0001,24,24,"B,E","{B,E}","{""B"": 0.9723, ""E"": 0.8947}",Z,union:heu_like:heu:24:24,Y2
event_00009,episode_0001,26,26,"B,G","{B,G}","{""B"": 0.913, ""G"": 0.8183}",Z,union:heu_like:heu:26:26,Y2
event_00010,episode_0001,27,29,"E,F","{E,F}","{""E"": 0.9638, ""F"": 0.9507}",Z,union:sliding_window:27:29|heu_like:heu:27:29,Y2
event_00011,episode_0002,34,36,"C,E","{C,E}","{""C"": 0.93, ""E"": 0.9484}",N,union:sliding_window:34:36|heu_like:heu:34:35,YN
event_00012,episode_0002,36,36,"C,E,G","{C,E,G}","{""C"": 0.9699, ""E"": 0.9699, ""G"": 0.8085}",N,union:heu_like:heu:36:36,YN
event_00013,episode_0002,39,41,"C,G","{C,G}","{""C"": 0.9543, ""G"": 0.9557}",N,union:sliding_window:39:41|heu_like:heu:39:39|heu_like:heu:41:41,YN
event_00014,episode_0002,40,40,"C,E,G","{C,E,G}","{""C"": 0.9576, ""E"": 0.8509, ""G"": 0.9551}",N,union:heu_like:heu:40:40,YN
event_00015,episode_0002,42,42,"B,G","{B,G}","{""B"": 0.8147, ""G"": 0.9749}",N,union:heu_like:heu:42:42,YN
event_00016,episode_0002,44,45,"B,D,H","{B,D,H}","{""B"": 0.9278, ""D"": 0.8797, ""H"": 0.8828}",N,union:heu_like:heu:44:45,YN
event_00017,episode_0002,44,46,"B,D","{B,D}","{""B"": 0.9781, ""D"": 1.003}",N,union:sliding_window:44:46|heu_like:heu:46:46,YN
event_00018,episode_0003,51,53,"A,B","{A,B}","{""A"": 0.9348, ""B"": 0.9579}",Z,union:sliding_window:51:53|heu_like:heu:51:53,Y2
event_00019,episode_0003,54,58,"B,E","{B,E}","{""B"": 0.9971, ""E"": 0.9497}",Z,union:sliding_window:54:58|heu_like:heu:54:56,Y2
event_00020,episode_0003,57,57,"B,E,F","{B,E,F}","{""B"": 0.9756, ""E"": 0.9746, ""F"": 0.8139}",Z,union:heu_like:heu:57:57,Y2
event_00021,episode_0003,58,58,"B,C,E","{B,C,E}","{""B"": 0.9756, ""C"": 0.8151, ""E"": 0.9754}",Z,union:heu_like:heu:58:58,Y2
event_00022,episode_0003,59,59,"B,G","{B,G}","{""B"": 0.9756, ""G"": 0.8124}",Z,union:heu_like:heu:59:59,Y2
event_00023,episode_0003,61,61,"E,F","{E,F}","{""E"": 0.8742, ""F"": 0.8438}",Z,union:heu_like:heu:61:61,Y2
event_00024,episode_0003,63,63,"E,F","{E,F}","{""E"": 0.9017, ""F"": 0.9713}",Z,union:heu_like:heu:63:63,Y2
event_00025,episode_0004,68,68,"A,B,G","{A,B,G}","{""A"": 0.8, ""B"": 0.8, ""G"": 0.8}",X,union:heu_like:heu:68:68,Y1
event_00026,episode_0004,68,70,"A,B","{A,B}","{""A"": 0.9776, ""B"": 0.9736}",X,union:sliding_window:68:70|heu_like:heu:69:70,Y1
event_00027,episode_0004,73,75,"B,C","{B,C}","{""B"": 0.9738, ""C"": 0.9706}",X,union:sliding_window:73:75|heu_like:heu:73:74,Y1
event_00028,episode_0004,75,75,"B,C,E","{B,C,E}","{""B"": 0.9724, ""C"": 0.9703, ""E"": 0.8116}",X,union:heu_like:heu:75:75,Y1
event_00029,episode_0004,78,78,"C,D,G","{C,D,G}","{""C"": 0.8752, ""D"": 0.8128, ""G"": 0.8122}",X,union:heu_like:heu:78:78,Y1
event_00030,episode_0004,78,80,"C,D","{C,D}","{""C"": 0.9808, ""D"": 0.9781}",X,union:sliding_window:78:80|heu_like:heu:79:80,Y1
event_00031,episode_0005,85,85,"B,C,E","{B,C,E}","{""B"": 0.8, ""C"": 0.8, ""E"": 0.8}",N,union:heu_like:heu:85:85,YN
event_00032,episode_0005,85,87,"C,E","{C,E}","{""C"": 0.9881, ""E"": 0.98}",N,union:sliding_window:85:87|heu_like:heu:86:87,YN
event_00033,episode_0005,90,92,"D,G","{D,G}","{""D"": 0.9789, ""G"": 0.96}",N,union:sliding_window:90:92|heu_like:heu:90:92,YN
event_00034,episode_0005,95,95,"B,C,E","{B,C,E}","{""B"": 0.816, ""C"": 0.8167, ""E"": 0.9478}",N,union:heu_like:heu:95:95,YN
event_00035,episode_0005,96,96,"C,E","{C,E}","{""C"": 0.947, ""E"": 0.9706}",N,union:heu_like:heu:96:96,YN
event_00036,episode_0006,102,104,"A,B","{A,B}","{""A"": 0.9392, ""B"": 0.9346}",X,union:sliding_window:102:104|heu_like:heu:102:102|heu_like:heu:104:104,Y1
event_00037,episode_0006,103,103,"A,B,G","{A,B,G}","{""A"": 0.944, ""B"": 0.944, ""G"": 0.807}",X,union:heu_like:heu:103:103,Y1
event_00038,episode_0006,107,107,"A,B,C","{A,B,C}","{""A"": 0.8775, ""B"": 0.8742, ""C"": 0.8129}",X,union:heu_like:heu:107:107,Y1
event_00039,episode_0006,107,109,"B,C","{B,C}","{""B"": 0.9862, ""C"": 0.9784}",X,union:sliding_window:107:109|heu_like:heu:108:109,Y1
event_00040,episode_0006,113,114,"C,D","{C,D}","{""C"": 0.9021, ""D"": 0.9583}",X,union:heu_like:heu:113:114,Y1
event_00041,episode_0006,116,116,"D,H","{D,H}","{""D"": 0.9139, ""H"": 0.8147}",X,union:heu_like:heu:116:116,Y1
event_00042,episode_0007,119,121,"A,B","{A,B}","{""A"": 0.9585, ""B"": 0.9473}",Z,union:sliding_window:119:121|heu_like:heu:119:121,Y2
event_00043,episode_0007,124,126,"B,E","{B,E}","{""B"": 0.9567, ""E"": 0.9369}",Z,union:sliding_window:124:126|heu_like:heu:124:124|heu_like:heu:126:126,Y2
event_00044,episode_0007,125,125,"B,D,E","{B,D,E}","{""B"": 0.9575, ""D"": 0.8164, ""E"": 0.9467}",Z,union:heu_like:heu:125:125,Y2
event_00045,episode_0007,129,129,"B,C,E,F","{B,C,E,F}","{""B"": 0.875, ""C"": 0.8169, ""E"": 0.8746, ""F"": 0.8158}",Z,union:heu_like:heu:129:129,Y2
event_00046,episode_0007,130,130,"E,F","{E,F}","{""E"": 0.9574, ""F"": 0.9468}",Z,union:heu_like:heu:130:130,Y2
event_00047,episode_0008,136,138,"C,F","{C,F}","{""C"": 0.9435, ""F"": 0.9309}",N,union:sliding_window:136:138|heu_like:heu:136:138,YN
event_00048,episode_0008,141,141,"B,C,D,F","{B,C,D,F}","{""B"": 0.8175, ""C"": 0.8752, ""D"": 0.8135, ""F"": 0.8751}",N,union:heu_like:heu:141:141,YN
event_00049,episode_0008,141,143,"B,F","{B,F}","{""B"": 0.9587, ""F"": 0.9722}",N,union:sliding_window:141:143|heu_like:heu:142:142,YN
event_00050,episode_0008,143,143,"B,C,F","{B,C,F}","{""B"": 0.9705, ""C"": 0.9019, ""F"": 0.9724}",N,union:heu_like:heu:143:143,YN
event_00051,episode_0008,146,148,"B,C","{B,C}","{""B"": 0.973, ""C"": 0.9617}",N,union:sliding_window:146:148|heu_like:heu:146:148,YN
event_00052,episode_0009,153,155,"A,B","{A,B}","{""A"": 0.9522, ""B"": 0.9414}",X,union:sliding_window:153:155|heu_like:heu:153:155,Y1
event_00053,episode_0009,158,158,"B,C,G","{B,C,G}","{""B"": 0.8745, ""C"": 0.8134, ""G"": 0.8101}",X,union:heu_like:heu:158:158,Y1
event_00054,episode_0009,158,160,"B,C","{B,C}","{""B"": 1.0048, ""C"": 0.9598}",X,union:sliding_window:158:160,Y1
event_00055,episode_0009,159,159,"B,C,F","{B,C,F}","{""B"": 0.9574, ""C"": 0.9464, ""F"": 0.813}",X,union:heu_like:heu:159:159,Y1
event_00056,episode_0009,160,160,"B,C,E","{B,C,E}","{""B"": 0.9723, ""C"": 0.9704, ""E"": 0.8134}",X,union:heu_like:heu:160:160,Y1
event_00057,episode_0009,163,165,"C,D","{C,D}","{""C"": 0.9586, ""D"": 0.9838}",X,union:sliding_window:163:165|heu_like:heu:163:165,Y1
event_00058,episode_0009,166,166,"B,E,F","{B,E,F}","{""B"": 0.8292, ""E"": 0.8274, ""F"": 0.8242}",X,union:heu_like:heu:166:166,Y1
event_00059,episode_0010,170,172,"A,B","{A,B}","{""A"": 0.9705, ""B"": 0.9774}",Z,union:sliding_window:170:172|heu_like:heu:170:172,Y2
event_00060,episode_0010,175,177,"B,E","{B,E}","{""B"": 0.9699, ""E"": 0.9561}",Z,union:sliding_window:175:177|heu_like:heu:175:176,Y2
event_00061,episode_0010,177,177,"B,C,E","{B,C,E}","{""B"": 0.9723, ""C"": 0.8136, ""E"": 0.9704}",Z,union:heu_like:heu:177:177,Y2
event_00062,episode_0010,180,182,"E,F","{E,F}","{""E"": 0.955, ""F"": 0.9574}",Z,union:sliding_window:180:182|heu_like:heu:180:182,Y2
event_00063,episode_0011,187,187,"C,D,G","{C,D,G}","{""C"": 0.8, ""D"": 0.8, ""G"": 0.8}",N,union:heu_like:heu:187:187,YN
event_00064,episode_0011,187,189,"D,G","{D,G}","{""D"": 0.9606, ""G"": 0.9827}",N,union:sliding_window:187:189,YN
event_00065,episode_0011,188,188,"D,E,F,G","{D,E,F,G}","{""D"": 0.944, ""E"": 0.8072, ""F"": 0.8046, ""G"": 0.944}",N,union:heu_like:heu:188:188,YN
event_00066,episode_0011,189,189,"C,D,G","{C,D,G}","{""C"": 0.8937, ""D"": 0.9699, ""G"": 0.9699}",N,union:heu_like:heu:189:189,YN
event_00067,episode_0011,192,194,"A,G","{A,G}","{""A"": 0.9326, ""G"": 0.9723}",N,union:sliding_window:192:194|heu_like:heu:192:194,YN
event_00068,episode_0011,195,195,"G,H","{G,H}","{""G"": 0.975, ""H"": 0.8151}",N,union:heu_like:heu:195:195,YN
event_00069,episode_0011,197,197,"A,E","{A,E}","{""A"": 0.8736, ""E"": 0.8172}",N,union:heu_like:heu:197:197,YN
event_00070,episode_0011,199,199,"A,E","{A,E}","{""A"": 0.901, ""E"": 0.9705}",N,union:heu_like:heu:199:199,YN
event_00071,episode_0012,204,206,"A,B","{A,B}","{""A"": 0.9063, ""B"": 0.9049}",Z,union:sliding_window:204:206|heu_like:heu:204:204,Y2
event_00072,episode_0012,205,205,"A,B,C","{A,B,C}","{""A"": 0.944, ""B"": 0.944, ""C"": 0.8077}",Z,union:heu_like:heu:205:205,Y2
