pattern,support,variants,predicted_next_events,contexts,outcomes
"{A,B}",123,"{B,E}:25;{B,C}:22;{A,B,C}:10;{A,B,F}:9;{A,B,E}:9;{A,B,D}:8;{A,B,G}:5;{A,B,H}:5;{B,C,G}:2;{A,B,E,G}:2;{C,H}:2;{B,D,E}:2;{B,E,H}:2;{A,B}:2;{B,C,E}:1;{E,G}:1;{A,C}:1;{A,F}:1;{C,E}:1;{B,C,D}:1;{A,B,E,F}:1;{G,H}:1;{A,H}:1;{A,B,D,F}:1;{A,B,D,H}:1;{A,E,G,H}:1;{A,B,C,H}:1;{D,G}:1;{C,F}:1;{A,E,H}:1;{A,B,D,G,H}:1","{B,E};{B,C};{A,B,C};{A,B,F};{A,B,E};{A,B,D};{A,B,G};{A,B,H};{B,C,G};{A,B,E,G};{C,H};{B,D,E};{B,E,H};{A,B};{B,C,E};{E,G};{A,C};{A,F};{C,E};{B,C,D};{A,B,E,F};{G,H};{A,H};{A,B,D,F};{A,B,D,H};{A,E,G,H};{A,B,C,H};{D,G};{C,F};{A,E,H};{A,B,D,G,H}",X:61;Z:59;N:3,Y1:61;Y2:59;YN:3
"{B,C}",71,"{C,D}:23;{B,C,F}:5;{B,C}:5;{A,B,C}:4;{B,C,H}:4;{B,C,E}:3;{B,C,D}:3;{B,C,G}:3;{E,F}:2;{A,H}:2;{D,H}:2;{C,D,G}:2;{C,D,E,H}:1;{C,D,H}:1;{B,H}:1;{C,D,F,G}:1;{A,C,D,F}:1;{C,H}:1;{B,E}:1;{A,C,D,E}:1;{A,D}:1;{A,B,G}:1;{B,E,F}:1","{C,D};{B,C,F};{B,C};{A,B,C};{B,C,H};{B,C,E};{B,C,D};{B,C,G};{E,F};{A,H};{D,H};{C,D,G};{C,D,E,H};{C,D,H};{B,H};{C,D,F,G};{A,C,D,F};{C,H};{B,E};{A,C,D,E};{A,D};{A,B,G};{B,E,F}",X:66;N:3;Z:2,Y1:66;YN:3;Y2:2
"{B,E}",69,"{E,F}:21;{B,E,F}:5;{B,D,E}:5;{B,E,G}:5;{B,C,E}:4;{A,B,E}:4;{B,E,H}:3;{B,E}:2;{A,E,F}:2;{A,B,E,G}:2;{B,G}:1;{B,C,E,G}:1;{C,E}:1;{B,D,E,G}:1;{B,C,E,F}:1;{C,D}:1;{A,B,C}:1;{B,C,D,E}:1;{A,B}:1;{B,E,F,G}:1;{B,C}:1;{E,F,H}:1;{D,E}:1;{E,G}:1;{A,F}:1","{E,F};{B,E,F};{B,D,E};{B,E,G};{B,C,E};{A,B,E};{B,E,H};{B,E};{A,E,F};{A,B,E,G};{B,G};{B,C,E,G};{C,E};{B,D,E,G};{B,C,E,F};{C,D};{A,B,C};{B,C,D,E};{A,B};{B,E,F,G};{B,C};{E,F,H};{D,E};{E,G};{A,F}",Z:65;N:2;X:2,Y2:65;YN:2;Y1:2
"{E,F}",67,"{D,E,F}:8;{E,F,H}:6;{E,F}:4;{C,E,F}:4;{A,E,F}:3;{D,E}:3;{A,C,E,F}:2;{E,F,G}:2;{B,E,F}:2;{A,B}:1;{C,E}:1;{A,H}:1;{B,E}:1;{D,E,F,H}:1;{C,D}:1","{D,E,F};{E,F,H};{E,F};{C,E,F};{A,E,F};{D,E};{A,C,E,F};{E,F,G};{B,E,F};{A,B};{C,E};{A,H};{B,E};{D,E,F,H};{C,D}",Z:65;N:1;X:1,Y2:65;YN:1;Y1:1
"{C,D}",64,"{C,D,E}:5;{C,D,H}:5;{C,D,G}:4;{C,D,F}:3;{A,C,D}:3;{D,H}:2;{B,D}:2;{B,C,D}:2;{C,D}:2;{A,C,D,H}:2;{B,E,F}:1;{D,F}:1;{A,B,C,D}:1;{C,F}:1;{D,E}:1;{C,D,E,G}:1","{C,D,E};{C,D,H};{C,D,G};{C,D,F};{A,C,D};{D,H};{B,D};{B,C,D};{C,D};{A,C,D,H};{B,E,F};{D,F};{A,B,C,D};{C,F};{D,E};{C,D,E,G}",X:62;N:2,Y1:62;YN:2
"{A,B} -> {B,E}",25,"{E,F}:8;{B,E}:2;{B,D,E}:2;{B,C,E}:2;{A,B,E}:2;{B,E,H}:2;{B,E,G}:2;{B,E,F}:1;{C,E}:1;{A,B,C}:1;{B,C}:1;{A,B,E,G}:1","{E,F};{B,E};{B,D,E};{B,C,E};{A,B,E};{B,E,H};{B,E,G};{B,E,F};{C,E};{A,B,C};{B,C};{A,B,E,G}",Z:24;N:1,Y2:24;YN:1
"{A,B,C}",24,"{B,C}:10;{C,D}:4;{A,B}:4;{B,E}:2;{A,B,F}:1;{A,B,C}:1;{B,C,E}:1;{A,B,E}:1","{B,C};{C,D};{A,B};{B,E};{A,B,F};{A,B,C};{B,C,E};{A,B,E}",X:17;Z:7,Y1:17;Y2:7
"{B,C} -> {C,D}",23,"{C,D,H}:3;{D,H}:2;{C,D,G}:2;{A,B,C,D}:1;{C,D}:1;{A,C,D,H}:1;{C,D,F}:1;{B,C,D}:1;{C,D,E}:1;{D,E}:1;{B,D}:1","{C,D,H};{D,H};{C,D,G};{A,B,C,D};{C,D};{A,C,D,H};{C,D,F};{B,C,D};{C,D,E};{D,E};{B,D}",X:23,Y1:23
"{A,B} -> {B,C}",22,"{C,D}:6;{B,C,G}:2;{B,C,H}:2;{B,C,E}:1;{C,D,H}:1;{A,B,C}:1;{A,C,D,F}:1;{A,H}:1;{C,H}:1;{B,C,D}:1;{B,E}:1;{D,H}:1;{B,C}:1;{C,D,G}:1;{B,C,F}:1","{C,D};{B,C,G};{B,C,H};{B,C,E};{C,D,H};{A,B,C};{A,C,D,F};{A,H};{C,H};{B,C,D};{B,E};{D,H};{B,C};{C,D,G};{B,C,F}",X:22,Y1:22
"{B,E} -> {E,F}",21,"{D,E,F}:6;{C,E,F}:3;{B,E,F}:2;{A,E,F}:1;{D,E}:1;{E,F,H}:1;{D,E,F,H}:1;{E,F}:1","{D,E,F};{C,E,F};{B,E,F};{A,E,F};{D,E};{E,F,H};{D,E,F,H};{E,F}",Z:21,Y2:21
