from_event,to_event,delta_t,shared_participants,changed_participants,weight,episode_id,context,from_label,to_label
event_00000,event_00001,5,B,"A,C,E",1,episode_0000,X,"{A,B}","{B,C,E}"
event_00001,event_00002,0,"B,C",E,1,episode_0000,X,"{B,C,E}","{B,C}"
event_00002,event_00003,3,C,"B,D,E,H",1,episode_0000,X,"{B,C}","{C,D,E,H}"
event_00003,event_00004,0,"C,D","E,H",1,episode_0000,X,"{C,D,E,H}","{C,D}"
event_00004,event_00005,-1,"C,D",E,1,episode_0000,X,"{C,D}","{C,D,E}"
event_00006,event_00007,3,B,"A,E",1,episode_0001,Z,"{A,B}","{B,E}"
event_00007,event_00008,2,"B,E",,1,episode_0001,Z,"{B,E}","{B,E}"
event_00008,event_00009,2,B,"E,G",1,episode_0001,Z,"{B,E}","{B,G}"
event_00009,event_00010,1,,"B,E,F,G",1,episode_0001,Z,"{B,G}","{E,F}"
event_00011,event_00012,0,"C,E",G,1,episode_0002,N,"{C,E}","{C,E,G}"
event_00012,event_00013,3,"C,G",E,1,episode_0002,N,"{C,E,G}","{C,G}"
event_00013,event_00014,-1,"C,G",E,1,episode_0002,N,"{C,G}","{C,E,G}"
event_00014,event_00015,2,G,"B,C,E",1,episode_0002,N,"{C,E,G}","{B,G}"
event_00015,event_00016,2,B,"D,G,H",1,episode_0002,N,"{B,G}","{B,D,H}"
event_00016,event_00017,-1,"B,D",H,1,episode_0002,N,"{B,D,H}","{B,D}"
event_00018,event_00019,1,B,"A,E",1,episode_0003,Z,"{A,B}","{B,E}"
event_00019,event_00020,-1,"B,E",F,1,episode_0003,Z,"{B,E}","{B,E,F}"
event_00020,event_00021,1,"B,E","C,F",1,episode_0003,Z,"{B,E,F}","{B,C,E}"
event_00021,event_00022,1,B,"C,E,G",1,episode_0003,Z,"{B,C,E}","{B,G}"
event_00022,event_00023,2,,"B,E,F,G",1,episode_0003,Z,"{B,G}","{E,F}"
event_00023,event_00024,2,"E,F",,1,episode_0003,Z,"{E,F}","{E,F}"
event_00025,event_00026,0,"A,B",G,1,episode_0004,X,"{A,B,G}","{A,B}"
event_00026,event_00027,3,B,"A,C",1,episode_0004,X,"{A,B}","{B,C}"
event_00027,event_00028,0,"B,C",E,1,episode_0004,X,"{B,C}","{B,C,E}"
event_00028,event_00029,3,C,"B,D,E,G",1,episode_0004,X,"{B,C,E}","{C,D,G}"
event_00029,event_00030,0,"C,D",G,1,episode_0004,X,"{C,D,G}","{C,D}"
