event_id,episode_id,t_start,t_end,participants,label,intensities,context,source_window,outcome
event_00000,episode_0000,0,0,"U01,U11,U18","{U01,U11,U18}","{""U01"": 0.8, ""U11"": 0.8, ""U18"": 0.8}",CTX_0000,union:heu_like:heu:0:0,OUT_0000
event_00001,episode_0000,0,2,"U11,U18","{U11,U18}","{""U11"": 1.009, ""U18"": 1.0056}",CTX_0000,union:sliding_window:0:2,OUT_0000
event_00002,episode_0000,1,1,"U06,U11,U18,U23,U32","{U06,U11,U18,U23,U32}","{""U06"": 0.8069, ""U11"": 0.944, ""U18"": 0.944, ""U23"": 0.8061, ""U32"": 0.8077}",CTX_0000,union:heu_like:heu:1:1,OUT_0000
event_00003,episode_0000,2,2,"U11,U13,U18","{U11,U13,U18}","{""U11"": 0.9699, ""U13"": 0.8059, ""U18"": 0.9699}",CTX_0000,union:heu_like:heu:2:2,OUT_0000
event_00004,episode_0000,3,3,"U05,U08,U13,U16,U31","{U05,U08,U13,U16,U31}","{""U05"": 0.8138, ""U08"": 0.8109, ""U13"": 0.9451, ""U16"": 0.809, ""U31"": 0.8112}",CTX_0000,union:heu_like:heu:3:3,OUT_0000
event_00005,episode_0000,4,4,"U15,U38","{U15,U38}","{""U15"": 0.8141, ""U38"": 0.8159}",CTX_0000,union:heu_like:heu:4:4,OUT_0000
event_00006,episode_0000,5,5,"U11,U27,U31,U33,U34,U37","{U11,U27,U31,U33,U34,U37}","{""U11"": 0.8743, ""U27"": 0.8151, ""U31"": 0.8942, ""U33"": 0.8126, ""U34"": 0.815, ""U37"": 0.8134}",CTX_0000,union:heu_like:heu:5:5,OUT_0000
event_00007,episode_0000,5,7,"U27,U34","{U27,U34}","{""U27"": 0.957, ""U34"": 0.9853}",CTX_0000,union:sliding_window:5:7|heu_like:heu:6:6,OUT_0000
event_00008,episode_0000,7,7,"U10,U27,U34","{U10,U27,U34}","{""U10"": 0.8161, ""U27"": 0.9704, ""U34"": 0.9704}",CTX_0000,union:heu_like:heu:7:7,OUT_0000
event_00009,episode_0000,10,10,"U04,U14,U17,U31","{U04,U14,U17,U31}","{""U04"": 0.8167, ""U14"": 0.8185, ""U17"": 0.9469, ""U31"": 0.8349}",CTX_0000,union:heu_like:heu:10:10,OUT_0000
event_00010,episode_0000,10,12,"U04,U31","{U04,U31}","{""U04"": 0.9435, ""U31"": 1.0232}",CTX_0000,union:sliding_window:10:12,OUT_0000
event_00011,episode_0000,11,11,"U01,U04,U14,U19,U31","{U01,U04,U14,U19,U31}","{""U01"": 0.8151, ""U04"": 0.947, ""U14"": 0.9473, ""U19"": 0.8105, ""U31"": 0.9503}",CTX_0000,union:heu_like:heu:11:11,OUT_0000
event_00012,episode_0000,12,12,"U04,U13,U16,U31,U37","{U04,U13,U16,U31,U37}","{""U04"": 0.9705, ""U13"": 0.8183, ""U16"": 0.8149, ""U31"": 0.9711, ""U37"": 0.822}",CTX_0000,union:heu_like:heu:12:12,OUT_0000
event_00013,episode_0000,13,13,"U00,U02,U35","{U00,U02,U35}","{""U00"": 0.8152, ""U02"": 0.8137, ""U35"": 0.8135}",CTX_0000,union:heu_like:heu:13:13,OUT_0000
event_00014,episode_0001,17,17,"U02,U06,U08,U10,U35","{U02,U06,U08,U10,U35}","{""U02"": 0.8, ""U06"": 0.8, ""U08"": 0.8, ""U10"": 0.8, ""U35"": 0.8}",CTX_0001,union:heu_like:heu:17:17,OUT_0001
event_00015,episode_0001,18,18,"U08,U23,U35","{U08,U23,U35}","{""U08"": 0.944, ""U23"": 0.8033, ""U35"": 0.944}",CTX_0001,union:heu_like:heu:18:18,OUT_0001
event_00016,episode_0001,19,19,"U03,U08,U12","{U03,U08,U12}","{""U03"": 0.8083, ""U08"": 0.9699, ""U12"": 0.8107}",CTX_0001,union:heu_like:heu:19:19,OUT_0001
event_00017,episode_0001,21,21,"U10,U23","{U10,U23}","{""U10"": 0.8427, ""U23"": 0.8618}",CTX_0001,union:heu_like:heu:21:21,OUT_0001
event_00018,episode_0001,22,22,"U00,U16,U24,U28,U32,U37,U38","{U00,U16,U24,U28,U32,U37,U38}","{""U00"": 0.8129, ""U16"": 0.8161, ""U24"": 0.8114, ""U28"": 0.8155, ""U32"": 0.813, ""U37"": 0.814, ""U38"": 0.815}",CTX_0001,union:heu_like:heu:22:22,OUT_0001
event_00019,episode_0001,23,23,"U07,U28,U38","{U07,U28,U38}","{""U07"": 0.8142, ""U28"": 0.9468, ""U38"": 0.9467}",CTX_0001,union:heu_like:heu:23:23,OUT_0001
event_00020,episode_0001,24,24,"U10,U28","{U10,U28}","{""U10"": 0.8689, ""U28"": 0.9704}",CTX_0001,union:heu_like:heu:24:24,OUT_0001
event_00021,episode_0001,26,26,"U08,U11,U14,U17,U18","{U08,U11,U14,U17,U18}","{""U08"": 0.8266, ""U11"": 0.8181, ""U14"": 0.8122, ""U17"": 0.818, ""U18"": 0.8104}",CTX_0001,union:heu_like:heu:26:26,OUT_0001
event_00022,episode_0001,27,27,"U23,U25,U27,U28","{U23,U25,U27,U28}","{""U23"": 0.8284, ""U25"": 0.8138, ""U27"": 0.8112, ""U28"": 0.8747}",CTX_0001,union:heu_like:heu:27:27,OUT_0001
event_00023,episode_0001,27,29,"U23,U27","{U23,U27}","{""U23"": 0.9587, ""U27"": 1.0055}",CTX_0001,union:sliding_window:27:29|heu_like:heu:28:28,OUT_0001
event_00024,episode_0001,29,29,"U06,U23,U27,U38","{U06,U23,U27,U38}","{""U06"": 0.815, ""U23"": 0.9708, ""U27"": 0.9703, ""U38"": 0.8286}",CTX_0001,union:heu_like:heu:29:29,OUT_0001
event_00025,episode_0001,30,30,"U00,U10,U11,U22","{U00,U10,U11,U22}","{""U00"": 0.8166, ""U10"": 0.8269, ""U11"": 0.843, ""U22"": 0.8142}",CTX_0001,union:heu_like:heu:30:30,OUT_0001
event_00026,episode_0002,34,34,"U08,U13,U14","{U08,U13,U14}","{""U08"": 0.8, ""U13"": 0.8, ""U14"": 0.8}",CTX_0002,union:heu_like:heu:34:34,OUT_0002
event_00027,episode_0002,35,35,"U12,U14,U16,U28,U38","{U12,U14,U16,U28,U38}","{""U12"": 0.8045, ""U14"": 0.944, ""U16"": 0.8056, ""U28"": 0.8077, ""U38"": 0.8071}",CTX_0002,union:heu_like:heu:35:35,OUT_0002
event_00028,episode_0002,36,36,"U12,U14,U34","{U12,U14,U34}","{""U12"": 0.9448, ""U14"": 0.9699, ""U34"": 0.8086}",CTX_0002,union:heu_like:heu:36:36,OUT_0002
event_00029,episode_0002,37,37,"U12,U22","{U12,U22}","{""U12"": 0.9701, ""U22"": 0.8143}",CTX_0002,union:heu_like:heu:37:37,OUT_0002
