pattern,support,variants,predicted_next_events,contexts,outcomes
"{U07,U14}",4,"{U01,U07,U14,U19,U31,U37}:1;{U02,U11,U30,U33}:1;{U07,U15,U34}:1","{U01,U07,U14,U19,U31,U37};{U02,U11,U30,U33};{U07,U15,U34}",CTX_0005:1;CTX_0012:1;CTX_0157:1;CTX_0187:1,OUT_0005:1;OUT_0012:1;OUT_0157:1;OUT_0187:1
"{U06,U33}",4,"{U06,U10,U20,U32,U33}:1;{U01,U02,U14,U21}:1;{U10,U28,U39}:1","{U06,U10,U20,U32,U33};{U01,U02,U14,U21};{U10,U28,U39}",CTX_0010:1;CTX_0023:1;CTX_0038:1;CTX_0195:1,OUT_0010:1;OUT_0023:1;OUT_0038:1;OUT_0195:1
"{U26,U35}",4,"{U22,U32,U34,U35,U38}:1;{U01,U21,U25,U27}:1;{U06,U10,U25,U32}:1;{U16,U26,U30,U35}:1","{U22,U32,U34,U35,U38};{U01,U21,U25,U27};{U06,U10,U25,U32};{U16,U26,U30,U35}",CTX_0019:1;CTX_0075:1;CTX_0095:1;CTX_0130:1,OUT_0019:1;OUT_0075:1;OUT_0095:1;OUT_0130:1
"{U15,U34}",4,"{U01,U10,U16,U18,U33}:1;{U00,U28}:1;{U02,U15,U16,U18,U30,U34}:1;{U10,U36,U37}:1","{U01,U10,U16,U18,U33};{U00,U28};{U02,U15,U16,U18,U30,U34};{U10,U36,U37}",CTX_0039:1;CTX_0048:1;CTX_0184:1;CTX_0194:1,OUT_0039:1;OUT_0048:1;OUT_0184:1;OUT_0194:1
"{U19,U36}",4,"{U34,U39}:1;{U08,U09,U16,U26,U33}:1;{U01,U07,U19,U36,U38}:1","{U34,U39};{U08,U09,U16,U26,U33};{U01,U07,U19,U36,U38}",CTX_0043:1;CTX_0082:1;CTX_0132:1;CTX_0137:1,OUT_0043:1;OUT_0082:1;OUT_0132:1;OUT_0137:1
"{U01,U12}",4,"{U01,U07,U39}:1;{U01,U12,U27}:1;{U05,U11,U14,U15,U23,U38}:1","{U01,U07,U39};{U01,U12,U27};{U05,U11,U14,U15,U23,U38}",CTX_0048:1;CTX_0050:1;CTX_0067:1;CTX_0105:1,OUT_0048:1;OUT_0050:1;OUT_0067:1;OUT_0105:1
"{U01,U06}",4,"{U06,U13,U21,U24}:1;{U01,U06,U08,U32,U33}:1;{U14,U16,U25,U32}:1","{U06,U13,U21,U24};{U01,U06,U08,U32,U33};{U14,U16,U25,U32}",CTX_0049:1;CTX_0079:1;CTX_0118:1;CTX_0158:1,OUT_0049:1;OUT_0079:1;OUT_0118:1;OUT_0158:1
"{U09,U36}",4,"{U02,U16}:1;{U08,U14,U20,U22}:1;{U04,U14,U39}:1","{U02,U16};{U08,U14,U20,U22};{U04,U14,U39}",CTX_0054:1;CTX_0124:1;CTX_0134:1;CTX_0143:1,OUT_0054:1;OUT_0124:1;OUT_0134:1;OUT_0143:1
"{U17,U23}",4,"{U24,U34}:1;{U17,U23,U38}:1","{U24,U34};{U17,U23,U38}",CTX_0057:1;CTX_0112:1;CTX_0157:1;CTX_0197:1,OUT_0057:1;OUT_0112:1;OUT_0157:1;OUT_0197:1
"{U02,U22}",4,"{U18,U29,U35}:1;{U00,U02,U22}:1;{U00,U22,U25,U34}:1;{U00,U10}:1","{U18,U29,U35};{U00,U02,U22};{U00,U22,U25,U34};{U00,U10}",CTX_0188:2;CTX_0064:1;CTX_0121:1,OUT_0188:2;OUT_0064:1;OUT_0121:1
"{U00,U18}",4,"{U02,U23,U37}:1;{U01,U11,U14}:1;{U10,U28,U29,U39}:1;{U00,U15,U18,U19}:1","{U02,U23,U37};{U01,U11,U14};{U10,U28,U29,U39};{U00,U15,U18,U19}",CTX_0100:1;CTX_0127:1;CTX_0164:1;CTX_0166:1,OUT_0100:1;OUT_0127:1;OUT_0164:1;OUT_0166:1
"{U03,U38}",4,"{U03,U31,U38,U39}:1;{U05,U24,U38}:1;{U10,U17,U33,U35}:1;{U00,U20,U23,U29,U36}:1","{U03,U31,U38,U39};{U05,U24,U38};{U10,U17,U33,U35};{U00,U20,U23,U29,U36}",CTX_0108:1;CTX_0113:1;CTX_0139:1;CTX_0142:1,OUT_0108:1;OUT_0113:1;OUT_0139:1;OUT_0142:1
"{U02,U19}",4,"{U17,U19,U35,U39}:1;{U05,U06,U10,U16}:1;{U07,U14}:1","{U17,U19,U35,U39};{U05,U06,U10,U16};{U07,U14}",CTX_0119:2;CTX_0157:1;CTX_0196:1,OUT_0119:2;OUT_0157:1;OUT_0196:1
"{U12,U22}",3,"{U00,U03,U05}:1;{U09,U12,U20,U27,U35}:1;{U12,U22,U27}:1","{U00,U03,U05};{U09,U12,U20,U27,U35};{U12,U22,U27}",CTX_0002:1;CTX_0080:1;CTX_0180:1,OUT_0002:1;OUT_0080:1;OUT_0180:1
"{U25,U36}",3,"{U28,U31}:1;{U03,U22}:1","{U28,U31};{U03,U22}",CTX_0003:1;CTX_0008:1;CTX_0171:1,OUT_0003:1;OUT_0008:1;OUT_0171:1
"{U00,U10}",3,"{U10,U16}:1;{U15,U17,U31,U34}:1","{U10,U16};{U15,U17,U31,U34}",CTX_0004:2;CTX_0188:1,OUT_0004:2;OUT_0188:1
"{U10,U16}",3,"{U00,U10}:1;{U12,U17}:1;{U06,U10,U21,U27}:1","{U00,U10};{U12,U17};{U06,U10,U21,U27}",CTX_0004:1;CTX_0025:1;CTX_0109:1,OUT_0004:1;OUT_0025:1;OUT_0109:1
"{U02,U18}",3,"{U03,U07,U09,U17,U30}:1;{U02,U18,U25,U32,U37}:1;{U05,U09,U18,U30,U31}:1","{U03,U07,U09,U17,U30};{U02,U18,U25,U32,U37};{U05,U09,U18,U30,U31}",CTX_0009:1;CTX_0017:1;CTX_0049:1,OUT_0009:1;OUT_0017:1;OUT_0049:1
"{U12,U38}",3,"{U18,U30,U35}:1;{U09,U26}:1","{U18,U30,U35};{U09,U26}",CTX_0009:1;CTX_0098:1;CTX_0123:1,OUT_0009:1;OUT_0098:1;OUT_0123:1
"{U07,U15}",3,"{U24,U32,U36}:1;{U00,U07,U15,U26,U31,U39}:1;{U26,U35}:1","{U24,U32,U36};{U00,U07,U15,U26,U31,U39};{U26,U35}",CTX_0010:1;CTX_0117:1;CTX_0130:1,OUT_0010:1;OUT_0117:1;OUT_0130:1
"{U20,U33}",3,"{U00,U20,U33,U38}:1;{U04,U13,U14,U22,U38}:1;{U00,U13,U17,U31}:1","{U00,U20,U33,U38};{U04,U13,U14,U22,U38};{U00,U13,U17,U31}",CTX_0013:2;CTX_0172:1,OUT_0013:2;OUT_0172:1
