from_event,to_event,delta_t,shared_participants,changed_participants,weight,episode_id,context,from_label,to_label
event_00000,event_00001,0,"U11,U18",U01,1,episode_0000,CTX_0000,"{U01,U11,U18}","{U11,U18}"
event_00001,event_00002,-1,"U11,U18","U06,U23,U32",1,episode_0000,CTX_0000,"{U11,U18}","{U06,U11,U18,U23,U32}"
event_00002,event_00003,1,"U11,U18","U06,U13,U23,U32",1,episode_0000,CTX_0000,"{U06,U11,U18,U23,U32}","{U11,U13,U18}"
event_00003,event_00004,1,U13,"U05,U08,U11,U16,U18,U31",1,episode_0000,CTX_0000,"{U11,U13,U18}","{U05,U08,U13,U16,U31}"
event_00004,event_00005,1,,"U05,U08,U13,U15,U16,U31,U38",1,episode_0000,CTX_0000,"{U05,U08,U13,U16,U31}","{U15,U38}"
event_00005,event_00006,1,,"U11,U15,U27,U31,U33,U34,U37,U38",1,episode_0000,CTX_0000,"{U15,U38}","{U11,U27,U31,U33,U34,U37}"
event_00006,event_00007,0,"U27,U34","U11,U31,U33,U37",1,episode_0000,CTX_0000,"{U11,U27,U31,U33,U34,U37}","{U27,U34}"
event_00007,event_00008,0,"U27,U34",U10,1,episode_0000,CTX_0000,"{U27,U34}","{U10,U27,U34}"
event_00008,event_00009,3,,"U04,U10,U14,U17,U27,U31,U34",1,episode_0000,CTX_0000,"{U10,U27,U34}","{U04,U14,U17,U31}"
event_00009,event_00010,0,"U04,U31","U14,U17",1,episode_0000,CTX_0000,"{U04,U14,U17,U31}","{U04,U31}"
event_00010,event_00011,-1,"U04,U31","U01,U14,U19",1,episode_0000,CTX_0000,"{U04,U31}","{U01,U04,U14,U19,U31}"
event_00011,event_00012,1,"U04,U31","U01,U13,U14,U16,U19,U37",1,episode_0000,CTX_0000,"{U01,U04,U14,U19,U31}","{U04,U13,U16,U31,U37}"
event_00012,event_00013,1,,"U00,U02,U04,U13,U16,U31,U35,U37",1,episode_0000,CTX_0000,"{U04,U13,U16,U31,U37}","{U00,U02,U35}"
event_00014,event_00015,1,"U08,U35","U02,U06,U10,U23",1,episode_0001,CTX_0001,"{U02,U06,U08,U10,U35}","{U08,U23,U35}"
event_00015,event_00016,1,U08,"U03,U12,U23,U35",1,episode_0001,CTX_0001,"{U08,U23,U35}","{U03,U08,U12}"
event_00016,event_00017,2,,"U03,U08,U10,U12,U23",1,episode_0001,CTX_0001,"{U03,U08,U12}","{U10,U23}"
event_00017,event_00018,1,,"U00,U10,U16,U23,U24,U28,U32,U37,U38",1,episode_0001,CTX_0001,"{U10,U23}","{U00,U16,U24,U28,U32,U37,U38}"
event_00018,event_00019,1,"U28,U38","U00,U07,U16,U24,U32,U37",1,episode_0001,CTX_0001,"{U00,U16,U24,U28,U32,U37,U38}","{U07,U28,U38}"
event_00019,event_00020,1,U28,"U07,U10,U38",1,episode_0001,CTX_0001,"{U07,U28,U38}","{U10,U28}"
event_00020,event_00021,2,,"U08,U10,U11,U14,U17,U18,U28",1,episode_0001,CTX_0001,"{U10,U28}","{U08,U11,U14,U17,U18}"
event_00021,event_00022,1,,"U08,U11,U14,U17,U18,U23,U25,U27,U28",1,episode_0001,CTX_0001,"{U08,U11,U14,U17,U18}","{U23,U25,U27,U28}"
event_00022,event_00023,0,"U23,U27","U25,U28",1,episode_0001,CTX_0001,"{U23,U25,U27,U28}","{U23,U27}"
event_00023,event_00024,0,"U23,U27","U06,U38",1,episode_0001,CTX_0001,"{U23,U27}","{U06,U23,U27,U38}"
event_00024,event_00025,1,,"U00,U06,U10,U11,U22,U23,U27,U38",1,episode_0001,CTX_0001,"{U06,U23,U27,U38}","{U00,U10,U11,U22}"
event_00026,event_00027,1,U14,"U08,U12,U13,U16,U28,U38",1,episode_0002,CTX_0002,"{U08,U13,U14}","{U12,U14,U16,U28,U38}"
event_00027,event_00028,1,"U12,U14","U16,U28,U34,U38",1,episode_0002,CTX_0002,"{U12,U14,U16,U28,U38}","{U12,U14,U34}"
event_00028,event_00029,1,U12,"U14,U22,U34",1,episode_0002,CTX_0002,"{U12,U14,U34}","{U12,U22}"
event_00029,event_00030,2,,"U00,U03,U05,U12,U22",1,episode_0002,CTX_0002,"{U12,U22}","{U00,U03,U05}"
event_00030,event_00031,0,"U03,U05",U00,1,episode_0002,CTX_0002,"{U00,U03,U05}","{U03,U05}"
event_00031,event_00032,0,"U03,U05",U11,1,episode_0002,CTX_0002,"{U03,U05}","{U03,U05,U11}"
event_00032,event_00033,2,,"U03,U05,U11,U24,U30",1,episode_0002,CTX_0002,"{U03,U05,U11}","{U24,U30}"
event_00033,event_00034,1,,"U00,U24,U30,U38",1,episode_0002,CTX_0002,"{U24,U30}","{U00,U38}"
event_00034,event_00035,-1,"U00,U38","U02,U27,U36",1,episode_0002,CTX_0002,"{U00,U38}","{U00,U02,U27,U36,U38}"
event_00035,event_00036,1,"U00,U36,U38","U02,U21,U27",1,episode_0002,CTX_0002,"{U00,U02,U27,U36,U38}","{U00,U21,U36,U38}"
event_00036,event_00037,1,U00,"U14,U18,U21,U36,U38",1,episode_0002,CTX_0002,"{U00,U21,U36,U38}","{U00,U14,U18}"
event_00037,event_00038,1,U00,"U14,U18,U31,U33",1,episode_0002,CTX_0002,"{U00,U14,U18}","{U00,U31,U33}"
event_00039,event_00040,0,"U25,U39","U09,U14,U20",1,episode_0003,CTX_0003,"{U09,U14,U20,U25,U39}","{U25,U39}"
event_00040,event_00041,-1,"U25,U39","U12,U17",1,episode_0003,CTX_0003,"{U25,U39}","{U12,U17,U25,U39}"
event_00041,event_00042,1,"U25,U39","U00,U12,U17,U19,U37",1,episode_0003,CTX_0003,"{U12,U17,U25,U39}","{U00,U19,U25,U37,U39}"
event_00042,event_00043,1,,"U00,U07,U18,U19,U25,U37,U39",1,episode_0003,CTX_0003,"{U00,U19,U25,U37,U39}","{U07,U18}"
event_00043,event_00044,2,,"U03,U04,U07,U18,U29,U38,U39",1,episode_0003,CTX_0003,"{U07,U18}","{U03,U04,U29,U38,U39}"
event_00044,event_00045,0,"U04,U39","U03,U29,U38",1,episode_0003,CTX_0003,"{U03,U04,U29,U38,U39}","{U04,U39}"
event_00045,event_00046,0,"U04,U39",U14,1,episode_0003,CTX_0003,"{U04,U39}","{U04,U14,U39}"
event_00046,event_00047,1,,"U04,U14,U23,U29,U39",1,episode_0003,CTX_0003,"{U04,U14,U39}","{U23,U29}"
event_00047,event_00048,1,,"U11,U14,U16,U22,U23,U26,U29,U36",1,episode_0003,CTX_0003,"{U23,U29}","{U11,U14,U16,U22,U26,U36}"
event_00048,event_00049,1,U36,"U02,U07,U09,U11,U14,U16,U22,U26",1,episode_0003,CTX_0003,"{U11,U14,U16,U22,U26,U36}","{U02,U07,U09,U36}"
event_00049,event_00050,1,"U09,U36","U02,U07,U23,U39",1,episode_0003,CTX_0003,"{U02,U07,U09,U36}","{U09,U23,U36,U39}"
event_00050,event_00051,2,,"U00,U09,U11,U23,U30,U36,U39",1,episode_0003,CTX_0003,"{U09,U23,U36,U39}","{U00,U11,U30}"
event_00051,event_00052,1,,"U00,U11,U25,U30,U36",1,episode_0003,CTX_0003,"{U00,U11,U30}","{U25,U36}"
event_00053,event_00054,1,U10,"U00,U16",1,episode_0004,CTX_0004,"{U00,U10}","{U10,U16}"
event_00054,event_00055,1,U10,"U00,U16",1,episode_0004,CTX_0004,"{U10,U16}","{U00,U10}"
event_00055,event_00056,1,,"U00,U10,U15,U17,U31,U34",1,episode_0004,CTX_0004,"{U00,U10}","{U15,U17,U31,U34}"
event_00056,event_00057,2,,"U09,U13,U15,U17,U22,U30,U31,U34",1,episode_0004,CTX_0004,"{U15,U17,U31,U34}","{U09,U13,U22,U30}"
event_00057,event_00058,0,"U13,U22","U09,U30",1,episode_0004,CTX_0004,"{U09,U13,U22,U30}","{U13,U22}"
event_00058,event_00059,-1,"U13,U22","U00,U19",1,episode_0004,CTX_0004,"{U13,U22}","{U00,U13,U19,U22}"
event_00059,event_00060,1,"U13,U22","U00,U01,U19",1,episode_0004,CTX_0004,"{U00,U13,U19,U22}","{U01,U13,U22}"
event_00060,event_00061,2,,"U01,U04,U13,U22,U24,U36",1,episode_0004,CTX_0004,"{U01,U13,U22}","{U04,U24,U36}"
event_00061,event_00062,1,U24,"U04,U17,U28,U36",1,episode_0004,CTX_0004,"{U04,U24,U36}","{U17,U24,U28}"
event_00062,event_00063,0,"U17,U24",U28,1,episode_0004,CTX_0004,"{U17,U24,U28}","{U17,U24}"
event_00063,event_00064,-1,"U17,U24",U09,1,episode_0004,CTX_0004,"{U17,U24}","{U09,U17,U24}"
event_00064,event_00065,1,"U17,U24","U00,U09,U28",1,episode_0004,CTX_0004,"{U09,U17,U24}","{U00,U17,U24,U28}"
event_00066,event_00067,1,U36,"U04,U05,U08,U10",1,episode_0005,CTX_0005,"{U04,U36}","{U05,U08,U10,U36}"
event_00067,event_00068,1,"U05,U36","U07,U08,U10,U21,U39",1,episode_0005,CTX_0005,"{U05,U08,U10,U36}","{U05,U07,U21,U36,U39}"
event_00068,event_00069,1,,"U05,U07,U20,U21,U34,U36,U39",1,episode_0005,CTX_0005,"{U05,U07,U21,U36,U39}","{U20,U34}"
event_00069,event_00070,2,,"U07,U08,U14,U20,U27,U34",1,episode_0005,CTX_0005,"{U20,U34}","{U07,U08,U14,U27}"
event_00070,event_00071,0,"U07,U14","U08,U27",1,episode_0005,CTX_0005,"{U07,U08,U14,U27}","{U07,U14}"
event_00071,event_00072,-1,"U07,U14","U01,U19,U31,U37",1,episode_0005,CTX_0005,"{U07,U14}","{U01,U07,U14,U19,U31,U37}"
event_00072,event_00073,3,"U07,U31","U01,U04,U12,U14,U19,U22,U23,U37,U39",1,episode_0005,CTX_0005,"{U01,U07,U14,U19,U31,U37}","{U04,U07,U12,U22,U23,U31,U39}"
event_00073,event_00074,1,U22,"U04,U05,U07,U09,U12,U16,U23,U31,U33,U34,U38,U39",1,episode_0005,CTX_0005,"{U04,U07,U12,U22,U23,U31,U39}","{U05,U09,U16,U22,U33,U34,U38}"
event_00074,event_00075,0,"U05,U34","U09,U16,U22,U33,U38",1,episode_0005,CTX_0005,"{U05,U09,U16,U22,U33,U34,U38}","{U05,U34}"
event_00075,event_00076,-1,"U05,U34","U02,U04,U29,U32,U38",1,episode_0005,CTX_0005,"{U05,U34}","{U02,U04,U05,U29,U32,U34,U38}"
event_00076,event_00077,1,"U05,U34","U02,U04,U29,U32,U33,U38",1,episode_0005,CTX_0005,"{U02,U04,U05,U29,U32,U34,U38}","{U05,U33,U34}"
event_00078,event_00079,0,"U01,U38",U27,1,episode_0006,CTX_0006,"{U01,U27,U38}","{U01,U38}"
event_00079,event_00080,-1,"U01,U38",U08,1,episode_0006,CTX_0006,"{U01,U38}","{U01,U08,U38}"
event_00080,event_00081,1,"U01,U38","U08,U15,U34",1,episode_0006,CTX_0006,"{U01,U08,U38}","{U01,U15,U34,U38}"
event_00081,event_00082,1,U01,"U15,U22,U23,U34,U38",1,episode_0006,CTX_0006,"{U01,U15,U34,U38}","{U01,U22,U23}"
event_00082,event_00083,1,,"U01,U04,U22,U23,U39",1,episode_0006,CTX_0006,"{U01,U22,U23}","{U04,U39}"
event_00083,event_00084,1,U04,"U00,U13,U20,U23,U39",1,episode_0006,CTX_0006,"{U04,U39}","{U00,U04,U13,U20,U23}"
event_00084,event_00085,0,"U04,U20","U00,U13,U23",1,episode_0006,CTX_0006,"{U00,U04,U13,U20,U23}","{U04,U20}"
event_00085,event_00086,-1,"U04,U20","U09,U12,U31",1,episode_0006,CTX_0006,"{U04,U20}","{U04,U09,U12,U20,U31}"
event_00086,event_00087,1,"U04,U20","U02,U09,U11,U12,U16,U31,U34",1,episode_0006,CTX_0006,"{U04,U09,U12,U20,U31}","{U02,U04,U11,U16,U20,U34}"
event_00087,event_00088,1,"U16,U20","U02,U04,U11,U34",1,episode_0006,CTX_0006,"{U02,U04,U11,U16,U20,U34}","{U16,U20}"
event_00088,event_00089,1,,"U16,U20,U28,U35",1,episode_0006,CTX_0006,"{U16,U20}","{U28,U35}"
event_00089,event_00090,1,,"U08,U15,U28,U35",1,episode_0006,CTX_0006,"{U28,U35}","{U08,U15}"
event_00090,event_00091,-1,"U08,U15",U19,1,episode_0006,CTX_0006,"{U08,U15}","{U08,U15,U19}"
event_00091,event_00092,1,"U08,U15","U07,U19,U37",1,episode_0006,CTX_0006,"{U08,U15,U19}","{U07,U08,U15,U37}"
