event_id,episode_id,t_start,t_end,participants,label,intensities,context,source_window,outcome
event_00000,episode_0000,5,5,"B,C,E","{B,C,E}","{""B"": 0.8644, ""C"": 0.8131, ""E"": 0.8142}",X,union:heu_like:heu:5:5,Y1
event_00001,episode_0000,5,7,"B,C","{B,C}","{""B"": 0.9988, ""C"": 0.9761}",X,union:sliding_window:5:7|heu_like:heu:6:7,Y1
event_00002,episode_0000,11,11,"A,E,F","{A,E,F}","{""A"": 0.8167, ""E"": 0.9496, ""F"": 0.8143}",X,union:heu_like:heu:11:11,Y1
event_00003,episode_0000,12,12,"E,F","{E,F}","{""E"": 0.9709, ""F"": 0.9466}",X,union:heu_like:heu:12:12,Y1
event_00004,episode_0001,17,19,"A,B","{A,B}","{""A"": 0.9565, ""B"": 0.9456}",W,union:sliding_window:17:19|heu_like:heu:17:19,Y3
event_00005,episode_0001,22,24,"B,G","{B,G}","{""B"": 0.9679, ""G"": 0.9359}",W,union:sliding_window:22:24|heu_like:heu:22:22|heu_like:heu:24:24,Y3
event_00006,episode_0001,23,23,"B,F,G","{B,F,G}","{""B"": 0.9579, ""F"": 0.8126, ""G"": 0.9468}",W,union:heu_like:heu:23:23,Y3
event_00007,episode_0001,26,26,"B,G","{B,G}","{""B"": 0.913, ""G"": 0.9138}",W,union:heu_like:heu:26:26,Y3
event_00008,episode_0001,27,29,"E,F","{E,F}","{""E"": 0.9526, ""F"": 0.9568}",W,union:sliding_window:27:29|heu_like:heu:27:29,Y3
event_00009,episode_0002,34,36,"A,B","{A,B}","{""A"": 0.9251, ""B"": 0.9363}",Z,union:sliding_window:34:36|heu_like:heu:34:34|heu_like:heu:36:36,Y2
event_00010,episode_0002,35,35,"A,B,E","{A,B,E}","{""A"": 0.944, ""B"": 0.944, ""E"": 0.8054}",Z,union:heu_like:heu:35:35,Y2
event_00011,episode_0002,39,40,"B,E,F","{B,E,F}","{""B"": 0.9169, ""E"": 0.8989, ""F"": 0.8807}",Z,union:heu_like:heu:39:40,Y2
event_00012,episode_0002,39,41,"B,E","{B,E}","{""B"": 0.9879, ""E"": 0.9564}",Z,union:sliding_window:39:41|heu_like:heu:41:41,Y2
event_00013,episode_0002,44,46,"E,F","{E,F}","{""E"": 0.9339, ""F"": 0.9426}",Z,union:sliding_window:44:46|heu_like:heu:44:44,Y2
event_00014,episode_0002,45,46,"B,E,F","{B,E,F}","{""B"": 0.9046, ""E"": 0.9649, ""F"": 0.9622}",Z,union:heu_like:heu:45:46,Y2
event_00015,episode_0003,51,53,"D,G","{D,G}","{""D"": 0.9138, ""G"": 0.9012}",N,union:sliding_window:51:53|heu_like:heu:51:52,YN
event_00016,episode_0003,53,53,"B,D,G","{B,D,G}","{""B"": 0.81, ""D"": 0.9699, ""G"": 0.9699}",N,union:heu_like:heu:53:53,YN
event_00017,episode_0003,54,55,"B,E","{B,E}","{""B"": 0.958, ""E"": 0.8775}",N,union:heu_like:heu:54:55,YN
event_00018,episode_0003,58,58,"D,G","{D,G}","{""D"": 0.9723, ""G"": 0.8371}",N,union:heu_like:heu:58:58,YN
event_00019,episode_0003,61,63,"D,H","{D,H}","{""D"": 0.9958, ""H"": 0.9649}",N,union:sliding_window:61:63|heu_like:heu:61:63,YN
event_00020,episode_0003,64,64,"A,B","{A,B}","{""A"": 0.8444, ""B"": 0.814}",N,union:heu_like:heu:64:64,YN
event_00021,episode_0004,68,68,"A,B,E,G","{A,B,E,G}","{""A"": 0.8, ""B"": 0.8, ""E"": 0.8, ""G"": 0.8}",X,union:heu_like:heu:68:68,Y1
event_00022,episode_0004,68,70,"A,B","{A,B}","{""A"": 0.9964, ""B"": 0.9618}",X,union:sliding_window:68:70|heu_like:heu:69:70,Y1
event_00023,episode_0004,73,75,"B,C","{B,C}","{""B"": 0.9738, ""C"": 0.9707}",X,union:sliding_window:73:75|heu_like:heu:73:74,Y1
event_00024,episode_0004,75,75,"B,C,E","{B,C,E}","{""B"": 0.9724, ""C"": 0.9703, ""E"": 0.8189}",X,union:heu_like:heu:75:75,Y1
event_00025,episode_0004,78,78,"E,F,G","{E,F,G}","{""E"": 0.8647, ""F"": 0.8169, ""G"": 0.8122}",X,union:heu_like:heu:78:78,Y1
event_00026,episode_0004,78,80,"E,F","{E,F}","{""E"": 0.9909, ""F"": 0.9889}",X,union:sliding_window:78:80|heu_like:heu:79:80,Y1
event_00027,episode_0005,85,85,"A,B,C","{A,B,C}","{""A"": 0.8, ""B"": 0.8, ""C"": 0.8}",Z,union:heu_like:heu:85:85,Y2
event_00028,episode_0005,85,87,"A,B","{A,B}","{""A"": 0.9969, ""B"": 0.9578}",Z,union:sliding_window:85:87|heu_like:heu:86:86,Y2
event_00029,episode_0005,87,87,"A,B,F","{A,B,F}","{""A"": 0.9699, ""B"": 0.9699, ""F"": 0.8104}",Z,union:heu_like:heu:87:87,Y2
event_00030,episode_0005,90,92,"B,E","{B,E}","{""B"": 0.9648, ""E"": 0.9788}",Z,union:sliding_window:90:92|heu_like:heu:90:92,Y2
event_00031,episode_0005,95,95,"D,E,F","{D,E,F}","{""D"": 0.8186, ""E"": 0.8755, ""F"": 0.817}",Z,union:heu_like:heu:95:95,Y2
event_00032,episode_0005,96,96,"E,F","{E,F}","{""E"": 0.9576, ""F"": 0.9471}",Z,union:heu_like:heu:96:96,Y2
event_00033,episode_0006,102,102,"A,B","{A,B}","{""A"": 0.8, ""B"": 0.8}",W,union:heu_like:heu:102:102,Y3
