pattern,support,variants,predicted_next_events,contexts,outcomes
"{E,F}",189,"{D,E,F}:18;{B,E,F}:16;{A,E,F}:10;{E,F,G}:9;{C,E,F}:8;{E,F}:7;{E,F,H}:6;{A,F}:4;{A,B}:2;{F,H}:1;{A,D,E,F}:1;{C,G}:1;{E,G}:1;{C,D}:1;{A,G}:1;{C,H}:1;{A,H}:1;{D,E}:1;{B,C,D,E,F}:1;{D,F}:1;{A,E,F,G}:1;{D,E,F,G}:1;{C,E,F,H}:1;{C,F}:1;{E,H}:1","{D,E,F};{B,E,F};{A,E,F};{E,F,G};{C,E,F};{E,F};{E,F,H};{A,F};{A,B};{F,H};{A,D,E,F};{C,G};{E,G};{C,D};{A,G};{C,H};{A,H};{D,E};{B,C,D,E,F};{D,F};{A,E,F,G};{D,E,F,G};{C,E,F,H};{C,F};{E,H}",X:63;Z:62;W:61;N:3,Y1:63;Y2:62;Y3:61;YN:3
"{A,B}",186,"{B,C}:25;{B,E}:25;{B,G}:23;{A,B,E}:12;{A,B,F}:11;{A,B,D}:11;{A,B,H}:10;{A,B,C}:9;{A,B}:7;{A,B,G}:7;{B,D}:3;{B,G,H}:3;{B,C,E}:2;{B,E,H}:2;{B,D,G}:2;{A,G}:2;{C,F}:2;{C,H}:2;{E,F}:2;{B,D,E}:2;{A,B,F,H}:1;{F,H}:1;{D,H}:1;{B,D,E,H}:1;{A,B,D,E,F}:1;{D,G}:1;{A,B,D,E}:1;{B,F,G}:1;{B,C,F}:1;{A,F}:1;{A,E}:1;{A,B,D,G,H}:1;{A,B,C,F}:1;{B,C,D,F,H}:1;{D,F}:1;{B,C,D}:1;{C,G}:1;{A,C}:1;{B,F}:1;{B,C,G}:1;{A,B,C,H}:1","{B,C};{B,E};{B,G};{A,B,E};{A,B,F};{A,B,D};{A,B,H};{A,B,C};{A,B};{A,B,G};{B,D};{B,G,H};{B,C,E};{B,E,H};{B,D,G};{A,G};{C,F};{C,H};{E,F};{B,D,E};{A,B,F,H};{F,H};{D,H};{B,D,E,H};{A,B,D,E,F};{D,G};{A,B,D,E};{B,F,G};{B,C,F};{A,F};{A,E};{A,B,D,G,H};{A,B,C,F};{B,C,D,F,H};{D,F};{B,C,D};{C,G};{A,C};{B,F};{B,C,G};{A,B,C,H}",Z:63;X:61;W:60;N:2,Y2:63;Y1:61;Y3:60;YN:2
"{B,E}",72,"{E,F}:25;{B,C,E}:6;{B,E,F}:5;{A,B,E}:4;{B,D,E}:3;{D,G}:2;{B,E,G}:2;{B,E}:2;{B,G}:2;{B,E,F,G}:2;{E,F,G}:2;{D,E,F}:1;{E,F,H}:1;{C,E}:1;{A,F,H}:1;{E,G}:1;{A,B}:1;{A,B,E,H}:1;{B,F}:1;{A,E}:1;{C,E,F,G}:1;{A,B,C,E}:1;{D,E,F,H}:1;{A,B,E,F}:1;{A,B,D,E}:1;{B,E,H}:1;{B,D}:1","{E,F};{B,C,E};{B,E,F};{A,B,E};{B,D,E};{D,G};{B,E,G};{B,E};{B,G};{B,E,F,G};{E,F,G};{D,E,F};{E,F,H};{C,E};{A,F,H};{E,G};{A,B};{A,B,E,H};{B,F};{A,E};{C,E,F,G};{A,B,C,E};{D,E,F,H};{A,B,E,F};{A,B,D,E};{B,E,H};{B,D}",Z:66;N:3;W:2;X:1,Y2:66;YN:3;Y3:2;Y1:1
"{B,C}",70,"{E,F}:24;{B,C,D}:7;{B,C,E}:6;{A,B,C}:5;{B,C,F}:4;{B,H}:2;{C,E}:2;{E,F,G}:2;{B,E,F}:2;{B,C,G}:2;{B,C,H}:2;{A,E,F}:1;{C,E,G}:1;{B,F}:1;{B,C}:1;{D,E}:1;{E,F,H}:1;{A,B,C,H}:1;{B,C,E,H}:1;{C,E,F}:1;{B,C,F,H}:1;{B,D}:1;{B,E}:1","{E,F};{B,C,D};{B,C,E};{A,B,C};{B,C,F};{B,H};{C,E};{E,F,G};{B,E,F};{B,C,G};{B,C,H};{A,E,F};{C,E,G};{B,F};{B,C};{D,E};{E,F,H};{A,B,C,H};{B,C,E,H};{C,E,F};{B,C,F,H};{B,D};{B,E}",X:61;N:7;Z:2,Y1:61;YN:7;Y2:2
"{B,G}",69,"{E,F}:19;{B,D,G}:6;{B,E,G}:5;{B,F,G}:4;{B,G,H}:3;{B,E}:3;{A,B,G}:3;{E,F,G}:3;{C,G}:2;{B,E,G,H}:2;{B,E,F}:2;{B,C,G}:2;{B,G}:2;{A,B,E,G,H}:1;{A,E,F}:1;{A,E,F,G}:1;{D,E,F}:1;{A,H}:1;{E,G}:1;{A,F}:1;{C,E,F}:1;{B,F,G,H}:1;{E,F,H}:1;{B,C,G,H}:1;{D,E}:1;{A,B}:1","{E,F};{B,D,G};{B,E,G};{B,F,G};{B,G,H};{B,E};{A,B,G};{E,F,G};{C,G};{B,E,G,H};{B,E,F};{B,C,G};{B,G};{A,B,E,G,H};{A,E,F};{A,E,F,G};{D,E,F};{A,H};{E,G};{A,F};{C,E,F};{B,F,G,H};{E,F,H};{B,C,G,H};{D,E};{A,B}",W:64;N:3;Z:2,Y3:64;YN:3;Y2:2
"{B,E,F}",30,"{E,F}:7;{D,E}:2;{B,E}:1;{C,E}:1;{E,F,H}:1;{C,F}:1;{A,E,F}:1","{E,F};{D,E};{B,E};{C,E};{E,F,H};{C,F};{A,E,F}",Z:16;X:7;W:7,Y2:16;Y1:7;Y3:7
"{A,B,E}",29,"{A,B}:7;{B,E}:7;{B,C}:3;{E,F}:3;{B,G}:2;{A,B,H}:2;{B,E,F}:1;{E,G}:1;{A,C,D}:1;{B,D}:1;{B,C,H}:1","{A,B};{B,E};{B,C};{E,F};{B,G};{A,B,H};{B,E,F};{E,G};{A,C,D};{B,D};{B,C,H}",Z:16;X:7;W:6,Y2:16;Y1:7;Y3:6
"{A,B,H}",27,"{A,B}:11;{B,G}:3;{B,E}:3;{B,C}:2;{A,B,E}:1;{D,F}:1;{A,B,G}:1;{B,H}:1;{B,F,G}:1;{B,C,E}:1;{B,G,H}:1;{B,C,F}:1","{A,B};{B,G};{B,E};{B,C};{A,B,E};{D,F};{A,B,G};{B,H};{B,F,G};{B,C,E};{B,G,H};{B,C,F}",X:11;W:9;Z:6;N:1,Y1:11;Y3:9;Y2:6;YN:1
"{B,E} -> {E,F}",25,"{D,E,F}:5;{B,E,F}:4;{E,F}:2;{C,E,F}:1;{A,F}:1;{E,F,G}:1;{D,F}:1;{A,E,F,G}:1;{C,E,F,H}:1;{A,E,F}:1","{D,E,F};{B,E,F};{E,F};{C,E,F};{A,F};{E,F,G};{D,F};{A,E,F,G};{C,E,F,H};{A,E,F}",Z:24;W:1,Y2:24;Y3:1
"{A,B} -> {B,C}",25,"{E,F}:10;{B,C,E}:3;{B,C,D}:3;{A,B,C}:2;{E,F,G}:1;{B,E,F}:1;{B,C,G}:1;{E,F,H}:1;{B,C,F}:1;{B,C,H}:1;{B,E}:1","{E,F};{B,C,E};{B,C,D};{A,B,C};{E,F,G};{B,E,F};{B,C,G};{E,F,H};{B,C,F};{B,C,H};{B,E}",X:24;Z:1,Y1:24;Y2:1
"{A,B} -> {B,E}",25,"{E,F}:9;{B,C,E}:3;{B,E,F,G}:2;{B,D,E}:2;{E,F,H}:1;{B,E,G}:1;{A,B}:1;{B,E,F}:1;{B,G}:1;{A,B,E,F}:1;{B,E,H}:1;{B,D}:1;{A,B,E}:1","{E,F};{B,C,E};{B,E,F,G};{B,D,E};{E,F,H};{B,E,G};{A,B};{B,E,F};{B,G};{A,B,E,F};{B,E,H};{B,D};{A,B,E}",Z:25,Y2:25
"{A,B,C}",24,"{A,B}:8;{B,C}:5;{B,G}:3;{B,E}:2;{E,F}:2;{E,G}:1;{B,E,F}:1;{A,B,H}:1;{A,B,E}:1","{A,B};{B,C};{B,G};{B,E};{E,F};{E,G};{B,E,F};{A,B,H};{A,B,E}",X:11;W:7;Z:6,Y1:11;Y3:7;Y2:6
"{B,C} -> {E,F}",24,"{D,E,F}:5;{B,E,F}:2;{C,E,F}:2;{E,F}:2;{C,G}:1;{C,H}:1;{E,F,H}:1;{D,E,F,G}:1","{D,E,F};{B,E,F};{C,E,F};{E,F};{C,G};{C,H};{E,F,H};{D,E,F,G}",X:23;Z:1,Y1:23;Y2:1
"{A,B} -> {B,G}",23,"{E,F}:5;{B,F,G}:4;{B,D,G}:2;{C,G}:2;{A,B,G}:2;{B,E,G,H}:1;{B,E,G}:1;{B,C,G}:1;{B,G}:1;{E,F,G}:1;{B,E,F}:1;{E,F,H}:1;{D,E}:1","{E,F};{B,F,G};{B,D,G};{C,G};{A,B,G};{B,E,G,H};{B,E,G};{B,C,G};{B,G};{E,F,G};{B,E,F};{E,F,H};{D,E}",W:23,Y3:23
"{D,E,F}",22,"{E,F}:3;{B,C}:1;{E,F,H}:1;{B,E,F}:1;{F,H}:1","{E,F};{B,C};{E,F,H};{B,E,F};{F,H}",X:8;Z:7;W:6;N:1,Y1:8;Y2:7;Y3:6;YN:1
"{A,B,G}",21,"{B,G}:6;{A,B}:3;{B,C}:2;{B,E}:2;{A,B,E}:1;{B,H}:1;{A,B,C}:1;{E,F,H}:1;{B,C,H}:1;{E,F}:1;{B,G,H}:1;{A,B,D}:1","{B,G};{A,B};{B,C};{B,E};{A,B,E};{B,H};{A,B,C};{E,F,H};{B,C,H};{E,F};{B,G,H};{A,B,D}",W:12;Z:5;X:4,Y3:12;Y2:5;Y1:4
"{B,G} -> {E,F}",19,"{D,E,F}:3;{A,E,F}:2;{E,G}:1;{C,E,F}:1;{E,F,G}:1;{A,F}:1;{E,F,H}:1;{E,H}:1","{D,E,F};{A,E,F};{E,G};{C,E,F};{E,F,G};{A,F};{E,F,H};{E,H}",W:19,Y3:19
"{E,F,G}",19,"{E,F}:8","{E,F}",W:8;Z:6;X:4;N:1,Y3:8;Y2:6;Y1:4;YN:1
"{A,E,F}",18,"{E,F}:6;{F,H}:2;{E,F,H}:1","{E,F};{F,H};{E,F,H}",X:6;W:6;Z:5;N:1,Y1:6;Y3:6;Y2:5;YN:1
"{E,F} -> {D,E,F}",18,"{B,C}:1;{E,F,H}:1;{B,E,F}:1","{B,C};{E,F,H};{B,E,F}",X:6;Z:6;W:5;N:1,Y1:6;Y2:6;Y3:5;YN:1
"{A,B,D}",18,"{A,B}:6;{B,E}:4;{B,G}:3;{B,C,G}:2;{B,C}:1;{A,B,G}:1;{A,B,D,E}:1","{A,B};{B,E};{B,G};{B,C,G};{B,C};{A,B,G};{A,B,D,E}",W:7;Z:6;X:5,Y3:7;Y2:6;Y1:5
"{B,C,E}",17,"{E,F}:7;{B,C}:3;{B,E}:2;{E,F,G}:1;{A,B,E,F}:1;{B,C,D}:1;{B,C,E,H}:1;{B,C,F}:1","{E,F};{B,C};{B,E};{E,F,G};{A,B,E,F};{B,C,D};{B,C,E,H};{B,C,F}",X:9;Z:8,Y1:9;Y2:8
"{A,B,F}",17,"{A,B}:6;{B,E}:4;{B,G}:2;{B,C}:2;{A,B,C}:1;{B,C,F}:1;{A,B,G}:1","{A,B};{B,E};{B,G};{B,C};{A,B,C};{B,C,F};{A,B,G}",Z:7;W:6;X:4,Y2:7;Y3:6;Y1:4
"{E,F,H}",17,"{E,F}:7;{A,C}:1","{E,F};{A,C}",X:7;Z:6;W:4,Y1:7;Y2:6;Y3:4
"{E,F} -> {B,E,F}",16,"{D,E}:1;{C,E}:1","{D,E};{C,E}",Z:9;X:4;W:3,Y2:9;Y1:4;Y3:3
"{A,B} -> {A,B,E}",12,"{B,E}:6;{B,C}:2;{B,E,F}:1;{E,G}:1;{A,C,D}:1;{A,B,H}:1","{B,E};{B,C};{B,E,F};{E,G};{A,C,D};{A,B,H}",Z:7;X:4;W:1,Y2:7;Y1:4;Y3:1
