unit_id,t,value,episode_id,context
A,0,0.97727,episode_0000,X
B,0,0.02008,episode_0000,X
C,0,0.0434,episode_0000,X
D,0,0.0238,episode_0000,X
E,0,0.03357,episode_0000,X
F,0,0.0207,episode_0000,X
G,0,0.03695,episode_0000,X
H,0,0.02542,episode_0000,X
A,1,0.98825,episode_0000,X
B,1,0.01733,episode_0000,X
C,1,0.03157,episode_0000,X
D,1,0.00483,episode_0000,X
E,1,0.02951,episode_0000,X
F,1,0.0147,episode_0000,X
G,1,0.03147,episode_0000,X
H,1,0.02191,episode_0000,X
A,2,0.02192,episode_0000,X
B,2,0.99441,episode_0000,X
C,2,0.0311,episode_0000,X
D,2,0.01775,episode_0000,X
E,2,0.04359,episode_0000,X
F,2,0.03859,episode_0000,X
G,2,0.02359,episode_0000,X
H,2,0.03762,episode_0000,X
A,3,0.03075,episode_0000,X
B,3,0.02811,episode_0000,X
C,3,0.02933,episode_0000,X
D,3,0.04439,episode_0000,X
E,3,0.03203,episode_0000,X
F,3,0.03127,episode_0000,X
G,3,0.02421,episode_0000,X
H,3,0.03899,episode_0000,X
A,4,0.01676,episode_0000,X
B,4,0.03647,episode_0000,X
C,4,0.02537,episode_0000,X
D,4,0.04257,episode_0000,X
E,4,0.02673,episode_0000,X
F,4,0.0275,episode_0000,X
G,4,0.02572,episode_0000,X
H,4,0.03353,episode_0000,X
A,5,0.02803,episode_0000,X
B,5,1.05831,episode_0000,X
C,5,1.03342,episode_0000,X
D,5,0.0266,episode_0000,X
E,5,0.93546,episode_0000,X
F,5,0.03347,episode_0000,X
G,5,0.00965,episode_0000,X
H,5,0.021,episode_0000,X
A,6,0.05245,episode_0000,X
B,6,1.02465,episode_0000,X
C,6,1.03512,episode_0000,X
D,6,0.0352,episode_0000,X
E,6,0.02921,episode_0000,X
F,6,0.01946,episode_0000,X
G,6,0.02142,episode_0000,X
H,6,0.03193,episode_0000,X
A,7,0.02409,episode_0000,X
B,7,1.01814,episode_0000,X
C,7,0.9127,episode_0000,X
D,7,0.03757,episode_0000,X
E,7,0.03779,episode_0000,X
F,7,0.01463,episode_0000,X
G,7,0.04442,episode_0000,X
H,7,0.02726,episode_0000,X
A,8,0.02025,episode_0000,X
B,8,0.02457,episode_0000,X
C,8,0.02207,episode_0000,X
D,8,0.01722,episode_0000,X
E,8,0.02846,episode_0000,X
F,8,0.03013,episode_0000,X
G,8,0.02673,episode_0000,X
H,8,0.03008,episode_0000,X
A,9,0.027,episode_0000,X
B,9,0.02193,episode_0000,X
C,9,0.02329,episode_0000,X
D,9,0.03337,episode_0000,X
E,9,0.01546,episode_0000,X
F,9,0.02368,episode_0000,X
G,9,0.03735,episode_0000,X
H,9,0.03071,episode_0000,X
A,10,0.03455,episode_0000,X
B,10,0.02857,episode_0000,X
C,10,0.01784,episode_0000,X
D,10,0.02493,episode_0000,X
E,10,0.9746,episode_0000,X
F,10,0.0363,episode_0000,X
G,10,0.02849,episode_0000,X
H,10,0.04177,episode_0000,X
A,11,0.9309,episode_0000,X
B,11,0.0395,episode_0000,X
C,11,0.02859,episode_0000,X
D,11,0.03781,episode_0000,X
E,11,1.07575,episode_0000,X
F,11,1.0247,episode_0000,X
G,11,0.03874,episode_0000,X
H,11,0.04484,episode_0000,X
A,12,0.01311,episode_0000,X
B,12,0.01985,episode_0000,X
C,12,0.0384,episode_0000,X
D,12,0.0089,episode_0000,X
E,12,1.00193,episode_0000,X
F,12,0.99167,episode_0000,X
G,12,0.02028,episode_0000,X
H,12,0.03506,episode_0000,X
A,13,0.03407,episode_0000,X
B,13,0.02342,episode_0000,X
C,13,0.02113,episode_0000,X
D,13,1.01699,episode_0000,X
E,13,0.05025,episode_0000,X
F,13,0.03888,episode_0000,X
G,13,0.02986,episode_0000,X
H,13,0.0254,episode_0000,X
A,14,0.02918,episode_0000,X
B,14,0.02709,episode_0000,X
C,14,0.02979,episode_0000,X
D,14,0.02308,episode_0000,X
E,14,0.0,episode_0000,X
F,14,0.04334,episode_0000,X
G,14,0.01827,episode_0000,X
H,14,0.04131,episode_0000,X
A,17,1.00192,episode_0001,W
B,17,1.01079,episode_0001,W
C,17,0.01957,episode_0001,W
D,17,0.02316,episode_0001,W
E,17,0.01729,episode_0001,W
F,17,0.02993,episode_0001,W
G,17,0.04722,episode_0001,W
H,17,0.02536,episode_0001,W
A,18,1.01252,episode_0001,W
B,18,0.94616,episode_0001,W
C,18,0.02731,episode_0001,W
D,18,0.04188,episode_0001,W
E,18,0.02994,episode_0001,W
F,18,0.02445,episode_0001,W
G,18,0.01183,episode_0001,W
H,18,0.03964,episode_0001,W
A,19,1.01077,episode_0001,W
B,19,1.00272,episode_0001,W
C,19,0.04512,episode_0001,W
D,19,0.02942,episode_0001,W
E,19,0.02365,episode_0001,W
F,19,0.03507,episode_0001,W
