from_event,to_event,delta_t,shared_participants,changed_participants,weight,episode_id,context,from_label,to_label
event_00000,event_00001,0,"B,C",E,1,episode_0000,X,"{B,C,E}","{B,C}"
event_00001,event_00002,4,,"A,B,C,E,F",1,episode_0000,X,"{B,C}","{A,E,F}"
event_00002,event_00003,1,"E,F",A,1,episode_0000,X,"{A,E,F}","{E,F}"
event_00004,event_00005,3,B,"A,G",1,episode_0001,W,"{A,B}","{B,G}"
event_00005,event_00006,-1,"B,G",F,1,episode_0001,W,"{B,G}","{B,F,G}"
event_00006,event_00007,3,"B,G",F,1,episode_0001,W,"{B,F,G}","{B,G}"
event_00007,event_00008,1,,"B,E,F,G",1,episode_0001,W,"{B,G}","{E,F}"
event_00009,event_00010,-1,"A,B",E,1,episode_0002,Z,"{A,B}","{A,B,E}"
event_00010,event_00011,4,"B,E","A,F",1,episode_0002,Z,"{A,B,E}","{B,E,F}"
event_00011,event_00012,-1,"B,E",F,1,episode_0002,Z,"{B,E,F}","{B,E}"
event_00012,event_00013,3,E,"B,F",1,episode_0002,Z,"{B,E}","{E,F}"
event_00013,event_00014,-1,"E,F",B,1,episode_0002,Z,"{E,F}","{B,E,F}"
event_00015,event_00016,0,"D,G",B,1,episode_0003,N,"{D,G}","{B,D,G}"
event_00016,event_00017,1,B,"D,E,G",1,episode_0003,N,"{B,D,G}","{B,E}"
event_00017,event_00018,3,,"B,D,E,G",1,episode_0003,N,"{B,E}","{D,G}"
event_00018,event_00019,3,D,"G,H",1,episode_0003,N,"{D,G}","{D,H}"
event_00019,event_00020,1,,"A,B,D,H",1,episode_0003,N,"{D,H}","{A,B}"
event_00021,event_00022,0,"A,B","E,G",1,episode_0004,X,"{A,B,E,G}","{A,B}"
event_00022,event_00023,3,B,"A,C",1,episode_0004,X,"{A,B}","{B,C}"
event_00023,event_00024,0,"B,C",E,1,episode_0004,X,"{B,C}","{B,C,E}"
event_00024,event_00025,3,E,"B,C,F,G",1,episode_0004,X,"{B,C,E}","{E,F,G}"
event_00025,event_00026,0,"E,F",G,1,episode_0004,X,"{E,F,G}","{E,F}"
event_00027,event_00028,0,"A,B",C,1,episode_0005,Z,"{A,B,C}","{A,B}"
event_00028,event_00029,0,"A,B",F,1,episode_0005,Z,"{A,B}","{A,B,F}"
event_00029,event_00030,3,B,"A,E,F",1,episode_0005,Z,"{A,B,F}","{B,E}"
event_00030,event_00031,3,E,"B,D,F",1,episode_0005,Z,"{B,E}","{D,E,F}"
event_00031,event_00032,1,"E,F",D,1,episode_0005,Z,"{D,E,F}","{E,F}"
event_00033,event_00034,1,"A,B",F,1,episode_0006,W,"{A,B}","{A,B,F}"
event_00034,event_00035,5,B,"A,F,G",1,episode_0006,W,"{A,B,F}","{B,G}"
event_00035,event_00036,3,,"B,E,F,G",1,episode_0006,W,"{B,G}","{E,F}"
event_00036,event_00037,-1,"E,F",A,1,episode_0006,W,"{E,F}","{A,E,F}"
event_00038,event_00039,3,,"D,E,G,H",1,episode_0007,N,"{G,H}","{D,E}"
event_00039,event_00040,2,"D,E",,1,episode_0007,N,"{D,E}","{D,E}"
event_00040,event_00041,3,E,"A,D,G",1,episode_0007,N,"{D,E}","{A,E,G}"
event_00041,event_00042,0,"A,G",E,1,episode_0007,N,"{A,E,G}","{A,G}"
event_00042,event_00043,0,"A,G",H,1,episode_0007,N,"{A,G}","{A,G,H}"
event_00044,event_00045,3,B,"A,C,E",1,episode_0008,X,"{A,B}","{B,C,E}"
event_00045,event_00046,0,"B,C",E,1,episode_0008,X,"{B,C,E}","{B,C}"
event_00046,event_00047,0,"B,C",D,1,episode_0008,X,"{B,C}","{B,C,D}"
event_00047,event_00048,3,D,"B,C,E,F",1,episode_0008,X,"{B,C,D}","{D,E,F}"
event_00048,event_00049,0,"E,F",D,1,episode_0008,X,"{D,E,F}","{E,F}"
event_00049,event_00050,-1,"E,F",H,1,episode_0008,X,"{E,F}","{E,F,H}"
event_00051,event_00052,3,B,"A,E,H",1,episode_0009,Z,"{A,B}","{B,E,H}"
event_00052,event_00053,0,"B,E",H,1,episode_0009,Z,"{B,E,H}","{B,E}"
event_00053,event_00054,-1,"B,E",G,1,episode_0009,Z,"{B,E}","{B,E,G}"
event_00054,event_00055,1,"B,E","F,G",1,episode_0009,Z,"{B,E,G}","{B,E,F}"
event_00055,event_00056,3,"E,F",B,1,episode_0009,Z,"{B,E,F}","{E,F}"
event_00056,event_00057,1,F,"E,H",1,episode_0009,Z,"{E,F}","{F,H}"
event_00057,event_00058,1,F,"C,G,H",1,episode_0009,Z,"{F,H}","{C,F,G}"
event_00059,event_00060,3,B,"A,G",1,episode_0010,W,"{A,B}","{B,G}"
event_00060,event_00061,0,"B,G",D,1,episode_0010,W,"{B,G}","{B,D,G}"
event_00061,event_00062,3,,"B,D,E,F,G",1,episode_0010,W,"{B,D,G}","{E,F}"
event_00062,event_00063,2,"E,F",,1,episode_0010,W,"{E,F}","{E,F}"
event_00064,event_00065,1,,"A,D,G,H",1,episode_0011,N,"{A,H}","{D,G}"
event_00065,event_00066,1,D,"G,H",1,episode_0011,N,"{D,G}","{D,H}"
event_00066,event_00067,3,,"D,E,G,H",1,episode_0011,N,"{D,H}","{E,G}"
event_00067,event_00068,2,"E,G",,1,episode_0011,N,"{E,G}","{E,G}"
event_00068,event_00069,2,,"C,D,E,G",1,episode_0011,N,"{E,G}","{C,D}"
event_00069,event_00070,1,D,"C,G",1,episode_0011,N,"{C,D}","{D,G}"
event_00070,event_00071,-1,"D,G",A,1,episode_0011,N,"{D,G}","{A,D,G}"
event_00072,event_00073,2,"A,B",,1,episode_0012,Z,"{A,B}","{A,B}"
event_00073,event_00074,3,B,"A,E",1,episode_0012,Z,"{A,B}","{B,E}"
event_00074,event_00075,4,E,"B,F,H",1,episode_0012,Z,"{B,E}","{E,F,H}"
event_00075,event_00076,3,,"A,C,E,F,H",1,episode_0012,Z,"{E,F,H}","{A,C}"
event_00077,event_00078,3,B,"A,C",1,episode_0013,X,"{A,B}","{B,C}"
event_00078,event_00079,3,,"B,C,E,F",1,episode_0013,X,"{B,C}","{E,F}"
event_00079,event_00080,-1,"E,F",B,1,episode_0013,X,"{E,F}","{B,E,F}"
event_00081,event_00082,3,B,"A,G",1,episode_0014,W,"{A,B}","{B,G}"
event_00082,event_00083,1,G,"B,C",1,episode_0014,W,"{B,G}","{C,G}"
event_00083,event_00084,3,,"C,E,F,G",1,episode_0014,W,"{C,G}","{E,F}"
event_00084,event_00085,-1,"E,F","A,D",1,episode_0014,W,"{E,F}","{A,D,E,F}"
event_00086,event_00087,4,,"A,D,E,G,H",1,episode_0015,N,"{D,H}","{A,E,G}"
event_00087,event_00088,0,"A,G",E,1,episode_0015,N,"{A,E,G}","{A,G}"
event_00088,event_00089,2,A,"F,G",1,episode_0015,N,"{A,G}","{A,F}"
event_00089,event_00090,2,F,"A,E",1,episode_0015,N,"{A,F}","{E,F}"
event_00091,event_00092,3,B,"A,E",1,episode_0016,Z,"{A,B}","{B,E}"
event_00092,event_00093,0,"B,E",G,1,episode_0016,Z,"{B,E}","{B,E,G}"
event_00093,event_00094,1,G,"A,B,E",1,episode_0016,Z,"{B,E,G}","{A,G}"
